base_case_tag,case_dir_saddle,T_input,T_K,xB0,xB_out_if_available,xB_reference_used,mode,exx,eyy,ezz,exy,exz,eyz,Nx,Ny,Nz,dx_nm,V_box_m3,w_phys_J_m3,r_eff_star_nm,voxel_count_saddle,mean_h_saddle,F_surf_saddle_hat,F_chem_saddle_hat,F_el_saddle_hat,F_total_saddle_hat,F_surf_ref_hat,F_chem_ref_hat,F_el_ref_hat,F_total_ref_hat,DeltaF_surf_hat,DeltaF_chem_hat,DeltaF_el_hat,DeltaF_total_hat,DeltaG_surf_J,DeltaG_chem_J,DeltaG_el_J,DeltaG_total_J,DeltaG_surf_kBT,DeltaG_chem_kBT,DeltaG_el_kBT,DeltaG_total_kBT,fraction_surf,fraction_chem,fraction_el,barrier_kBT_from_master_table,difference_vs_master_kBT,warnings
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.887nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r1p886644,400.0,673.15,0.05,0.05,xB_out,exx_eyy,0.0025,0.0025,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.879005724285034,27789,0.000439519868,3.45738089e-05,-2.53530937e-05,0.00013473319,0.000143953905,0.0,-2.22044605e-16,0.000132354487,0.000132354487,3.45738089e-05,-2.5353093699777954e-05,2.378702999999993e-06,1.1599418000000005e-05,8.850895078400005e-18,-6.49039198714316e-18,6.089479679999985e-19,2.9694510080000032e-18,952.3400741798124,-698.3542717138774,65.52168429066938,319.5074812414625,2.980650313662287,-2.1857211887508443,0.205070892349943,319.5074812414625,0.0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.875nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r1p874736,400.0,673.15,0.05,0.05,xB_out,exx_eyy,0.005,0.005,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.8662524635122821,27227,0.000431249885,3.4142285e-05,-2.48760512e-05,0.000564470446,0.000573736679,0.0,-2.22044605e-16,0.000562535722,0.000562535722,3.4142285e-05,-2.4876051199777955e-05,1.9347240000000196e-06,1.1200957000000026e-05,8.740424960000005e-18,-6.3682691071431605e-18,4.952893440000053e-19,2.8674449920000085e-18,940.4536920885306,-685.2140738504906,53.29222484588564,308.5318210417052,3.048157849369471,-2.2208862331832804,0.17272845525610134,308.5318210417052,0.0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.872nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0075_r1p871623,400.0,673.15,0.05,0.05,xB_out,exx_eyy,0.0075,0.0075,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.8639648544684395,27127,0.000429105179,3.4034048e-05,-2.47523368e-05,0.00129269612,0.00130197784,0.0,-2.22044605e-16,0.00129115441,0.00129115441,3.4034048e-05,-2.4752336799777957e-05,1.5417100000000676e-06,1.0823430000000099e-05,8.712716288000005e-18,-6.336598220743161e-18,3.9467776000001755e-19,2.770798080000027e-18,937.4722898106635,-681.8063445715477,42.46660297135567,298.1327906015036,3.1444789683122347,-2.2869216874667027,0.14244190612403404,298.1327906015036,0.0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.777nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p01_r1p777227,400.0,673.15,0.05,0.05,xB_out,exx_eyy,0.01,0.01,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.7690134588792643,23189,0.00036739847,3.06784549e-05,-2.11928709e-05,0.00231919933,0.00232868491,0.0,-2.22044605e-16,0.00231821062,0.00231821062,3.06784549e-05,-2.1192870899777956e-05,9.887100000001425e-07,1.0474290000000042e-05,7.853684454400005e-18,-5.42537495034316e-18,2.531097600000366e-19,2.6814182400000122e-18,845.0420403401962,-583.7603922423984,27.23414586648155,288.5156837776386,2.9289293021292977,-2.0233229077844768,0.09439398756384809,288.5156837776386,0.0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.938nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0025_r1p938315,400.0,673.15,0.05,0.05,xB_out,exx_eyy,-0.0025,-0.0025,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.9306737550543032,30145,0.000476630363,3.64903534e-05,-2.74937611e-05,0.000170809184,0.000179805776,0.0,-2.22044605e-16,0.000167304504,0.000167304504,3.64903534e-05,-2.7493761099777955e-05,3.504680000000006e-06,1.2501271999999992e-05,9.341530470400004e-18,-7.038402841543161e-18,8.97198080000002e-19,3.200325632e-18,1005.1315423277985,-757.3192343654268,96.53686757019446,344.34916726291056,2.9189312415568605,-2.1992770895456055,0.28034587200406547,344.34916726291056,0.0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.979nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p005_r1p979465,400.0,673.15,0.05,0.05,xB_out,exx_eyy,-0.005,-0.005,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.9717646385718506,32111,0.000507635653,3.80565228e-05,-2.92822582e-05,0.000636681736,0.000645456,0.0,-2.22044605e-16,0.000632435716,0.000632435716,3.80565228e-05,-2.9282258199777956e-05,4.2460199999999875e-06,1.302028399999993e-05,9.742469836800004e-18,-7.496258099143162e-18,1.0869811199999974e-18,3.333192703999984e-18,1048.2718826613784,-806.5836201844965,116.95717453245237,358.64542047613844,2.922864263175842,-2.2489723111860016,0.32610809410916153,358.64542047613844,0.0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.032nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p0075_r2p032283,400.0,673.15,0.05,0.05,xB_out,exx_eyy,-0.0075,-0.0075,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,2.025548423197877,34811,0.000549365254,4.01161552e-05,-3.16893723e-05,0.00140116828,0.00140959506,0.0,-2.22044605e-16,0.00139600445,0.00139600445,4.01161552e-05,-3.1689372299777955e-05,5.163829999999805e-06,1.3590609999999904e-05,1.0269735731200006e-17,-8.112479308743161e-18,1.321940479999951e-18,3.479196159999978e-18,1105.0047256718906,-872.8878919291484,142.23837065437579,374.35512451012625,2.951755307524848,-2.3317108135527524,0.37995571942685735,374.35512451012625,0.0,
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.098nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01_r2p098379,400.0,673.15,0.05,0.05,xB_out,exx_eyy,-0.01,-0.01,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,2.092113977763112,38357,0.000604728489,4.27708691e-05,-3.48829237e-05,0.00246433406,0.00247222201,0.0,-2.22044605e-16,0.00245801069,0.00245801069,4.27708691e-05,-3.488292369977796e-05,6.323370000000175e-06,1.4211320000000107e-05,1.0949342489600007e-17,-8.930028467143162e-18,1.618782720000046e-18,3.6380979200000295e-18,1178.1291661917253,-960.8546816447313,174.17805114514206,391.4526623936177,3.0096338060081456,-2.4545871671159114,0.44495303743776987,391.4526623936177,0.0,
cntcon_T400_xB0p050_strictref_exx_s000,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.977nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s000_r1p976511,400.0,673.15,0.05,0.05,xB_out,exx,0.0,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,,,1.968730676649767,31963,0.000505366375,3.79537741e-05,-2.9151358e-05,3.83397885e-06,1.26363949e-05,0.0,-2.22044605e-16,6.10751247e-07,6.10751247e-07,3.79537741e-05,-2.9151357999777954e-05,3.223227603e-06,1.2025643653e-05,,,,,,,,,,,,,,chemical_driving_force_not_negative_or_too_weak | reference_energy.csv missing; fell back to F_total_excess_hat from last energy row
cntcon_T400_xB0p050_strictref_exx_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.834nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0025_r1p833967,400.0,673.15,0.05,0.05,xB_out,exx,0.0025,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,,,1.8269546398197913,25543,0.000403722716,3.26684873e-05,-2.32881846e-05,7.80484053e-05,8.7428708e-05,0.0,-2.22044605e-16,7.62482435e-05,7.62482435e-05,3.26684873e-05,-2.3288184599777956e-05,1.8001618000000098e-06,1.1180464499999999e-05,,,,,,,,,,,,,,chemical_driving_force_not_negative_or_too_weak | reference_energy.csv missing; fell back to F_total_excess_hat from last energy row
cntcon_T400_xB0p050_strictref_exx_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.795nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p005_r1p795370,400.0,673.15,0.05,0.05,xB_out,exx,0.005,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,6.400000000000003e-23,4000000000.0000005,1.7862385705000514,23873,0.000378765599,3.13134447e-05,-2.18485679e-05,0.000321545743,0.00033101062,0.0,-2.22044605e-16,0.000320635738,0.000320635738,3.13134447e-05,-2.1848567899777956e-05,9.100050000000509e-07,1.0374882000000005e-05,8.016241843200005e-18,-5.5932333823431596e-18,2.3296128000001317e-19,2.655969792000003e-18,862.5329171766047,-601.8216516027891,25.06620637924706,285.7774774559712,3.0181976720313526,-2.1059100141840594,0.08771232289678575,285.7774774559712,0.0,
cntcon_T400_xB0p050_strictref_exx_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.760nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0075_r1p760371,400.0,673.15,0.05,0.05,xB_out,exx,0.0075,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,,,1.7523796045343056,22541,0.000357043599,3.01109183e-05,-2.05955645e-05,0.000733843088,0.000743358442,0.0,-2.22044605e-16,0.000733773199,0.000733773199,3.01109183e-05,-2.0595564499777955e-05,6.98889999999194e-08,9.585243000000002e-06,,,,,,,,,,,,,,chemical_driving_force_not_negative_or_too_weak | reference_energy.csv missing; fell back to F_total_excess_hat from last energy row
