base_case_tag,case_dir,radius_nominal,r_eff_nm,voxel_count,mean_h,DeltaG_surf_kBT,DeltaG_chem_kBT,DeltaG_el_kBT,DeltaG_total_kBT,is_saddle_candidate,warnings
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.587nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r1p586644,1.586644,1.576841208884658,16423,0.000261425,672.502114626345,-415.37886671889174,38.391989558625006,295.51525949606634,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.687nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r1p686644,1.686644,1.6776649851532548,19779,0.000314035621,760.3953037535296,-498.972021349787,46.38401632495456,307.8073014770937,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.787nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r1p786644,1.786644,1.7786744481872954,23571,0.000373269677,853.673750424052,-593.0891676594067,55.406561509380914,315.99115253144953,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.887nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r1p886644,1.886644,1.879005724285034,27789,0.000439519868,952.3400741798124,-698.3542717138774,65.52168429066938,319.5074812414625,1,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.987nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r1p986644,1.986644,1.9791058299452615,32471,0.000513178893,1056.3969551619975,-815.3912885612745,76.79177438915093,317.7974520018099,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.087nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r2p086644,2.086644,2.0790881226202558,37645,0.00059463945,1165.8472801002722,-944.8241815132117,89.27930416054575,310.302394477951,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.187nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r2p186644,2.186644,2.180036196048263,43399,0.000684294239,1280.6938916520924,-1087.2769111267896,103.04704895700947,296.46405151230056,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.287nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r2p286644,2.286644,2.2800303713992047,49649,0.000782535959,1400.9397867276443,-1243.3734379591092,118.15825239791529,275.72460666936075,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.387nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r2p386644,2.386644,2.3806850970611007,56519,0.000889757309,1526.58815780754,-1413.737722567272,134.6762407380259,247.52668423571748,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.487nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r2p486644,2.486644,2.480277068460654,63913,0.00100635099,1657.6420596467399,-1598.9937227538646,152.66508395062522,211.31343185543648,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.587nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p0025_r2p586644,2.586644,2.5810368155935497,72023,0.0011327097,1794.1047976608902,-1799.765404585015,172.1891825505611,166.52857562032,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.575nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r1p574736,1.574736,1.5649743849489877,16055,0.000255582965,662.4755384212035,-406.09644149278853,30.84790170267553,287.2270123975377,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.675nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r1p674736,1.674736,1.6654181950350935,19349,0.000307431032,749.7459073596851,-488.477973982308,37.44294963621828,298.71090779809725,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.775nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r1p774736,1.774736,1.7669258250246676,23107,0.000365855773,842.4043186541871,-581.3091979158418,44.906660801694045,306.00180081551594,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.875nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r1p874736,1.874736,1.8662524635122821,27227,0.000431249885,940.4536920885306,-685.2140738504906,53.29222484588564,308.5318210417052,1,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.975nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r1p974736,1.974736,1.966757690402694,31867,0.000504006069,1043.8970824176754,-800.8165650978685,62.65310686687268,305.73362142605225,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.075nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p074736,2.074736,2.067275813758801,37007,0.000584517023,1152.7377179309037,-928.7406294605635,73.04288214326785,297.03996509846525,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.175nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p174736,2.174736,2.168150148836842,42693,0.000673175446,1266.9787855998006,-1069.6102302501888,84.51556667575632,281.88411100120027,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.275nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p274736,2.274736,2.267625022130703,48843,0.000770374037,1386.6237147931001,-1224.0493280238463,97.12539682607746,259.6997863437252,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.375nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p374736,2.374736,2.368463285517216,55653,0.000876505495,1511.6760450600568,-1392.6818805841233,110.92699458778857,229.92115905760434,0,
cntcon_T400_xB0p050_strictref_exx_eyy_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.475nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_s0p005_r2p474736,2.474736,2.468344788653392,62995,0.000991962521,1642.1392388235608,-1576.1318512426333,125.97564303758257,191.98303061239244,0,
