workflow_name,guide_csv,base_case_tag,mode,strain,T_C,xB_out,rc_schur_nm,window_nm,step_nm,expected_points,available_points,peak_found,rc_cnt_nm,delta_cnt_minus_schur_nm,F_CNT_peak_hat,rc_cnt_fit_nm,delta_fit_minus_schur_nm,F_CNT_fit_hat,fit_method,peak_index,F_ref_hat_same_strain,F_ref_source,F_ref_confidence,F_CNT_peak_hat_absolute,F_CNT_peak_hat_excess,F_CNT_peak_hat_used,F_CNT_fit_hat_absolute,F_CNT_fit_hat_excess,F_CNT_fit_hat_used,rc_cnt_nm_absolute,rc_cnt_nm_excess,rc_cnt_fit_nm_absolute,rc_cnt_fit_nm_excess,fit_method_absolute,fit_method_excess,barrier_reference_type,barrier_reference_warning,status,summary_path,phi_vtk_file,grid_nx,grid_ny,grid_nz,spacing_x,spacing_y,spacing_z,threshold_phi,connected_components,chosen_component,voxel_count,boundary_voxel_count,center_x,center_y,center_z,bbox_x,bbox_y,bbox_z,long_axis_x,long_axis_y,long_axis_z,mid_axis_x,mid_axis_y,mid_axis_z,short_axis_x,short_axis_y,short_axis_z,L1_long,L2_mid,L3_short,L1_over_L3,L2_over_L3,L1_over_L2,long_vs_x_deg,long_vs_y_deg,long_vs_z_deg,mid_vs_x_deg,mid_vs_y_deg,mid_vs_z_deg,short_vs_x_deg,short_vs_y_deg,short_vs_z_deg,short_face_normal_x,short_face_normal_y,short_face_normal_z,short_face_angle_x_deg,short_face_angle_y_deg,short_face_angle_z_deg,short_face_vs_long_deg,short_face_vs_mid_deg,short_face_vs_short_deg,long_face_point_x,long_face_point_y,long_face_point_z,long_face_normal_x,long_face_normal_y,long_face_normal_z,mid_face_point_x,mid_face_point_y,mid_face_point_z,mid_face_normal_x,mid_face_normal_y,mid_face_normal_z,short_face_point_x,short_face_point_y,short_face_point_z
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_sm0p01,minimize,-0.01,400.0,0.05,2.2953769983172116,0.5,0.1,11,11,1,2.195377,-0.09999999831721151,1.5457189999999862e-05,2.1823650181400387,-0.11301198017717295,1.5458856739012392e-05,poly4,4,0.00138556081,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p01_ref_matrix_only/reference_energy.csv,,0.001401018,1.5457189999999862e-05,1.5457189999999862e-05,0.0014010196667390126,1.5458856739012392e-05,1.5458856739012392e-05,2.195377,2.195377,2.1823650181399423,2.1823650181400387,poly4,poly4,matrix_only_same_strain,,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.195nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p01_r2p195377/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.195nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p01_r2p195377/phi_final_cntcon_T400_xB0p050_strictref_exx_sm0p01_r2p195377.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,43931,4834,20.0,20.0,20.0,4.251861,4.404294,4.430353,0.116556,0.043952,0.992211,-0.013974,0.998994,-0.042611,0.993086,0.008899,-0.117053,4.454045,4.398377,4.28287,1.039967,1.02697,1.012656,83.307,87.481,7.156,89.199,2.57,87.558,6.742,89.49,83.278,0.993287,0.009159,-0.115317,6.643,89.475,83.378,89.899,89.99,0.101,20.205319,20.067021,21.979149,0.103893,0.033582,0.994021,19.98176,21.968884,19.940987,-0.009334,0.999486,-0.030669,21.900203,20.017444,19.785396
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_sm0p0075,minimize,-0.0075,400.0,0.05,2.2322321402173952,0.5,0.1,11,11,1,2.132232,-0.10000014021739512,1.4623655999999939e-05,2.1263975142758746,-0.1058346259415206,1.4623989324258538e-05,poly4,4,0.000786198209,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0075_ref_matrix_only/reference_energy.csv,,0.000800821865,1.4623655999999939e-05,1.4623655999999939e-05,0.0008008221983242587,1.4623989324258538e-05,1.4623989324258538e-05,2.132232,2.132232,2.1263975142759746,2.1263975142758746,poly4,poly4,matrix_only_same_strain,,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.132nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0075_r2p132232/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.132nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0075_r2p132232/phi_final_cntcon_T400_xB0p050_strictref_exx_sm0p0075_r2p132232.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,40257,4556,20.0,20.0,20.0,4.079874,4.246605,4.271631,0.090286,0.041152,0.995065,-0.004645,0.999152,-0.040899,0.995905,0.00093,-0.0904,4.338503,4.283808,4.13682,1.048753,1.035532,1.012768,84.82,87.642,5.694,89.734,2.359,87.656,5.187,89.947,84.813,0.996649,0.000192,-0.081792,4.692,89.989,85.308,89.507,89.937,0.497,20.178556,20.090446,21.914437,0.093958,0.047557,0.99444,19.987395,21.898529,19.905252,-0.006389,0.998733,-0.049924,21.833951,20.0,19.855556
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_sm0p005,minimize,-0.005,400.0,0.05,2.1751275695552508,0.5,0.1,11,11,1,2.075128,-0.09999956955525091,1.3765434000000002e-05,2.066666054992285,-0.10846151456296571,1.3766133684281505e-05,poly4,4,0.000355585743,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p005_ref_matrix_only/reference_energy.csv,,0.000369351177,1.3765434000000002e-05,1.3765434000000002e-05,0.00036935187668428156,1.3766133684281505e-05,1.3766133684281505e-05,2.075128,2.075128,2.066666054992282,2.066666054992285,poly4,poly4,matrix_only_same_strain,,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.075nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p005_r2p075128/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.075nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p005_r2p075128/phi_final_cntcon_T400_xB0p050_strictref_exx_sm0p005_r2p075128.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,36987,4298,20.0,20.0,20.0,4.014746,4.088838,4.222975,0.063008,0.025795,0.99768,-0.004617,0.999663,-0.025555,0.998002,0.002996,-0.063106,4.234405,4.165565,4.004919,1.057301,1.040112,1.016526,86.387,88.522,3.904,89.735,1.488,88.536,3.622,89.828,86.382,0.998704,0.002972,-0.05081,2.917,89.83,87.088,89.295,89.98,0.706,20.083855,20.041205,21.889398,0.041583,0.021768,0.998898,19.991093,21.825506,19.920445,-0.004713,0.999058,-0.043134,21.790323,20.0053,19.916129
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_sm0p0025,minimize,-0.0025,400.0,0.05,2.1234060408527964,0.5,0.1,11,11,1,2.023406,-0.10000004085279635,1.2896523800000003e-05,2.0039760300044933,-0.11943001084830307,1.2900216224294608e-05,poly4,4,9.37232532e-05,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0025_ref_matrix_only/reference_energy.csv,,0.000106619777,1.2896523800000003e-05,1.2896523800000003e-05,0.00010662346942429459,1.2900216224294608e-05,1.2900216224294608e-05,2.023406,2.023406,2.0039760300044747,2.0039760300044933,poly4,poly4,matrix_only_same_strain,,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.023nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0025_r2p023406/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.023nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0025_r2p023406/phi_final_cntcon_T400_xB0p050_strictref_exx_sm0p0025_r2p023406.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,34297,4090,20.0,20.0,20.0,3.857898,4.042405,4.073326,0.075178,0.01041,0.997116,-0.004474,0.999939,-0.010102,0.99716,0.003702,-0.07522,4.142977,4.071102,3.883779,1.066739,1.048232,1.017655,85.689,89.404,4.353,89.744,0.633,89.421,4.319,89.788,85.686,0.997044,0.004808,-0.076676,4.406,89.725,85.602,89.917,89.936,0.105,20.100922,20.012903,21.827419,0.054445,0.006953,0.998493,19.970776,21.798858,19.924658,-0.017489,0.999009,-0.040938,21.723788,20.008545,19.869284
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_s000,minimize,0.0,400.0,0.05,2.076510718609466,0.5,0.1,11,11,1,1.976511,-0.0999997186094661,1.2025643653e-05,1.939113647041533,-0.1373970715679329,1.2039374524856955e-05,poly4,4,6.10751247e-07,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s000_ref_matrix_only/energy_minimize_T400_r0.00_xB0.050_cntcon_T400_xB0p050_strictref_exx_s000_ref_matrix_only.csv,,1.26363949e-05,1.2025643653e-05,1.2025643653e-05,1.2650125771856957e-05,1.2039374524856955e-05,1.2039374524856955e-05,1.976511,1.976511,1.9391136470415289,1.939113647041533,poly4,poly4,matrix_only_same_strain,reference_energy.csv missing; using last-row F_total_excess_hat fallback,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.977nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s000_r1p976511/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.977nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s000_r1p976511/phi_final_cntcon_T400_xB0p050_strictref_exx_s000_r1p976511.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,31963,3910,20.0,20.0,20.0,3.800865,3.897182,4.033294,0.051968,0.0,0.998649,0.0,1.0,0.0,0.998649,0.0,-0.051968,4.065091,3.982642,3.770677,1.07808,1.056214,1.020702,87.021,90.0,2.979,90.0,0.0,90.0,2.979,90.0,87.021,0.998685,2.8e-05,-0.051272,2.939,89.998,87.061,89.96,89.998,0.04,20.096684,20.0,21.802041,0.05489,2e-05,0.998492,20.0,21.752436,20.0,1.4e-05,1.0,3.6e-05,21.68262,20.0,19.916625
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_s0p0025,minimize,0.0025,400.0,0.05,2.0339673686815463,0.5,0.1,11,11,1,1.833967,-0.20000036868154636,1.1180464499999999e-05,1.8728219312664496,-0.16114543741509668,1.1194863611271573e-05,poly4,3,7.62482435e-05,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0025_ref_matrix_only/energy_minimize_T400_r0.00_xB0.050_cntcon_T400_xB0p050_strictref_exx_s0p0025_ref_matrix_only.csv,,8.7428708e-05,1.1180464499999999e-05,1.1180464499999999e-05,8.744310711127159e-05,1.1194863611271573e-05,1.1194863611271573e-05,1.833967,1.833967,1.8728219312664536,1.8728219312664496,poly4,poly4,matrix_only_same_strain,reference_energy.csv missing; using last-row F_total_excess_hat fallback,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.834nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0025_r1p833967/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.834nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0025_r1p833967/phi_final_cntcon_T400_xB0p050_strictref_exx_s0p0025_r1p833967.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,25543,3360,20.0,20.0,20.0,3.456245,3.653665,3.689585,0.045579,-0.014426,0.998857,0.001777,0.999895,0.01436,0.998959,-0.00112,-0.0456,3.769405,3.70366,3.494442,1.078686,1.059872,1.017751,87.388,89.173,2.74,89.898,0.829,89.177,2.614,89.936,87.386,0.999115,-0.002628,-0.041979,2.411,89.849,87.594,89.791,89.917,0.225,20.041602,19.986563,21.64186,0.021861,-0.007928,0.99973,19.998295,21.636648,19.997443,-0.001338,0.999999,-0.001013,21.551831,19.995775,19.937183
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_s0p005,minimize,0.005,400.0,0.05,1.9953702684969359,0.5,0.1,11,11,1,1.79537,-0.20000026849693597,1.0374882000000005e-05,1.805785684111958,-0.18958458438497794,1.0375925045713111e-05,poly4,3,0.000320635738,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p005_ref_matrix_only/reference_energy.csv,,0.00033101062,1.0374882000000005e-05,1.0374882000000005e-05,0.00033101166304571315,1.0375925045713111e-05,1.0375925045713111e-05,1.79537,1.79537,1.80578568411199,1.805785684111958,poly4,poly4,matrix_only_same_strain,,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.795nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p005_r1p795370/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.795nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p005_r1p795370/phi_final_cntcon_T400_xB0p050_strictref_exx_s0p005_r1p795370.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,23873,3182,20.0,20.0,20.0,3.412851,3.620875,3.655001,0.039121,-0.02622,0.99889,0.003568,0.999653,0.0261,0.999228,-0.002543,-0.039201,3.704166,3.624781,3.395935,1.090765,1.067388,1.021901,87.758,88.498,2.699,89.796,1.51,88.504,2.251,89.854,87.753,0.999821,-0.002817,-0.018707,1.084,89.839,88.928,88.825,89.985,1.175,20.019764,19.983481,21.632153,0.006999,-0.009305,0.999932,20.002215,21.612342,19.997785,0.001276,0.999999,-0.000326,21.513939,19.995758,19.97697
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_s0p0075,minimize,0.0075,400.0,0.05,1.9603709669388738,0.5,0.1,11,11,1,1.760371,-0.1999999669388739,9.585243000000002e-06,1.7386240676375029,-0.22174689930137093,9.589837093589221e-06,poly4,3,0.000733773199,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0075_ref_matrix_only/energy_minimize_T400_r0.00_xB0.050_cntcon_T400_xB0p050_strictref_exx_s0p0075_ref_matrix_only.csv,,0.000743358442,9.585243000000002e-06,9.585243000000002e-06,0.0007433630360935895,9.589837093589221e-06,9.589837093589221e-06,1.760371,1.760371,1.738624067637495,1.7386240676375029,poly4,poly4,matrix_only_same_strain,reference_energy.csv missing; using last-row F_total_excess_hat fallback,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.760nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0075_r1p760371/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.760nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0075_r1p760371/phi_final_cntcon_T400_xB0p050_strictref_exx_s0p0075_r1p760371.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,22541,3090,20.0,20.0,20.0,3.272022,3.49046,3.627042,0.025773,-0.049478,0.998443,0.00553,0.998766,0.049351,0.999653,-0.004249,-0.026014,3.644461,3.565332,3.313285,1.099954,1.076072,1.022194,88.523,87.164,3.198,89.683,2.846,87.171,1.51,89.757,88.509,0.9992,-0.005204,-0.039654,2.292,89.702,87.727,89.222,89.907,0.784,20.039806,19.932686,21.608738,0.024219,-0.041518,0.998844,20.006785,21.561357,20.071091,0.004259,0.998958,0.045434,21.455462,19.992157,19.942017
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_s0p01,minimize,0.01,400.0,0.05,1.9286692501882017,0.5,0.1,11,11,1,1.628669,-0.30000025018820176,8.824329999999924e-06,1.6718810522459522,-0.2567881979422495,8.841980628274506e-06,poly4,2,0.00131566059,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p01_ref_matrix_only/reference_energy.csv,,0.00132448492,8.824329999999924e-06,8.824329999999924e-06,0.0013245025706282753,8.841980628274506e-06,8.841980628274506e-06,1.628669,1.628669,1.6718810522461065,1.6718810522459522,poly4,poly4,matrix_only_same_strain,,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.629nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p01_r1p628669/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r1.629nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p01_r1p628669/phi_final_cntcon_T400_xB0p050_strictref_exx_s0p01_r1p628669.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,17817,2622,20.0,20.0,20.0,3.039174,3.256863,3.288189,0.018771,-0.062542,0.997866,0.00232,0.998042,0.062509,0.999821,-0.001142,-0.01888,3.366532,3.304709,3.058765,1.100618,1.080406,1.018708,88.924,86.414,3.744,89.867,3.586,86.416,1.084,89.935,88.918,0.997864,-0.005015,-0.06513,3.745,89.713,86.266,87.367,89.613,2.662,20.024739,19.918467,21.471429,0.014751,-0.05468,0.998395,20.006296,21.455926,20.081481,0.004024,0.99842,0.056048,21.350526,19.993333,19.904912
T400_xB0p050,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/input/guide_cnt_scan.csv,cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01,minimize,-0.01,400.0,0.05,2.29837945459384,0.5,0.1,11,11,1,2.098379,-0.20000045459384008,1.4211320000000107e-05,2.0975862622147763,-0.2007931923790638,1.421132613634044e-05,poly4,3,0.00245801069,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01_ref_matrix_only/reference_energy.csv,,0.00247222201,1.4211320000000107e-05,1.4211320000000107e-05,0.002472222016136339,1.421132613634044e-05,1.421132613634044e-05,2.098379,2.098379,2.0975862622147425,2.0975862622147763,poly4,poly4,matrix_only_same_strain,,complete_peak_found,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.098nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01_r2p098379/summary.txt,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps30000_r2.098nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01_r2p098379/phi_final_cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01_r2p098379.vtk,400,400,400,0.1,0.1,0.1,0.5,1,1,38357,4432,20.0,20.0,20.0,4.030739,4.226241,4.242239,0.064459,0.141256,0.987872,-0.035182,0.989637,-0.139212,0.9973,0.025782,-0.068761,4.275845,4.241306,4.039827,1.058423,1.049873,1.008143,86.304,81.879,8.932,87.984,8.256,81.998,4.211,88.523,86.057,0.998781,0.015216,-0.04696,2.829,89.128,87.308,88.846,89.224,1.391,20.10464,20.242227,21.888167,0.055449,0.127489,0.990289,19.944681,21.880851,19.760757,-0.030064,0.99137,-0.127598,21.800217,20.026739,19.920217
