base_case_tag,case_dir,reference_type,T_input,T_K,xB0,xB_out,mode,exx,eyy,ezz,exy,exz,eyz,Nx,Ny,Nz,dx_nm,dy_nm,dz_nm,V_box_m3,gamma_Jm2,lambda_sm_m,w_phys_J_m3,F_surf_ref_hat,F_chem_ref_hat,F_el_ref_hat,F_total_ref_hat,F_total_ref_J,mean_phi,mean_h,mean_xB,voxel_count,status,warnings,_reference_path
cntcon_T400_xB0p050_strictref_exx_sm0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p01_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx,-0.01,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.00138556081,0.00138556081,3.5470356736000024e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p01_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_sm0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0075_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx,-0.0075,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000786198209,0.000786198209,2.0126674150400013e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0075_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_sm0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p005_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx,-0.005,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000355585743,0.000355585743,9.102995020800006e-17,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p005_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_sm0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0025_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx,-0.0025,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,9.37232532e-05,9.37232532e-05,2.3993152819200013e-17,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_sm0p0025_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_s000,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s000_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx,0.0,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,,,6e-10,,0.00000000e+00,-2.22044605e-16,6.10751247e-07,6.10751247e-07,,0.0,0.00000000e+00,0.05,0,fallback_from_energy_csv,reference_energy.csv missing; fell back to F_total_excess_hat from last energy row,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s000_ref_matrix_only/energy_minimize_T400_r0.00_xB0.050_cntcon_T400_xB0p050_strictref_exx_s000_ref_matrix_only.csv
cntcon_T400_xB0p050_strictref_exx_s0p0025,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0025_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx,0.0025,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,,,6e-10,,0.00000000e+00,-2.22044605e-16,7.62482435e-05,7.62482435e-05,,0.0,0.00000000e+00,0.05,0,fallback_from_energy_csv,reference_energy.csv missing; fell back to F_total_excess_hat from last energy row,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0025_ref_matrix_only/energy_minimize_T400_r0.00_xB0.050_cntcon_T400_xB0p050_strictref_exx_s0p0025_ref_matrix_only.csv
cntcon_T400_xB0p050_strictref_exx_s0p005,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p005_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx,0.005,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.000320635738,0.000320635738,8.208274892800005e-17,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p005_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_s0p0075,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0075_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx,0.0075,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,,,6e-10,,0.00000000e+00,-2.22044605e-16,7.33773199e-04,7.33773199e-04,,0.0,0.00000000e+00,0.05,0,fallback_from_energy_csv,reference_energy.csv missing; fell back to F_total_excess_hat from last energy row,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p0075_ref_matrix_only/energy_minimize_T400_r0.00_xB0.050_cntcon_T400_xB0p050_strictref_exx_s0p0075_ref_matrix_only.csv
cntcon_T400_xB0p050_strictref_exx_s0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p01_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx,0.01,0.0,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.00131566059,0.00131566059,3.368091110400002e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_s0p01_ref_matrix_only/reference_energy.csv
cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01_ref_matrix_only,matrix_only_same_strain,400.0,673.15,0.05,0.05,exx_eyy,-0.01,-0.01,0.0,0.0,0.0,0.0,400,400,400,0.1,0.1,0.1,6.400000000000003e-23,0.2,6e-10,4000000000.0000005,0.0,-2.22044605e-16,0.00245801069,0.00245801069,6.292507366400004e-16,0.0,0.0,0.05,0,complete,,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/T400_xB0p050/raw/chel_T400_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T400_xB0p050_strictref_exx_eyy_sm0p01_ref_matrix_only/reference_energy.csv
