path,reason,tracked/untracked,recoverable_from_git,duplicate_of,referenced_by,scientific_risk
__pycache__/elastic_anisotropy_three_cases.cpython-312.pyc,tracked Python bytecode cache,tracked,yes,,none found,none
__pycache__/plot_kirsch_comparison.cpython-312.pyc,tracked Python bytecode cache,tracked,yes,,none found,none
scripts/.DS_Store,tracked macOS Finder metadata,tracked,yes,,none found,none
.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
CNT_SCAN_WORKSTATION_RUN/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
Results/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/summary_reports/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
Results_scan/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
data/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
jobs/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
output/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
output/pdf/aq_gp_mass_density_saturation_closure.pdf,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
output/pdf/aq_gp_molar_volume_mass_closure.pdf,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
output/pdf/caseA_sheskin_yu_gp_unitcell_mass_closure.pdf,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
output/pdf/<redacted_personal_document_1>.pdf,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
output/pdf/<redacted_personal_document_2>.pdf,unreferenced root scratch/render output; canonical scientific reports exist under reports/,untracked,no (reproducible or unrelated),,code=no; report=no,none
outputs/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/beta_staged_natural_handoff_validation/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
reports/current_model_description/.DS_Store,reproducible cache/build/editor artifact,ignored,no (reproducible or unrelated),,code=no; report=no,none
