path,file_type,size,tracked_status,modified_status,generated_or_source,last_modified_time,referenced_by_code,referenced_by_report,duplicate_group,current_scientific_relevance,recommended_action,reason,confidence
.claude/settings.local.json,.json,745,ignored,,source_or_workflow,2026-05-28T01:07:41,no,no,,core_or_regression_workflow,KEEP,"source, workflow, regression, or job-control file",high
.codex/cluster_scheduling_rules.md,.md,626,untracked,??,local_metadata,2026-06-24T13:02:26,no,no,,workflow_policy,REVIEW_REQUIRED,agent-local policy file; project-wide ownership is not established,medium
.gitignore,<none>,1191,tracked, M,source,2026-07-12T13:17:29,no,no,,supporting,KEEP,"project source, input, documentation, or compact evidence",high
.tmp_fitting_inputs/fitting_data_summary.csv,.csv,15771,ignored,,generated,2026-06-25T22:01:05,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_fitting_inputs/fitting_data_summary.md,.md,4328,ignored,,generated,2026-06-25T22:01:05,no,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_fitting_inputs/fitting_file_generation_report.md,.md,2715,ignored,,generated,2026-06-25T22:01:05,no,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_fitting_inputs/pseudo_binary_fitting_workflow_guide.md,.md,4889,ignored,,generated,2026-06-25T22:01:05,no,yes,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p030/input/guide_cnt_scan.csv,.csv,22702,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p030/input/physical_inputs.json,.json,5922,ignored,,generated,2026-06-23T13:22:27,yes,yes,DUP0424:ec8c2b11124f,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
.tmp_radius_table_local/cnt_no_strain_T350C_xB0p030/input/schur_rc_predictions.csv,.csv,598,ignored,,generated,2026-06-23T13:22:27,no,no,,possible_unique_evidence,REVIEW_REQUIRED,scratch-labelled runtime data may contain unique validation evidence; not safe to delete automatically,medium
