library_entry_id,case_id,source_priority,T_C,T_K,xB,strain_mode,strain_value,barrier_mode,DeltaG_bare_kBT,DeltaG_bare_J,DeltaG_eff_kBT_default,r_star_nm,r_star_source_column,r_seed_nm,source_dx_nm,source_internal_unit_to_nm,r_seed_source_internal,semiaxes_source_internal,r_seed_over_dx_for_dx_0p1,r_seed_over_dx_for_dx_0p25,r_seed_over_dx_for_dx_0p5,r_seed_over_dx_for_dx_1p0,tau_bridge_s,tau_bridge_steps,dynamic_continue_dt_s,seed_shape_type,semiaxes_nm,center_of_mass_nm,bbox_length_xyz_nm,orientation_matrix,shape_tensor,shape_tensor_unit,mass_seed_B_equiv,seed_profile_type,seed_source_type,seed_source_path,bridge_source_dir,seed_insertable_dx_0p1,seed_insertable_dx_0p25,seed_insertable_dx_0p5,seed_insertable_dx_1p0,bridge_validation_status,production_valid,debug_only,missing_reason,notes
nlib_00001,cntcon_T350_xB0p030_strictref_exx_s000,50,350.0,623.15,0.03,no_strain,0.0,CNT_refsub,184.72637343503243,1.5892959849984016e-18,184.72637343503243,1.528055,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
nlib_00002,cntcon_T350_xB0p035_strictref_exx_s000,50,350.0,623.15,0.035,no_strain,0.0,CNT_refsub,165.03057238805644,1.4198428801536013e-18,165.03057238805644,1.435737,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
nlib_00003,cntcon_T350_xB0p040_strictref_exx_s000,50,350.0,623.15,0.04,no_strain,0.0,CNT_refsub,151.51040760879994,1.3035219499008012e-18,151.51040760879994,1.369654,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
nlib_00004,cntcon_T350_xB0p045_strictref_exx_s000,50,350.0,623.15,0.045,no_strain,0.0,CNT_refsub,141.79989156107695,1.2199773867724811e-18,141.79989156107695,1.32066,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
nlib_00005,cntcon_T350_xB0p050_strictref_exx_s000,50,350.0,623.15,0.05,no_strain,0.0,CNT_refsub,134.6197202226647,1.158202680391681e-18,134.6197202226647,1.283506,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
nlib_00006,cntcon_T380_xB0p030_strictref_exx_s000,50,380.0,653.15,0.03,no_strain,0.0,CNT_refsub,247.58091394551806,2.232612621926402e-18,247.58091394551806,1.846372,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
nlib_00007,cntcon_T380_xB0p035_strictref_exx_s000,50,380.0,653.15,0.035,no_strain,0.0,CNT_refsub,214.79747487492213,1.936981110220802e-18,214.79747487492213,1.705476,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
nlib_00008,cntcon_T380_xB0p040_strictref_exx_s000,50,380.0,653.15,0.04,no_strain,0.0,CNT_refsub,192.94404289645408,1.7399132212224015e-18,192.94404289645408,1.606646,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
nlib_00009,cntcon_T380_xB0p045_strictref_exx_s000,50,380.0,653.15,0.045,no_strain,0.0,CNT_refsub,177.54120578416976,1.6010149192396815e-18,177.54120578416976,1.534203,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
nlib_00010,cntcon_T380_xB0p050_strictref_exx_s000,50,380.0,653.15,0.05,no_strain,0.0,CNT_refsub,166.26939567310305,1.4993690163916816e-18,166.26939567310305,1.479519,cnt_refsub_peak_radius_nm,,,,,,,,,,,,,,,,,,,,,,missing_bridge,,,false,false,false,false,MISSING,false,true,DYNAMIC_CONTINUE_BRIDGE_MISSING,bridge row retained for future fill
