task_id,case_id,attempt_id,time_h,step,source_type,source_path
0,001,gpu_uvip_74233_1,6,0,fixture,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/fixtures/001
1,001,gpu_uvip_74233_1,12,21798,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/001/gpu_uvip_74233_1/checkpoints/step_21798.chk
2,001,gpu_uvip_74233_1,24,65393,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/001/gpu_uvip_74233_1/checkpoints/step_65393.chk
3,001,gpu_uvip_74233_1,48,152585,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/001/gpu_uvip_74233_1/checkpoints/step_152585.chk
4,002,gpu_uvip_74630_2,6,0,fixture,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/fixtures/002
5,002,gpu_uvip_74630_2,12,21798,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/002/gpu_uvip_74630_2/checkpoints/step_21798.chk
6,002,gpu_uvip_74630_2,24,65393,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/002/gpu_uvip_74630_2/checkpoints/step_65393.chk
7,002,gpu_uvip_74630_2,48,152585,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/002/gpu_uvip_74630_2/checkpoints/step_152585.chk
8,003,gpu_uvip_74964_3,6,0,fixture,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/fixtures/003
9,003,gpu_uvip_74964_3,12,21798,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/003/gpu_uvip_74964_3/checkpoints/step_21798.chk
10,003,gpu_uvip_74964_3,24,65393,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/003/gpu_uvip_74964_3/checkpoints/step_65393.chk
11,003,gpu_uvip_74964_3,48,152585,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/003/gpu_uvip_74964_3/checkpoints/step_152585.chk
12,004,gpu_uvip_75215_4,6,0,fixture,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/fixtures/004
13,004,gpu_uvip_75215_4,12,21798,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/004/gpu_uvip_75215_4/checkpoints/step_21798.chk
14,004,gpu_uvip_75215_4,24,65393,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/004/gpu_uvip_75215_4/checkpoints/step_65393.chk
15,004,gpu_uvip_75215_4,48,152585,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/004/gpu_uvip_75215_4/checkpoints/step_152585.chk
16,019,gpu_vip_24h_74020_0,6,0,fixture,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/fixtures/019
17,019,gpu_vip_24h_74020_0,12,21798,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/019/gpu_vip_24h_74020_0/checkpoints/step_21798.chk
18,019,gpu_vip_24h_74020_0,24,65393,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/019/gpu_vip_24h_74020_0/checkpoints/step_65393.chk
19,019,gpu_vip_24h_74020_0,48,152585,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/019/gpu_vip_24h_74020_0/checkpoints/step_152585.chk
20,020,gpu_vip_24h_74019_0,6,0,fixture,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/fixtures/020
21,020,gpu_vip_24h_74019_0,12,21798,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/020/gpu_vip_24h_74019_0/checkpoints/step_21798.chk
22,020,gpu_vip_24h_74019_0,24,65393,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/020/gpu_vip_24h_74019_0/checkpoints/step_65393.chk
23,020,gpu_vip_24h_74019_0,48,152585,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/020/gpu_vip_24h_74019_0/checkpoints/step_152585.chk
24,021,gpu_vip_24h_74017_0,6,0,fixture,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/fixtures/021
25,021,gpu_vip_24h_74017_0,12,21798,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/021/gpu_vip_24h_74017_0/checkpoints/step_21798.chk
26,021,gpu_vip_24h_74017_0,24,65393,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/021/gpu_vip_24h_74017_0/checkpoints/step_65393.chk
27,021,gpu_vip_24h_74017_0,48,152585,checkpoint,/data/home/luozhiheng/tmp/pf_400cube_psd_spatial_density_ladder_production_v1_20260803/attempts/021/gpu_vip_24h_74017_0/checkpoints/step_152585.chk
