state,component_id,column_pixel_count,x_px,y_median_px,T_K,kappa_lat_W_mK
48h,1,2,1137,441.500000,300.26997840,2.01690141
48h,1,3,1138,442.000000,300.97192225,2.01408451
48h,1,3,1139,442.000000,301.67386609,2.01408451
48h,1,3,1140,443.000000,302.37580994,2.00845070
48h,1,2,1141,443.500000,303.07775378,2.00563380
48h,1,2,1142,444.500000,303.77969762,2.00000000
48h,1,3,1143,445.000000,304.48164147,1.99718310
48h,1,3,1144,446.000000,305.18358531,1.99154930
48h,1,3,1145,446.000000,305.88552916,1.99154930
48h,1,2,1146,446.500000,306.58747300,1.98873239
48h,1,1,1147,447.000000,307.28941685,1.98591549
48h,2,3,1158,454.000000,315.01079914,1.94647887
48h,2,3,1159,454.000000,315.71274298,1.94647887
48h,2,3,1160,455.000000,316.41468683,1.94084507
48h,2,2,1161,455.500000,317.11663067,1.93802817
48h,2,2,1162,456.500000,317.81857451,1.93239437
48h,2,3,1163,457.000000,318.52051836,1.92957746
48h,2,4,1164,457.500000,319.22246220,1.92676056
48h,2,3,1165,458.000000,319.92440605,1.92394366
48h,2,2,1166,458.500000,320.62634989,1.92112676
48h,2,3,1167,459.000000,321.32829374,1.91830986
48h,2,2,1168,459.500000,322.03023758,1.91549296
48h,3,2,1180,466.500000,330.45356371,1.87605634
48h,3,3,1181,467.000000,331.15550756,1.87323944
48h,3,2,1182,467.500000,331.85745140,1.87042254
48h,3,2,1183,467.500000,332.55939525,1.87042254
48h,3,2,1184,468.500000,333.26133909,1.86478873
48h,3,3,1185,469.000000,333.96328294,1.86197183
48h,3,3,1186,470.000000,334.66522678,1.85633803
48h,3,3,1187,470.000000,335.36717063,1.85633803
48h,3,3,1188,470.000000,336.06911447,1.85633803
48h,3,2,1189,470.500000,336.77105832,1.85352113
48h,3,1,1190,471.000000,337.47300216,1.85070423
48h,4,3,1202,478.000000,345.89632829,1.81126761
48h,4,3,1203,478.000000,346.59827214,1.81126761
48h,4,2,1204,478.500000,347.30021598,1.80845070
