family,region,u_nm,phi_mean,phi_std,xB_mean,xB_std,sample_count
-1-1-1,face,-6.067135,9.9999999835e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-6.017135,9.9999999805e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.967135,9.9999999770e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.917135,9.9999999728e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.867135,9.9999999679e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.817135,9.9999999621e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.767135,9.9999999552e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.717135,9.9999999471e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.667135,9.9999999375e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.617135,9.9999999261e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.567135,9.9999999128e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.517135,9.9999998969e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.467135,9.9999998782e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.417135,9.9999998562e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.367135,9.9999998301e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.317135,9.9999997992e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.267135,9.9999997628e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.217135,9.9999997198e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.167135,9.9999996690e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.117135,9.9999996090e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.067135,9.9999995381e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-5.017135,9.9999994543e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.967135,9.9999993553e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.917135,9.9999992384e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.867135,9.9999991003e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.817135,9.9999989371e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.767135,9.9999987444e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.717135,9.9999985166e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.667135,9.9999982476e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.617135,9.9999979298e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.567135,9.9999975543e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.517135,9.9999971108e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.467135,9.9999965868e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.417135,9.9999959678e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.367135,9.9999952365e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.317135,9.9999943726e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.267135,9.9999933520e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.217135,9.9999921464e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.167135,9.9999907220e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.117135,9.9999890394e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.067135,9.9999870515e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-4.017135,9.9999847032e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.967135,9.9999819290e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.917135,9.9999786516e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.867135,9.9999747799e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.817135,9.9999702059e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.767135,9.9999648025e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.717135,9.9999584191e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.667135,9.9999508780e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.617135,9.9999419692e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.567135,9.9999314448e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.517135,9.9999190117e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.467135,9.9999043238e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.417135,9.9998869721e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.367135,9.9998664736e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.317135,9.9998422576e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.267135,9.9998136499e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.217135,9.9997798541e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.167135,9.9997399294e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.117135,9.9996927644e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.067135,9.9996370460e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-3.017135,9.9995712234e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.967135,9.9994934642e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.917135,9.9994016042e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.867135,9.9992930865e-01,0.0,1.2000000000e-02,0.0,1
-1-1-1,face,-2.817135,9.9991648911e-01,0.0,1.2000000000e-02,0.0,1
