path,stage_decision,artifact_type,size_bytes,sha256,acceptance_status,blocking_reason
data/nucleus_library/nucleus_library.csv,COMMIT,seed_library,6244,c93f8089d936db76afac777b2e4c2917aca36e3ef54c449d401cf8cf21d0ac8d,VALIDATION_REFERENCE_ONLY,
data/nucleus_library/nucleus_library.json,COMMIT,seed_library,27201,3570b3b31a337a87982096da489bbf5294a297b3c67e06948a6a7419b38a7f96,VALIDATION_REFERENCE_ONLY,
data/physical_params/D_B_alpha_Ag_in_PbTe_SI.csv,COMMIT,physical_input,800,8cfa7a410e519228eebd0df5bb594867665b1895737927a52f8f9247c3144296,ACCEPTED_PHYSICAL_INPUT,
nucleus_catalog.json,COMMIT,nucleation_metadata,66936,2855bb496e253dba8704b17b73565abb4a4ca1f90d0621163130550ea13ea681,VALIDATION_REFERENCE_ONLY,
selected_nucleus.json,COMMIT,nucleation_metadata,2376,84164fe06f3ca46d92994e8e97375d7048bdef4fe0c40baa39244740cdeecb70,VALIDATION_REFERENCE_ONLY,
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,BLOCKED,parameter_overlay,7156,5ee2136aff01cf4d385ace83d6a4ca7b53fd2d8ea96f711f0d974196d60da457,NOT_PORTABLE,nucleus_library.with_Zr.staging.csv and Results runtime paths are not committed
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,BLOCKED,parameter_overlay,2074,c8342d2b4e7018f22f44cea7aee8052685b150330c44f376078bfc65a9a59e83,NOT_PORTABLE,nucleus_library.with_Zr.staging.csv and Results runtime paths are not committed
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,BLOCKED,parameter_overlay,2076,68de4d495bb0fe07e51553f1c1c46e13df7e91474c2884eded92c192496c0e6c,NOT_PORTABLE,nucleus_library.with_Zr.staging.csv and Results runtime paths are not committed
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,BLOCKED,parameter_overlay,2101,f0d1a39716d24ec7a1e7af1549451260ce6e72019ac16d3b566c50a994ed714c,NOT_PORTABLE,nucleus_library.with_Zr.staging.csv and Results runtime paths are not committed
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,BLOCKED,parameter_overlay,2074,347a52f03229a333cd214a4507955ea732d64843256bedaa1d069381c763cbce,NOT_PORTABLE,nucleus_library.with_Zr.staging.csv and Results runtime paths are not committed
