record_type,field,maximum_absolute_difference,relative_difference,threshold,pass,initial_id,active_match,radius_absolute_difference_m,radius_relative_difference,event_time_absolute_difference_s,radius_before_event_absolute_difference_m,returned_inventory_relative_difference,post_event_ledger_relative_difference
aggregate,time_s,0.0,0.0,0.001,True,,,,,,,,
aggregate,N_m0_m3,0.0,0.0,0.001,True,,,,,,,,
aggregate,M0_m3,0.0,0.0,0.001,True,,,,,,,,
aggregate,M1_m2,175.7265625,5.658953578162896e-12,0.001,True,,,,,,,,
aggregate,M2_m,4.827976226806641e-06,1.131823885396497e-11,0.001,True,,,,,,,,
aggregate,M3_dimensionless,9.947945245336598e-14,1.6977046261984446e-11,0.001,True,,,,,,,,
aggregate,Rmean_m,7.773512524528333e-20,5.658903875492449e-12,0.001,True,,,,,,,,
aggregate,Rmean3_m3,4.4006467732955493e-35,1.6977023620303213e-11,0.001,True,,,,,,,,
aggregate,Sv_m_inv,6.067007780075073e-05,1.1318227514742868e-11,0.001,True,,,,,,,,
aggregate,f_beta,4.1669792616438883e-13,1.6977020600775e-11,0.001,True,,,,,,,,
aggregate,matrix_xB,4.248025542441525e-13,7.596007879786986e-11,0.001,True,,,,,,,,
aggregate,beta_inventory_mol_m3,1.016132955555804e-08,1.6977348066173864e-11,0.001,True,,,,,,,,
aggregate,matrix_inventory_mol_m3,1.016132955555804e-08,7.638721636260007e-11,0.001,True,,,,,,,,
aggregate,total_inventory_mol_m3,0.0,0.0,0.001,True,,,,,,,,
aggregate,inventory_residual_mol_m3,0.0,0.0,0.001,True,,,,,,,,
aggregate,inventory_relative_residual,0.0,0.0,0.001,True,,,,,,,,
aggregate,active_cohort_count,0,0.0,0.001,True,,,,,,,,
aggregate,cumulative_dissolution_inventory_mol_m3,0.0,0.0,0.001,True,,,,,,,,
cohort,,,,0.001,True,MP001,True,7.734304163493319e-20,5.630269352201653e-12,0.0,0.0,0.0,0.0
cohort,,,,0.001,True,MP002,True,7.813217193930878e-20,5.687900638469072e-12,0.0,0.0,0.0,0.0
cohort,,,,0.001,True,MP003,True,0.0,0.0,0.0,0.0,0.0,0.0
cohort,,,,0.001,True,MP004,True,0.0,0.0,0.0,0.0,0.0,0.0
cohort,,,,0.001,True,MP005,True,0.0,0.0,0.0,0.0,0.0,0.0
cohort,,,,0.001,True,MP006,True,0.0,0.0,0.0,0.0,0.0,0.0
