record_type,cohort_count,target_time_h,metric,cohort_value,eulerian_authority_value,relative_error,gate_method,pass,cohort_inventory_relative_residual,coarse_cohort_count,fine_cohort_count,coarse_cohort_value,threshold_relative
cohort_vs_eulerian,400,0.0,N_m0_m3,6.554129385849395e+21,6.554129385849396e+21,1.599870765847122e-16,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,M0_m3,6.554129385849395e+21,6.554129385849396e+21,1.599870765847122e-16,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,M1_m2,61391096965274.83,61391096965274.84,2.5451573228668804e-16,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,M2_m,586418.8858935871,586418.8858935871,0.0,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,M3_dimensionless,0.005712453465239243,0.005712453465239241,3.0367397940880307e-16,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,Rmean_m,9.366781360438268e-09,9.36678136043827e-09,1.7662003215890674e-16,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,Rmean3_m3,8.715808201120715e-25,8.715808201120711e-25,4.2146634730297375e-16,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,Sv_m_inv,7369157.055398418,7369157.055398418,0.0,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,f_beta,0.023928269120492215,0.023928269120492212,1.4499364473389234e-16,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,matrix_xB,0.006220578557312323,0.006220578557312318,8.366055311387227e-16,relative_2_percent,True,0.0,,,,
cohort_vs_eulerian,400,0.0,cumulative_dissolution_inventory_mol_m3,0.0,0.0,0.0,relative_2_percent,True,0.0,,,,
PSD_WASSERSTEIN,400,0.0,W1_number_m,3.09163313857222e-11,0.0,,,,0.0,,,,
PSD_WASSERSTEIN,400,0.0,W1_volume_m,3.275596557185784e-11,0.0,,,,0.0,,,,
cohort_vs_eulerian,400,0.1,N_m0_m3,6.554125297366679e+21,6.55412429998015e+21,1.5217693228723368e-07,relative_2_percent,True,0.0,,,,
