record_type,rtol,reference_rtol,metric,relative_error,threshold,pass,initial_id,event_time_s,reference_event_time_s,absolute_difference_s,relative_difference,threshold_relative
continuous_metric,1e-06,1e-10,N_m0_m3,0.0,0.001,True,,,,,,
continuous_metric,1e-06,1e-10,Rmean_m,3.1172996935318245e-07,0.001,True,,,,,,
continuous_metric,1e-06,1e-10,Rmean3_m3,9.351896149300365e-07,0.001,True,,,,,,
continuous_metric,1e-06,1e-10,Sv_m_inv,6.234598406984352e-07,0.001,True,,,,,,
continuous_metric,1e-06,1e-10,f_beta,9.351896147846721e-07,0.001,True,,,,,,
continuous_metric,1e-06,1e-10,matrix_xB,4.18422386257534e-06,0.001,True,,,,,,
dissolution_event,1e-06,1e-10,,,,True,MP001,,,0.0,0.0,0.001
dissolution_event,1e-06,1e-10,,,,True,MP002,,,0.0,0.0,0.001
dissolution_event,1e-06,1e-10,,,,True,MP003,18557.780198320266,18557.777961092575,0.0022372276907844935,1.205547181066056e-07,0.001
dissolution_event,1e-06,1e-10,,,,True,MP004,18557.784223281247,18557.781986111328,0.002237169919681037,1.2055157892011763e-07,0.001
dissolution_event,1e-06,1e-10,,,,True,MP005,4644.592479362334,4644.591610364366,0.0008689979686096194,1.8709889727881736e-07,0.001
dissolution_event,1e-06,1e-10,,,,True,MP006,4644.597203701372,4644.596334739286,0.0008689620854056557,1.8709098117015005e-07,0.001
continuous_metric,1e-08,1e-10,N_m0_m3,0.0,0.001,True,,,,,,
continuous_metric,1e-08,1e-10,Rmean_m,3.5652969556773396e-09,0.001,True,,,,,,
continuous_metric,1e-08,1e-10,Rmean3_m3,1.0695889938453952e-08,0.001,True,,,,,,
continuous_metric,1e-08,1e-10,Sv_m_inv,7.1305933127667135e-09,0.001,True,,,,,,
continuous_metric,1e-08,1e-10,f_beta,1.0695889926954004e-08,0.001,True,,,,,,
continuous_metric,1e-08,1e-10,matrix_xB,4.7855534853551685e-08,0.001,True,,,,,,
dissolution_event,1e-08,1e-10,,,,True,MP001,,,0.0,0.0,0.001
dissolution_event,1e-08,1e-10,,,,True,MP002,,,0.0,0.0,0.001
dissolution_event,1e-08,1e-10,,,,True,MP003,18557.777969772334,18557.777961092575,8.679759048391134e-06,4.677154272773786e-10,0.001
dissolution_event,1e-08,1e-10,,,,True,MP004,18557.781994789362,18557.781986111328,8.678034646436572e-06,4.676224051414779e-10,0.001
dissolution_event,1e-08,1e-10,,,,True,MP005,4644.591614356105,4644.591610364366,3.991739504272118e-06,8.594382109644659e-10,0.001
dissolution_event,1e-08,1e-10,,,,True,MP006,4644.596338729709,4644.596334739286,3.990422555943951e-06,8.591537925691327e-10,0.001
