scope,authority_grid,target_time_h,metric,relative_error_max_dt_vs_half,threshold,pass
smooth_authority_timestep,3200,0.0,N_m0_m3,0.0,0.02,True
smooth_authority_timestep,3200,0.0,Rmean_m,0.0,0.02,True
smooth_authority_timestep,3200,0.0,Rmean3_m3,0.0,0.02,True
smooth_authority_timestep,3200,0.0,Sv_m_inv,0.0,0.02,True
smooth_authority_timestep,3200,0.0,f_beta,0.0,0.02,True
smooth_authority_timestep,3200,0.0,matrix_xB,0.0,0.02,True
smooth_authority_timestep,3200,0.1,N_m0_m3,0.0,0.02,True
smooth_authority_timestep,3200,0.1,Rmean_m,0.0,0.02,True
smooth_authority_timestep,3200,0.1,Rmean3_m3,0.0,0.02,True
smooth_authority_timestep,3200,0.1,Sv_m_inv,0.0,0.02,True
smooth_authority_timestep,3200,0.1,f_beta,0.0,0.02,True
smooth_authority_timestep,3200,0.1,matrix_xB,0.0,0.02,True
smooth_authority_timestep,3200,1.0,N_m0_m3,0.0,0.02,True
smooth_authority_timestep,3200,1.0,Rmean_m,0.0,0.02,True
smooth_authority_timestep,3200,1.0,Rmean3_m3,0.0,0.02,True
smooth_authority_timestep,3200,1.0,Sv_m_inv,0.0,0.02,True
smooth_authority_timestep,3200,1.0,f_beta,0.0,0.02,True
smooth_authority_timestep,3200,1.0,matrix_xB,0.0,0.02,True
smooth_authority_timestep,3200,3.0,N_m0_m3,0.0,0.02,True
smooth_authority_timestep,3200,3.0,Rmean_m,0.0,0.02,True
smooth_authority_timestep,3200,3.0,Rmean3_m3,0.0,0.02,True
smooth_authority_timestep,3200,3.0,Sv_m_inv,0.0,0.02,True
smooth_authority_timestep,3200,3.0,f_beta,0.0,0.02,True
smooth_authority_timestep,3200,3.0,matrix_xB,0.0,0.02,True
smooth_authority_timestep,3200,6.0,N_m0_m3,0.0,0.02,True
smooth_authority_timestep,3200,6.0,Rmean_m,0.0,0.02,True
smooth_authority_timestep,3200,6.0,Rmean3_m3,0.0,0.02,True
smooth_authority_timestep,3200,6.0,Sv_m_inv,0.0,0.02,True
smooth_authority_timestep,3200,6.0,f_beta,0.0,0.02,True
smooth_authority_timestep,3200,6.0,matrix_xB,0.0,0.02,True
smooth_authority_timestep,3200,12.0,N_m0_m3,0.0,0.02,True
smooth_authority_timestep,3200,12.0,Rmean_m,0.0,0.02,True
smooth_authority_timestep,3200,12.0,Rmean3_m3,0.0,0.02,True
smooth_authority_timestep,3200,12.0,Sv_m_inv,0.0,0.02,True
smooth_authority_timestep,3200,12.0,f_beta,0.0,0.02,True
smooth_authority_timestep,3200,12.0,matrix_xB,0.0,0.02,True
smooth_authority_timestep,3200,24.0,N_m0_m3,0.0,0.02,True
smooth_authority_timestep,3200,24.0,Rmean_m,0.0,0.02,True
smooth_authority_timestep,3200,24.0,Rmean3_m3,0.0,0.02,True
smooth_authority_timestep,3200,24.0,Sv_m_inv,0.0,0.02,True
smooth_authority_timestep,3200,24.0,f_beta,0.0,0.02,True
smooth_authority_timestep,3200,24.0,matrix_xB,0.0,0.02,True
smooth_authority_timestep,3200,48.0,N_m0_m3,0.0,0.02,True
smooth_authority_timestep,3200,48.0,Rmean_m,0.0,0.02,True
smooth_authority_timestep,3200,48.0,Rmean3_m3,0.0,0.02,True
smooth_authority_timestep,3200,48.0,Sv_m_inv,0.0,0.02,True
smooth_authority_timestep,3200,48.0,f_beta,0.0,0.02,True
smooth_authority_timestep,3200,48.0,matrix_xB,0.0,0.02,True
