record_type,target_time_h,time_h,cohort_count,time_s,N_m0_m3,M0_m3,M1_m2,M2_m,M3_dimensionless,Rmean_m,Rmean3_m3,Sv_m_inv,f_beta,matrix_xB,beta_inventory_mol_m3,matrix_inventory_mol_m3,total_inventory_mol_m3,inventory_residual_mol_m3,inventory_relative_residual,active_cohort_count,cumulative_dissolution_inventory_mol_m3,initial_id,initial_radius_m,weight_m3,initial_inventory_mol_m3,active,radius_m,initial_growth_sign,current_growth_dissolution_sign,dissolution_time_s,radius_before_event_m,post_event_ledger_relative_residual,returned_inventory_mol_m3,current_inventory_mol_m3,ledger_relative_residual
GLOBAL,0.0,0.0,6,0.0,6.781684027777777e+21,6.781684027777777e+21,63295331527973.96,597911.3297760115,0.0057123379428742115,9.33327640578893e-09,8.423185037044599e-25,7513575.364489688,0.02392778522154114,0.006221071234813393,583.4764374049876,148.07029623884682,731.5467336438344,0.0,0.0,6,0.0,,,,,,,,,,,,,,
GLOBAL,0.01,0.01,6,36.0,6.781684027777777e+21,6.781684027777777e+21,63308324330837.03,598238.7147076132,0.005718106314049028,9.335192272527906e-09,8.431690846444135e-25,7517689.404873751,0.02395194771821578,0.006196469802531971,584.0656372556215,147.4810963882129,731.5467336438344,0.0,0.0,6,0.0,,,,,,,,,,,,,,
GLOBAL,0.1,0.1,6,360.0,6.781684027777777e+21,6.781684027777777e+21,63291969044469.984,598783.669457609,0.005737112346030035,9.332780587421367e-09,8.45971638096205e-25,7524537.508230253,0.024031559998809682,0.0061154026673065805,586.006974049835,145.5397595939994,731.5467336438344,0.0,0.0,6,0.0,,,,,,,,,,,,,,
GLOBAL,0.39317699499770825,0.39317699499770825,6,1415.4371819917496,6.781684027777777e+21,6.781684027777777e+21,62897554512523.48,595277.0655543583,0.005737160678137758,9.274621798198663e-09,8.459787649554813e-25,7480472.223984247,0.024031762451869085,0.006115196497710397,586.0119108456457,145.53482279818866,731.5467336438344,0.0,0.0,6,0.0,,,,,,,,,,,,,,
GLOBAL,1.0,1.0,6,3600.0,6.781684027777777e+21,6.781684027777777e+21,60741069868644.67,576936.5244919276,0.005721740095886467,8.956635198550869e-09,8.437049075790349e-25,7249998.18772587,0.023967168867982776,0.006180971520210297,584.4368033354332,147.1099303084012,731.5467336438344,0.0,0.0,6,0.0,,,,,,,,,,,,,,
GLOBAL,3.0,3.0,6,10800.0,4.521122685185185e+21,4.521122685185185e+21,48200853057806.75,523538.01574320905,0.005787470410989993,1.066125748273793e-08,1.2800958553844107e-24,6578972.736535372,0.024242499368045952,0.005900544580210942,591.1507076018911,140.3960260419433,731.5467336438344,0.0,0.0,4,0.0243423717474026,,,,,,,,,,,,,,
GLOBAL,6.0,6.0,6,21600.0,2.2605613425925924e+21,2.2605613425925924e+21,31052815258798.348,426565.4363491634,0.0058596320485369575,1.3736771780404109e-08,2.592113710047197e-24,5360379.364439425,0.02454476932856402,0.005592497225814223,598.5215276784127,133.02520596542172,731.5467336438344,0.0,0.0,2,0.0486847434948052,,,,,,,,,,,,,,
GLOBAL,12.0,12.0,6,43200.0,2.2605613425925924e+21,2.2605613425925924e+21,31052836910806.793,426566.03120676894,0.005859644305676004,1.373678135855978e-08,2.5921191322132827e-24,5360386.839640559,0.024544820671147997,0.005592444885684408,598.5227796617328,133.0239539821016,731.5467336438344,0.0,0.0,2,0.0486847434948052,,,,,,,,,,,,,,
GLOBAL,24.0,24.0,6,86400.0,2.2605613425925924e+21,2.2605613425925924e+21,31052836910802.992,426566.031206716,0.005859644305675973,1.37367813585581e-08,2.592119132213269e-24,5360386.839639894,0.02454482067114787,0.00559244488568454,598.5227796617296,133.02395398210479,731.5467336438344,0.0,0.0,2,0.0486847434948052,,,,,,,,,,,,,,
GLOBAL,48.0,48.0,6,172800.0,2.2605613425925924e+21,2.2605613425925924e+21,31052836902408.67,426566.03108971857,0.005859644305606473,1.373678135484472e-08,2.5921191321825245e-24,5360386.83816966,0.02454482067085675,0.005592444885981317,598.5227796546307,133.02395398920373,731.5467336438344,0.0,0.0,2,0.0486847434948052,,,,,,,,,,,,,,
