policy,step,time_start_s,time_end_s,time_end_h,dt_s,lower_tail_active_cfl,boundary_active_cfl,boundary_active,lower_tail_low_cell,lower_tail_high_cell,lower_tail_low_radius_m,lower_tail_high_radius_m,first_cell_M0_fraction,first_cell_M3_fraction,cumulative_number_dissolution_m3,cumulative_beta_volume_dissolution,cumulative_mol_B_returned_mol_m3
current_implicit_policy,1,0.0,1.9302871112416038,0.0005361908642337788,1.9302871112416038,1.1981215483739291,0.0,False,1309,1381,4.223417126950633e-09,4.772200978069105e-09,3.372835940102855e-101,4.089916355249966e-105,0.00019437676253855973,8.583612777512859e-32,2.0931046300843374e-27
current_implicit_policy,2,1.930287111241604,3.8580485922319436,0.0010716801645088733,1.9277614809903396,1.20590039639997,0.0,False,1308,1380,4.216355289305708e-09,4.764221536895526e-09,1.0330677535262095e-45,1.2526259944165884e-49,0.0032642055788676535,1.4414622586194637e-30,3.5149900232131086e-26
current_implicit_policy,3,3.8580485922319436,5.767410637185884,0.0016020585103294124,1.9093620449539406,1.2036983501805083,0.0,False,1307,1379,4.209305259528542e-09,4.756255437884514e-09,1.633678449717777e-44,1.9807650377099623e-48,0.027619981042408804,1.2196891186684533e-29,2.9741986360761133e-25
current_implicit_policy,4,5.767410637185884,7.674379685919986,0.002131772134977774,1.9069690487341011,1.220169656872845,0.0,False,1305,1379,4.195240544636299e-09,4.756255437884514e-09,1.3086356681477972e-43,1.5865708549173153e-47,0.16705051840292373,7.376894982336336e-29,1.7988478095872458e-24
current_implicit_policy,5,7.674379685919986,9.578993600470724,0.0026608315556863123,1.9046139145507384,1.2281019674043652,0.0,False,1304,1378,4.188225820133106e-09,4.7483026587271544e-09,7.5009920388728e-43,9.093563531909895e-47,0.8005854985413724,3.5353587666673894e-28,8.620933860048744e-24
current_implicit_policy,6,9.578993600470724,11.481289488890667,0.0031892470802474073,1.9022958884199432,1.2360870106351929,0.0,False,1303,1377,4.181222824721328e-09,4.740363177151678e-09,3.4124592435443055e-42,4.1367368506346e-46,3.2228106514252914,1.4231823972060915e-27,3.470414780185061e-23
current_implicit_policy,7,11.481289488890667,13.36566670794599,0.003712685196651664,1.8843772190553236,1.2426572198387003,0.0,False,1301,1377,4.167251942757488e-09,4.740363177151678e-09,1.3062901578612413e-41,1.5834539282194568e-45,11.113878224877748,4.90785142693474e-27,1.1967742268611136e-22
current_implicit_policy,8,13.36566670794599,15.247845540918814,0.004235512650255226,1.882178832972823,1.2507450846165598,0.0,False,1300,1376,4.1602840170800886e-09,4.732436970923711e-09,4.2960618683207995e-41,5.2072950764108813e-45,34.436374631124906,1.5206987781592755e-26,3.708207413395293e-22
current_implicit_policy,9,15.247845540918812,17.127859890432404,0.0047577388584534456,1.8800143495135921,1.2588865396011206,0.0,False,1299,1375,4.1533277422433176e-09,4.7245240178458995e-09,1.2712066857472612e-40,1.5407565811778746e-44,97.52940978913693,4.3068660940540767e-26,1.0502246077822131e-21
current_implicit_policy,10,17.127859890432404,19.00574300701782,0.00527937305750495,1.877883116585417,1.2760617943603567,0.0,False,1297,1374,4.139450067200278e-09,4.716624295758164e-09,3.4428784543732183e-40,4.172689504161039e-44,255.81928096397905,1.1296893826909775e-25,2.754735259799014e-21
current_implicit_policy,11,19.00574300701782,20.86615378816881,0.0057961538300468915,1.8604107811509907,1.273836098685166,0.0,False,1296,1374,4.132528628129696e-09,4.716624295758164e-09,8.647397583958068e-40,1.0479887719464944e-43,621.1976841407031,2.74318818222614e-25,6.6892345149263326e-21
current_implicit_policy,12,20.86615378816881,22.724541545070384,0.00631237265140844,1.8583877569015743,1.282136195000489,0.0,False,1295,1373,4.125618762171008e-09,4.708737782537321e-09,2.014811013780907e-39,2.441646763266489e-43,1426.0327983827974,6.297313109597024e-25,1.5355929453527334e-20
current_implicit_policy,13,22.724541545070384,24.580936722758647,0.006828037978544069,1.8563951776882617,1.2996102748787928,0.0,False,1293,1372,4.111833672217584e-09,4.700864456097333e-09,4.4429386285944453e-39,5.383893268603579e-43,3114.6150890284807,1.3754035989726755e-24,3.35390670090145e-20
current_implicit_policy,14,24.580936722758647,26.435369199822574,0.007343158111061826,1.8544324770639269,1.3080726749187301,0.0,False,1292,1371,4.104958409617818e-09,4.693004294388957e-09,9.331489748170588e-39,1.1307198341190426e-42,6506.885862578617,2.8734190189409996e-24,7.006800992321198e-20
current_implicit_policy,15,26.435369199822574,28.27274503114896,0.007853540286430268,1.8373758313263877,1.305842724924996,0.0,False,1291,1370,4.09809464291978e-09,4.685157275399896e-09,1.8766277264585648e-38,2.2738422962871273e-42,12962.264321162462,5.724092540668651e-24,1.3958137337337296e-19
current_implicit_policy,16,28.27274503114896,30.108256274771374,0.008363404520769826,1.835511243622413,1.3236213950072289,0.0,False,1289,1370,4.084401520373341e-09,4.685157275399896e-09,3.6043073422904354e-38,4.36699476039936e-42,24931.91605586517,1.1009850685343551e-23,2.684740102256469e-19
current_implicit_policy,17,30.108256274771374,31.941930344349235,0.008872758428985899,1.8336740695778615,1.3322477956118541,0.0,False,1288,1369,4.077572126177465e-09,4.677323377154638e-09,6.689937317441205e-38,8.105164204366553e-42,46447.67415099674,2.0511137448806873e-23,5.001618534664798e-19
current_implicit_policy,18,31.941930344349238,33.773794159347986,0.009381609488707775,1.8318638149987496,1.3503615799877677,0.0,False,1286,1368,4.06394757631204e-09,4.669502577714417e-09,1.2037369036456057e-37,1.458312262935654e-41,84042.1923116624,3.711275084301666e-23,9.049903885248766e-19
current_implicit_policy,19,33.773794159347986,35.588989639483614,0.009885830455412114,1.8151954801356271,1.3481022998392846,0.0,False,1285,1367,4.057152382487053e-09,4.661694855177148e-09,2.1053674003702214e-37,2.5505056790795947e-41,147185.3170274065,6.499654338301382e-23,1.5849336336661178e-18
