case,step,Q_B_total_mol,Q_B_matrix_mol,Q_B_GP_mol,Q_B_beta_subgrid_mol,Q_B_beta_resolved_fixed_mol,relative_error_vs_case_t0
A,0,6.472257309371116e-19,1.309926818847619e-19,0.0,0.0,5.162330490523496e-19,0.0
A,1,6.472257309371702e-19,1.3805108276157011e-19,0.0,0.0,5.091746481756001e-19,9.060913990808192e-14
A,10,6.472257309371121e-19,1.4271878298530043e-19,0.0,0.0,5.045069479518118e-19,8.927008857939105e-16
A,36,6.472257309371117e-19,1.4324765762867219e-19,0.0,0.0,5.039780733084395e-19,1.4878348096565177e-16
A,363,6.472257309371322e-19,1.6383495457577125e-19,0.0,0.0,4.833907763613609e-19,3.1839664926649476e-14
A,3633,6.472257309371117e-19,1.5837340985896516e-19,0.0,0.0,4.888523210781465e-19,1.4878348096565177e-16
A,10899,6.472257309371116e-19,1.4857580046859402e-19,0.0,0.0,4.986499304685176e-19,0.0
A,21798,6.472257309371116e-19,1.4855808594947823e-19,0.0,0.0,4.986676449876334e-19,0.0
A,43596,6.472257309371118e-19,1.4895464567738924e-19,0.0,0.0,4.982710852597225e-19,2.9756696193130354e-16
A,87191,6.472257309371116e-19,1.4397388318598771e-19,0.0,0.0,5.032518477511238e-19,0.0
A,174382,6.472257309371117e-19,1.4397364015281701e-19,0.0,0.0,5.032520907842947e-19,1.4878348096565177e-16
B,0,6.472257309371116e-19,1.309926818847619e-19,0.0,0.0,5.162330490523496e-19,0.0
B,1,6.472257309371702e-19,1.3805108276157011e-19,0.0,0.0,5.091746481756001e-19,9.060913990808192e-14
B,10,6.472257309371121e-19,1.4271878298530043e-19,0.0,0.0,5.045069479518118e-19,8.927008857939105e-16
B,36,6.472257309371117e-19,1.4324765762867219e-19,0.0,0.0,5.039780733084395e-19,1.4878348096565177e-16
B,363,6.472257309371322e-19,1.6383495457577125e-19,0.0,0.0,4.833907763613609e-19,3.1839664926649476e-14
B,3633,6.472257309371117e-19,1.5837340985896516e-19,0.0,0.0,4.888523210781465e-19,1.4878348096565177e-16
B,10899,6.472257309371116e-19,1.4857580046859402e-19,0.0,0.0,4.986499304685176e-19,0.0
B,21798,6.472257309371116e-19,1.4855808594947823e-19,0.0,0.0,4.986676449876334e-19,0.0
B,43596,6.472257309371118e-19,1.4895464567738924e-19,0.0,0.0,4.982710852597225e-19,2.9756696193130354e-16
B,87191,6.472257309371116e-19,1.4397388318598771e-19,0.0,0.0,5.032518477511238e-19,0.0
B,174382,6.472257309371117e-19,1.4397364015281701e-19,0.0,0.0,5.032520907842947e-19,1.4878348096565177e-16
C,0,6.49190621165383e-19,1.309926818847619e-19,1.309926818847619e-21,6.549634094238094e-22,5.162330490523496e-19,0.0
C,1,6.491906211654416e-19,1.3805108276157011e-19,1.309926818847619e-21,6.549634094238094e-22,5.091746481756001e-19,9.033489532137199e-14
C,10,6.491906211653836e-19,1.4271878298530043e-19,1.309926818847619e-21,6.549634094238094e-22,5.045069479518118e-19,8.89998968683468e-16
C,36,6.491906211653831e-19,1.4324765762867219e-19,1.309926818847619e-21,6.549634094238094e-22,5.039780733084395e-19,1.4833316144724465e-16
C,363,6.491906211654036e-19,1.6383495457577125e-19,1.309926818847619e-21,6.549634094238094e-22,4.833907763613609e-19,3.1743296549710356e-14
C,3633,6.491906211653831e-19,1.5837340985896516e-19,1.309926818847619e-21,6.549634094238094e-22,4.888523210781465e-19,1.4833316144724465e-16
C,10899,6.49190621165383e-19,1.4857580046859402e-19,1.309926818847619e-21,6.549634094238094e-22,4.986499304685176e-19,0.0
C,21798,6.49190621165383e-19,1.4855808594947823e-19,1.309926818847619e-21,6.549634094238094e-22,4.986676449876334e-19,0.0
C,43596,6.491906211653832e-19,1.4895464567738924e-19,1.309926818847619e-21,6.549634094238094e-22,4.982710852597225e-19,2.966663228944893e-16
C,87191,6.49190621165383e-19,1.4397388318598771e-19,1.309926818847619e-21,6.549634094238094e-22,5.032518477511238e-19,0.0
C,174382,6.491906211653831e-19,1.4397364015281701e-19,1.309926818847619e-21,6.549634094238094e-22,5.032520907842947e-19,1.4833316144724465e-16
D,0,6.472257309371116e-19,1.296827550659143e-19,1.309926818847619e-21,0.0,5.162330490523496e-19,0.0
D,1,6.472257309372015e-19,1.3706660418964305e-19,1.309926818847619e-21,0.0,5.088491999287108e-19,1.3896377122191874e-13
D,10,6.472257309371124e-19,1.4188563283543139e-19,1.309926818847619e-21,0.0,5.040301712828334e-19,1.3390513286908659e-15
D,36,6.472257309371116e-19,1.4243490936595552e-19,1.309926818847619e-21,0.0,5.034808947523085e-19,0.0
D,363,6.472257309371335e-19,1.638595808060428e-19,1.309926818847619e-21,0.0,4.820562233122432e-19,3.3922633660168606e-14
D,3633,6.472257309371117e-19,1.5841393973974123e-19,1.309926818847619e-21,0.0,4.875018643785228e-19,1.4878348096565177e-16
D,10899,6.472257309371117e-19,1.486069733163284e-19,1.309926818847619e-21,0.0,4.973088308019356e-19,1.4878348096565177e-16
D,21798,6.472257309371116e-19,1.4858961061130211e-19,1.309926818847619e-21,0.0,4.973261935069619e-19,0.0
