case,step,time_h,particle_id,previous_step,dense_component_label,component_cell_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm,wraps_periodic_x,wraps_periodic_y,wraps_periodic_z,overlap_parent_ids,overlap_parent_count,identity_event,unresolved_merge,unresolved_split,unresolved_new_component
A,0,0.0,1,,1,6727,2144.6059916917998,7.999932118399893,18.5,34.5,56.499999999999986,False,False,False,,0,initial_component,False,False,False
A,0,0.0,2,,2,12177,4848.96441605612,10.49993948124773,22.499999999999996,5.499999999999999,22.499999999999996,False,True,False,,0,initial_component,False,False,False
A,0,0.0,3,,3,9745,3591.3166767915454,9.4999582712095,33.5,81.5,70.5,False,False,False,,0,initial_component,False,False,False
A,0,0.0,4,,4,12177,4848.964186687386,10.499939315689502,54.49999999999999,37.5,32.5,False,False,False,,0,initial_component,False,False,False
A,0,0.0,5,,5,9745,3591.316553111772,9.49995816215454,86.49999999999997,81.5,70.5,True,False,False,,0,initial_component,False,False,False
A,0,0.0,6,,6,6727,2144.6051614268026,7.99993108603241,95.5,43.5,5.499999999999999,True,False,True,,0,initial_component,False,False,False
A,1,0.00027525724870644004,1,0,1,6695,2102.3498698382664,7.947041135303475,18.5,34.5,56.499999999999986,False,False,False,1,1,continuous_identity,False,False,False
A,1,0.00027525724870644004,2,0,2,12155,4798.68686216636,10.463523015155648,22.499999999999996,5.500000000000001,22.5,False,True,False,2,1,continuous_identity,False,False,False
A,1,0.00027525724870644004,3,0,3,9704,3538.4698032593856,9.45312995153562,33.498128491259784,81.50120755108556,70.49911050541733,False,False,False,3,1,continuous_identity,False,False,False
A,1,0.00027525724870644004,4,0,4,12155,4798.5524584273835,10.463425325253775,54.49999999999999,37.5,32.5,False,False,False,4,1,continuous_identity,False,False,False
A,1,0.00027525724870644004,5,0,5,9705,3538.8274342707246,9.453448414856684,86.50296949425548,81.49890426234441,70.5004411059443,True,False,False,5,1,continuous_identity,False,False,False
A,1,0.00027525724870644004,6,0,6,6695,2103.4227334596794,7.948392740560451,95.5,43.5,5.500000000000001,True,False,True,6,1,continuous_identity,False,False,False
A,10,0.0027525724870644005,1,1,1,6447,2058.678678056871,7.891628860556287,18.494777928107887,34.498466358968955,56.532915913574506,False,False,False,1,1,continuous_identity,False,False,False
A,10,0.0027525724870644005,2,1,2,11963,4786.689563909165,10.454795713129592,22.500963473010206,5.500044421098532,22.494095664193914,False,True,False,2,1,continuous_identity,False,False,False
A,10,0.0027525724870644005,3,1,3,9453,3496.4959914953824,9.415603069148743,33.50577918279357,81.50122767052753,70.49741243362989,False,False,False,3,1,continuous_identity,False,False,False
A,10,0.0027525724870644005,4,1,4,11959,4786.226419196035,10.45445851143217,54.50113991038124,37.50075930233961,32.49454272625098,False,False,False,4,1,continuous_identity,False,False,False
A,10,0.0027525724870644005,5,1,5,9458,3497.968137286646,9.416924315293375,86.49102426136527,81.50045295487976,70.50350878411284,True,False,False,5,1,continuous_identity,False,False,False
A,10,0.0027525724870644005,6,1,6,6467,2062.834160373488,7.8969350932147115,95.50016090305107,43.502403728879,5.494324895036449,True,False,True,6,1,continuous_identity,False,False,False
A,36,0.009909260953431842,1,10,1,6442,2055.351856151704,7.887375614867339,18.497604352241503,34.492747905547816,56.52729515877312,False,False,False,1,1,continuous_identity,False,False,False
A,36,0.009909260953431842,2,10,2,11987,4780.238483817217,10.450096916254852,22.501127783282538,5.49959555117796,22.4938224152166,False,True,False,2,1,continuous_identity,False,False,False
A,36,0.009909260953431842,3,10,3,9476,3495.5642558384156,9.414766647723548,33.503099126284006,81.49965922963722,70.50061589581051,False,False,False,3,1,continuous_identity,False,False,False
A,36,0.009909260953431842,4,10,4,11978,4779.887864805442,10.449841413504538,54.501826329498044,37.50090847353341,32.49954909443899,False,False,False,4,1,continuous_identity,False,False,False
A,36,0.009909260953431842,5,10,5,9476,3496.8831791267958,9.415950604748323,86.49690087371599,81.50034077036277,70.49938410418949,True,False,False,5,1,continuous_identity,False,False,False
A,36,0.009909260953431842,6,10,6,6456,2059.278722269964,7.892395511885482,95.5005955838715,43.50166546297189,5.473712400899034,True,False,True,6,1,continuous_identity,False,False,False
A,363,0.09991838128043773,1,36,1,5937,1819.132072496844,7.572835804968762,18.471379242217726,34.4803547232789,56.6055477025481,False,False,False,1,1,continuous_identity,False,False,False
A,363,0.09991838128043773,2,36,2,12037,4778.616545619843,10.448914874204311,22.494943107467954,5.516676114222889,22.491948555563383,False,True,False,2,1,continuous_identity,False,False,False
A,363,0.09991838128043773,3,36,3,9137,3315.9932166219587,9.250708755146812,33.49661319241284,81.50017778317721,70.49904831539256,False,False,False,3,1,continuous_identity,False,False,False
A,363,0.09991838128043773,4,36,4,11997,4758.149824699742,10.433976027124016,54.49157976389837,37.50889993624168,32.50545328532047,False,False,False,4,1,continuous_identity,False,False,False
A,363,0.09991838128043773,5,36,5,9148,3321.0198886899225,9.255380739239799,86.49432857899164,81.49127013753511,70.50303063632795,True,False,False,5,1,continuous_identity,False,False,False
A,363,0.09991838128043773,6,36,6,5981,1830.034225820384,7.5879338171839805,95.51741128458261,43.51713954530142,5.44593933330738,True,False,True,6,1,continuous_identity,False,False,False
A,3633,1.0000095845504966,1,363,,0,0.0,0.0,,,,False,False,False,1,1,later_coarsening_or_dissolution_candidate,False,False,False
A,3633,1.0000095845504966,2,363,1,16527,7235.647149368194,11.998572782659316,22.358803190360273,5.524973680095513,22.4126858488199,False,True,False,2,1,continuous_identity,False,False,False
A,3633,1.0000095845504966,3,363,2,7684,2619.012012412052,8.550987935446162,33.52560273500562,81.47661119131557,70.57893748390869,False,False,False,3,1,continuous_identity,False,False,False
A,3633,1.0000095845504966,4,363,3,16337,7132.443926727738,11.941253523830785,54.55139311564322,37.6699610238881,32.63590946406783,False,False,False,4,1,continuous_identity,False,False,False
A,3633,1.0000095845504966,5,363,4,8610,3059.8960046255233,9.006153658720137,86.44726544941915,81.31073091116073,70.5486717867877,True,False,False,5,1,continuous_identity,False,False,False
A,3633,1.0000095845504966,6,363,,0,0.0,0.0,,,,False,False,False,6,1,later_coarsening_or_dissolution_candidate,False,False,False
A,10899,3.0000287536514896,2,3633,1,22183,10535.794443004947,13.599602871020714,22.285864655927902,5.070203090248947,22.222168536361984,False,True,False,2,1,continuous_identity,False,False,False
A,10899,3.0000287536514896,3,3633,,0,0.0,0.0,,,,False,False,False,3,1,later_coarsening_or_dissolution_candidate,False,False,False
