parameter_set,mode,status,gamma_g_J_m2,xB_g,xeq_g_infinity,site_density_g_m3,attachment_prefactor_s_inv,D_scale_g,elastic_penalty_J_m3,N_g_6h_m3,N_g_48h_m3,matrix_Ag_6h,peak_time_h,peak_N_g_m3,failure_reason,config_sha256
0,prescribed_source,RUNNABLE_NONPREDICTIVE,0.004,0.02,0.0057,,,,0.0,2.2131239097777903e+23,6.880983797830583e+22,0.005745817792675392,2.0,2.989220546327024e+23,PRESCRIBED_SOURCE_IS_NOT_A_GP_NUCLEATION_PREDICTION,2aa878559ca897fdbb80b384791280eac2d642dc6b175b116fb109abcfe8da43
1,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.01472669514891165,0.016239045997385574,0.007143911701567232,2.4669884611235497e+28,0.02137735969978076,0.004768226459524633,4775079.118731635,4.129694300118091e-19,6.15758683173617e-19,0.007799997913867769,48.0,6.15758683173617e-19,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
2,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.003016267538523536,0.1058126274754212,0.0055528016600769675,1.608990590203069e+26,0.004100209150331935,0.010175135549595189,1482715.2958977602,1.1387784369842094e+24,4.626522907497167e+23,0.005732682645041365,0.5,4.3137783390445104e+24,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
3,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.001369313982107166,0.10819374806222218,0.006227861053161598,1.0187855067591873e+28,0.002416612081966514,0.004273882066375357,6960272.211976551,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-3.14788263674761959e+00; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
4,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0010076096532730635,0.09664277674217098,0.007190052821929608,3.8622694909039534e+27,0.09696192869875825,0.008985112371246533,836001.827385369,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-1.361549e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
5,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.00454722217379412,0.11328132553694474,0.0060622549846431105,2.451838644272789e+27,0.07490674395701767,0.012182077872151656,9560165.075632403,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-4.429869e+00,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
6,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.0016420437607554807,0.012087224801111521,0.0053755207083822365,2.1119385072431523e+26,0.0011178407499585954,0.022949361475416697,5445927.220869966,1.1013632002839975e+24,1.440050645705969e+23,0.00562054114955762,0.5,2.305983016418392e+24,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
7,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.006736246623260567,0.08843865956758784,0.006629094951370805,1.9899254065616653e+27,0.0027890776110371606,0.018451608937619032,4945877.764582664,8.477367698767574e+22,1.1225493363517228e+22,0.007209828288886697,0.5,7.297910932225755e+23,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
8,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.003800848065796498,0.0903618956390499,0.005844746434717064,2.35964088624415e+28,0.05129598399227907,0.0029151043630752335,6104052.663388175,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-4.267363e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
9,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.003906315741238729,0.08153081007486641,0.0052575675972205815,1.0164310831027348e+26,0.1345628241587941,0.001561278516838008,9873657.901002102,nan,nan,nan,nan,nan,InventoryError: Inventory closure would require an unphysical matrix composition xB_alpha=-6.93053515020734950e-02; no clamping was applied,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
10,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0036347889125116187,0.10093120175165847,0.005670753199000646,7.287079293759828e+26,22.495674254672306,0.0040736203161465066,3232596.142650903,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-6.137909e+02,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
11,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.009650728138617424,0.11625726798829551,0.00696836448622536,2.219184921505293e+26,1.1399478930585114e-05,0.014766235723339615,3605825.233312911,3.4657989680515267e+18,2.142401869560369e+19,0.007799977443001482,48.0,2.142401869560369e+19,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
12,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.008029203256311644,0.10766870060336171,0.006308919335973566,2.1984224684985957e+27,0.00010359491324453932,0.003253941806670427,8787830.5778446,2.9693643644789726e+23,5.6556430009366005e+22,0.007399475040478673,2.0,4.7285046853994135e+23,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
13,effective_cnt,INFEASIBLE_SOFT_CONSTRAINTS,0.015702404474472107,0.05306315581940854,0.005473046554231126,1.2776241431023747e+27,0.0003950828357438578,0.029334097095124363,2292631.4658815465,7.772727314679464e+22,1.093665466380332e+22,0.005838674213090005,0.5,1.7032035140603944e+23,,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
14,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.002255100668983831,0.06336782521930853,0.004816355693602093,1.442653567465571e+27,0.6567993072243838,0.01575151590277897,157688.03010313457,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-3.643329e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
15,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.003134887325468855,0.079630656017231,0.005593885389124358,4.420396007034788e+27,0.361289003985732,0.001205624467948561,5571106.806724504,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-6.007383e+01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
16,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0010799669658973267,0.03200767751975438,0.005974335327803269,6.61156514487724e+28,0.0007526467819522274,0.020386953343122374,6367864.047986418,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-9.707557e-01,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
17,effective_cnt,INFEASIBLE_SOLVER_OR_INVENTORY,0.0027828903943332237,0.03951695387196589,0.00591685110556568,1.0125780088618613e+27,2.874962262575713,0.0027245946016708714,4263785.887006334,nan,nan,nan,nan,nan,InventoryError: Population volume fraction leaves no matrix volume: f_matrix=-1.103905e+02,66f9e444bfe1a296e5a679e40172e06536868d4811513ae9bc16510eae5fa477
