scenario,parameter_set,time_s,time_h,matrix_xB,g_number_density_m3,g_mean_radius_m,g_mean_radius_nm,g_mean_radius_cubed_m3,g_specific_surface_area_m_inv,g_volume_fraction,g_B_inventory_mol_m3,beta_number_density_m3,beta_mean_radius_m,beta_mean_radius_nm,beta_mean_radius_cubed_m3,beta_specific_surface_area_m_inv,beta_volume_fraction,beta_B_inventory_mol_m3,C_B_total_mol_m3,C_B_matrix_mol_m3,C_B_GP_mol_m3,C_B_beta_mol_m3,inventory_residual_mol_m3,inventory_relative_residual,matrix_Ag_at_fraction
prescribed_source,0,0.0,0.0,0.007830537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,190.94679216757297,0.0,0.0,0.0,0.0,0.007799997913867769
prescribed_source,0,1800.0,0.5,0.0075749829523175,7.10734462448902e+22,3.84735360376006e-09,3.84735360376006,6.908595847941896e-26,14206607.310917633,0.02056770197592328,10.030823466031007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,180.91596870154197,10.030823466031007,0.0,0.0,0.0,0.007546401022768091
prescribed_source,0,3600.0,1.0,0.006405042117128179,1.8686932327171216e+23,4.433975923259279e-09,4.433975923259279,1.3395569255309086e-25,54290664.81994762,0.10485467444277927,51.13739639726853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,139.80939577030443,51.13739639726853,0.0,0.0,0.0,0.006384595316177711
prescribed_source,0,7200.0,2.0,0.005784762729969705,2.989220546327024e+23,3.7311858089511e-09,3.7311858089511003,1.1493625204303064e-25,71650841.9536361,0.1439141838556125,70.18663408306104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,120.76015808451193,70.18663408306104,0.0,0.0,0.0,0.005768079245049568
prescribed_source,0,14400.0,4.0,0.005764675027509892,2.8762891778220626e+23,3.621194052158432e-09,3.621194052158432,1.204516515031479e-25,69217549.84024532,0.14512222070675618,70.77579102477806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,120.17100114279489,70.77579102477806,0.0,-2.842170943040401e-14,1.4884622625899578e-16,0.005748107042946927
prescribed_source,0,21600.0,6.0,0.005762372564078746,2.2131239097777903e+23,4.165614718362318e-09,4.165614718362318,1.5669426512674896e-25,66414044.29648745,0.14526046879856647,70.84321431810893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,120.10357784946402,70.84321431810893,0.0,-2.842170943040401e-14,1.4884622625899578e-16,0.005745817792675392
prescribed_source,0,28800.0,8.0,0.005759267889351778,1.4972027225235365e+23,5.380810332035057e-09,5.380810332035057,2.319182868178843e-25,63926012.98852964,0.14544681372802956,70.93409433442882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,120.01269783314414,70.93409433442882,0.0,0.0,0.0,0.005742730926440859
prescribed_source,0,57600.0,16.0,0.005753076896508402,1.0540810110301749e+23,6.4904267950548745e-09,6.490426795054875,3.30254704503084e-25,59828267.514708556,0.1458181593597891,71.11519879040654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,119.83159337716643,71.11519879040654,0.0,0.0,0.0,0.0057365754167607785
prescribed_source,0,86400.0,24.0,0.005750217264249727,9.116549425202394e+22,6.854281603659175e-09,6.854281603659175,3.822986340443467e-25,57322881.515272096,0.14598957572392351,71.19879817792363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,119.74799398964933,71.19879817792363,0.0,0.0,0.0,0.005733732161418142
prescribed_source,0,172800.0,48.0,0.005745483226120843,6.880983797830583e+22,7.56243612300901e-09,7.56243612300901,5.074878114315385e-25,52409036.26467377,0.1462731993623197,71.33712080875891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.94679216757297,119.60967135881405,71.33712080875891,0.0,0.0,0.0,0.005729025216977758
