diagnostic,bins,metric,value,reference_400_bins,relative_difference_vs_400,target_relative_difference,time_s,config_label
N5_radius_bin_convergence,100,beta_number_density_m3,1.9999999999999996e+22,1.9999999999999996e+22,0.0,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,100,beta_mean_radius_m,5.159963990076629e-09,5.161191767798374e-09,0.0002378864760277272,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,100,beta_mean_radius_cubed_m3,1.5445121217744237e-25,1.5433273720677026e-25,0.0007676593625977337,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,100,beta_specific_surface_area_m_inv,6957835.120010909,6957546.598386259,4.14688742029834e-05,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,100,beta_volume_fraction,0.012939274493725101,0.012929349157791824,0.0007676593625979562,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,100,matrix_xB,0.006195374340570861,0.006205367388944145,0.001610387870199042,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,200,beta_number_density_m3,2e+22,1.9999999999999996e+22,2.0971520000000003e-16,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,200,beta_mean_radius_m,5.1607887949680316e-09,5.161191767798374e-09,7.807747676738702e-05,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,200,beta_mean_radius_cubed_m3,1.543718961617786e-25,1.5433273720677026e-25,0.0002537307101336663,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,200,beta_specific_surface_area_m_inv,6957656.811636668,6957546.598386259,1.5840821020795377e-05,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,200,beta_volume_fraction,0.012932629730735203,0.012929349157791824,0.00025373071013408914,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,200,matrix_xB,0.0062020644575726735,0.006205367388944145,0.0005322700759597462,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,400,beta_number_density_m3,1.9999999999999996e+22,1.9999999999999996e+22,0.0,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,400,beta_mean_radius_m,5.161191767798374e-09,5.161191767798374e-09,0.0,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,400,beta_mean_radius_cubed_m3,1.5433273720677026e-25,1.5433273720677026e-25,0.0,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,400,beta_specific_surface_area_m_inv,6957546.598386259,6957546.598386259,0.0,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,400,beta_volume_fraction,0.012929349157791824,0.012929349157791824,0.0,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
N5_radius_bin_convergence,400,matrix_xB,0.006205367388944145,0.006205367388944145,0.0,0.02,30000.0,synthetic_N5_qualification_not_physical_fit
