case,time_h,execution_status,evidence_level,status_reason,runtime_adapter_status,contract_hash,Q_B_matrix_mol,Q_B_GP_mol,Q_B_beta_subgrid_mol,Q_B_beta_resolved_mol,Q_B_total_mol,relative_residual,xB_matrix_mean,xB_matrix_min,xB_matrix_max,beta_volume_fraction,particle_count,mean_radius_m,S_v_m_minus_1,free_energy_components,clipping_count,nan_inf_count,restart_hash,gp_subgrid_psd_checksum,maximum_matrix_composition_pulse,beta_volume_transient,particle_loss,energy_jump,profile_relaxation_time_s
A_BASELINE_LEGACY_ZERO_AUX,0,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
A_BASELINE_LEGACY_ZERO_AUX,6,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
A_BASELINE_LEGACY_ZERO_AUX,48,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
B_IDENTITY_ADAPTER_ZERO_AUX,0,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
B_IDENTITY_ADAPTER_ZERO_AUX,6,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
B_IDENTITY_ADAPTER_ZERO_AUX,48,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
C_NONZERO_FROZEN_AUX_STORAGE,0,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
C_NONZERO_FROZEN_AUX_STORAGE,6,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
C_NONZERO_FROZEN_AUX_STORAGE,48,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
D_CONSERVATIVE_MATRIX_TO_GP_CONTROL,0,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
D_CONSERVATIVE_MATRIX_TO_GP_CONTROL,6,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
D_CONSERVATIVE_MATRIX_TO_GP_CONTROL,48,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
E_FIXTURE_CONDITIONED_KWN_HANDOFF_V2,0,NOT_RUN_NO_CUDA_OR_PF_BINARY,NOT_A_PF_TRAJECTORY,NVCC_NOT_FOUND;MAIN_CUDA_BINARY_NOT_FOUND,SOURCE_INTEGRATED_UNCOMPILED_NOT_RUN,d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,,,,,,,,,,,,,,,,,,,,,,,
