contract_hash,temperature_K,xB,radius_m,G_alpha_J_mol,mu_A_J_mol,mu_B_J_mol,dGdx_J_mol,d2Gdx2_J_mol,driving_force_beta_J_mol,D_alpha_m2_s,planar_solvus_xB,curvature_equilibrium_xB,Vm_alpha_m3_mol,Vm_beta_m3_mol,convex_extrapolation_enabled,python_G_alpha_J_mol,relative_error_G_alpha_J_mol,python_mu_A_J_mol,relative_error_mu_A_J_mol,python_mu_B_J_mol,relative_error_mu_B_J_mol,python_dGdx_J_mol,relative_error_dGdx_J_mol,python_d2Gdx2_J_mol,relative_error_d2Gdx2_J_mol,python_driving_force_beta_J_mol,relative_error_driving_force_beta_J_mol,python_D_alpha_m2_s,relative_error_D_alpha_m2_s,python_planar_solvus_xB,absolute_error_planar_solvus_xB,python_curvature_equilibrium_xB,relative_error_curvature_equilibrium_xB,relative_error_Vm_alpha_m3_mol,relative_error_Vm_beta_m3_mol,maximum_relative_error,row_status
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,9.9999999999999995e-07,2.0000000000000001e-09,-152671.02296555325,-152670.97492801095,-200708.51720803103,-48037.542280020076,5430537807.4774036,-45585.366720315629,8.0732559548039631e-18,0.004649261005504824,0.016532975204293306,4.1009e-05,4.1009e-05,0,-152671.02296555327,1.9063100443952823e-16,-152670.97492801095,0.0,-200708.517208031,1.4500545797250882e-16,-48037.54228002005,6.058559425684577e-16,5430537807.477404,0.0,-45585.36672031562,1.5961169422688474e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.016532975204293306,0.0,0.0,0.0,6.058559425684577e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,9.9999999999999995e-07,5.0000000000000001e-09,-152671.02296555325,-152670.97492801095,-200708.51720803103,-48037.542280020076,5430537807.4774036,-45585.366720315629,8.0732559548039631e-18,0.004649261005504824,0.0077227284176431162,4.1009e-05,4.1009e-05,0,-152671.02296555327,1.9063100443952823e-16,-152670.97492801095,0.0,-200708.517208031,1.4500545797250882e-16,-48037.54228002005,6.058559425684577e-16,5430537807.477404,0.0,-45585.36672031562,1.5961169422688474e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.007722728417643116,0.0,0.0,0.0,6.058559425684577e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,9.9999999999999995e-07,1e-08,-152671.02296555325,-152670.97492801095,-200708.51720803103,-48037.542280020076,5430537807.4774036,-45585.366720315629,8.0732559548039631e-18,0.004649261005504824,0.0059920764421235572,4.1009e-05,4.1009e-05,0,-152671.02296555327,1.9063100443952823e-16,-152670.97492801095,0.0,-200708.517208031,1.4500545797250882e-16,-48037.54228002005,6.058559425684577e-16,5430537807.477404,0.0,-45585.36672031562,1.5961169422688474e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005992076442123557,0.0,0.0,0.0,6.058559425684577e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,9.9999999999999995e-07,2e-08,-152671.02296555325,-152670.97492801095,-200708.51720803103,-48037.542280020076,5430537807.4774036,-45585.366720315629,8.0732559548039631e-18,0.004649261005504824,0.005278136730359412,4.1009e-05,4.1009e-05,0,-152671.02296555327,1.9063100443952823e-16,-152670.97492801095,0.0,-200708.517208031,1.4500545797250882e-16,-48037.54228002005,6.058559425684577e-16,5430537807.477404,0.0,-45585.36672031562,1.5961169422688474e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005278136730359412,0.0,0.0,0.0,6.058559425684577e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,9.9999999999999995e-07,5.0000000000000004e-08,-152671.02296555325,-152670.97492801095,-200708.51720803103,-48037.542280020076,5430537807.4774036,-45585.366720315629,8.0732559548039631e-18,0.004649261005504824,0.0048912809758695618,4.1009e-05,4.1009e-05,0,-152671.02296555327,1.9063100443952823e-16,-152670.97492801095,0.0,-200708.517208031,1.4500545797250882e-16,-48037.54228002005,6.058559425684577e-16,5430537807.477404,0.0,-45585.36672031562,1.5961169422688474e-16,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.004891280975869562,0.0,0.0,0.0,6.058559425684577e-16,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-06,2.0000000000000001e-09,-152671.11200358436,-152670.98578897968,-194742.52068020523,-42071.534891225543,1810143634.7904058,-39619.370192489827,8.0732559548039631e-18,0.004649261005504824,0.016532975204293306,4.1009e-05,4.1009e-05,0,-152671.11200358436,0.0,-152670.98578897968,0.0,-194742.52068020523,0.0,-42071.53489122554,0.0,1810143634.7904058,0.0,-39619.37019248983,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.016532975204293306,0.0,0.0,0.0,0.0,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-06,5.0000000000000001e-09,-152671.11200358436,-152670.98578897968,-194742.52068020523,-42071.534891225543,1810143634.7904058,-39619.370192489827,8.0732559548039631e-18,0.004649261005504824,0.0077227284176431162,4.1009e-05,4.1009e-05,0,-152671.11200358436,0.0,-152670.98578897968,0.0,-194742.52068020523,0.0,-42071.53489122554,0.0,1810143634.7904058,0.0,-39619.37019248983,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.007722728417643116,0.0,0.0,0.0,0.0,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-06,1e-08,-152671.11200358436,-152670.98578897968,-194742.52068020523,-42071.534891225543,1810143634.7904058,-39619.370192489827,8.0732559548039631e-18,0.004649261005504824,0.0059920764421235572,4.1009e-05,4.1009e-05,0,-152671.11200358436,0.0,-152670.98578897968,0.0,-194742.52068020523,0.0,-42071.53489122554,0.0,1810143634.7904058,0.0,-39619.37019248983,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005992076442123557,0.0,0.0,0.0,0.0,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-06,2e-08,-152671.11200358436,-152670.98578897968,-194742.52068020523,-42071.534891225543,1810143634.7904058,-39619.370192489827,8.0732559548039631e-18,0.004649261005504824,0.005278136730359412,4.1009e-05,4.1009e-05,0,-152671.11200358436,0.0,-152670.98578897968,0.0,-194742.52068020523,0.0,-42071.53489122554,0.0,1810143634.7904058,0.0,-39619.37019248983,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.005278136730359412,0.0,0.0,0.0,0.0,PASS
d0ff02973ab0f737043e1a40d4f69893a469cbfe2bc4cd22f9e6a410bd0b1333,653.14999999999998,3.0000000000000001e-06,5.0000000000000004e-08,-152671.11200358436,-152670.98578897968,-194742.52068020523,-42071.534891225543,1810143634.7904058,-39619.370192489827,8.0732559548039631e-18,0.004649261005504824,0.0048912809758695618,4.1009e-05,4.1009e-05,0,-152671.11200358436,0.0,-152670.98578897968,0.0,-194742.52068020523,0.0,-42071.53489122554,0.0,1810143634.7904058,0.0,-39619.37019248983,0.0,8.073255954803963e-18,0.0,0.004649261005504824,0.0,0.004891280975869562,0.0,0.0,0.0,0.0,PASS
