metric,target_time_h,relative_error,registered_gate,pass
M0_m3,48.0,0.024320771330759616,0.02,False
M1_m2,48.0,0.011102283936087878,0.02,True
M2_m,48.0,0.0053582229222629745,0.02,True
M3_dimensionless,48.0,0.00022229801938461629,0.02,True
N_m0_m3,48.0,0.024320771330759616,0.02,False
Rmean3_m3,48.0,0.023960335509216318,0.02,False
Rmean_m,48.0,0.012904636676945264,0.02,True
Sv_m_inv,48.0,0.005358222922262933,0.02,True
cumulative_dissolution_inventory_mol_m3,0.1,0.2121870610217909,0.02,False
f_beta,48.0,0.0002222980193845695,0.02,True
matrix_xB,48.0,0.0010839706599100965,0.02,True
