points_per_cell,radius_probe_m,probe_kind,number_cdf_eulerian,number_cdf_cohort,number_cdf_absolute_error,M3_cdf_eulerian,M3_cdf_cohort,M3_cdf_absolute_error
1,4.724027182871601e-10,canonical_cell_edge,0.0,0.0,0.0,0.0,0.0,0.0
1,4.726005213107825e-10,independent_subcell_probe,8.432089850259341e-102,0.0,8.432089850259341e-102,1.0205546568620144e-105,0.0,1.0205546568620144e-105
1,4.727983243344048e-10,independent_subcell_probe,1.6864179700514276e-101,0.0,1.6864179700514276e-101,2.0423915525721522e-105,0.0,2.0423915525721522e-105
1,4.729961273580272e-10,independent_subcell_probe,2.529626955076921e-101,3.372835940102855e-101,8.432089850259343e-102,3.065511760696428e-105,4.089916355249968e-105,1.0244045945535401e-105
1,4.731939303816496e-10,canonical_cell_edge,3.372835940102855e-101,3.372835940102855e-101,0.0,4.089916355249966e-105,4.089916355249968e-105,2.323555148909591e-120
1,4.733920646991841e-10,independent_subcell_probe,4.459940477506208e-101,3.372835940102855e-101,1.0871045374033525e-101,5.412285428581476e-105,4.089916355249968e-105,1.3223690733315077e-105
1,4.735901990167187e-10,independent_subcell_probe,5.54704501490956e-101,3.372835940102855e-101,2.174209074806705e-101,6.736315944528071e-105,4.089916355249968e-105,2.646399589278103e-105
1,4.737883333342533e-10,independent_subcell_probe,6.634149552312913e-101,7.721254089716265e-101,1.0871045374033525e-101,8.062009294146963e-105,9.38936686907719e-105,1.3273575749302265e-105
1,4.739864676517878e-10,canonical_cell_edge,7.721254089716265e-101,7.721254089716265e-101,0.0,9.389366869077182e-105,9.38936686907719e-105,7.745183829698637e-120
1,4.741849338181079e-10,independent_subcell_probe,9.122599963211489e-101,7.721254089716265e-101,1.401345873495224e-101,1.1102562848128102e-104,9.38936686907719e-105,1.7131959790509122e-105
1,4.74383399984428e-10,independent_subcell_probe,1.0523945836707444e-100,7.721254089716265e-101,2.802691746991179e-101,1.281791131007242e-104,9.38936686907719e-105,3.4285444409952297e-105
1,4.745818661507482e-10,independent_subcell_probe,1.19252917102034e-100,1.3326637583698626e-100,1.4013458734952253e-101,1.4535414057093842e-104,1.6255072892130123e-104,1.719658835036281e-105
1,4.747803323170683e-10,canonical_cell_edge,1.3326637583698626e-100,1.3326637583698626e-100,0.0,1.625507289213011e-104,1.6255072892130123e-104,1.2392294127517818e-119
1,4.749791308879767e-10,independent_subcell_probe,1.513280214762832e-100,1.3326637583698626e-100,1.806164563929693e-101,1.8474287778315218e-104,1.6255072892130123e-104,2.219214886185094e-105
1,4.751779294588853e-10,independent_subcell_probe,1.6938966711558953e-100,1.3326637583698626e-100,3.612329127860328e-101,2.0696290916479343e-104,1.6255072892130123e-104,4.441218024349219e-105
1,4.753767280297939e-10,independent_subcell_probe,1.874513127548959e-100,2.0551295839419284e-100,1.806164563929693e-101,2.2921084641109367e-104,2.5148671287668415e-104,2.2275866465590483e-105
1,4.755755266007024e-10,canonical_cell_edge,2.0551295839419284e-100,2.0551295839419284e-100,0.0,2.5148671287668397e-104,2.5148671287668415e-104,1.8588441191276728e-119
1,4.757746581329331e-10,independent_subcell_probe,2.2878889917272033e-100,2.0551295839419284e-100,2.3275940778527487e-101,2.80229548765054e-104,2.5148671287668415e-104,2.874283588836984e-105
1,4.759737896651638e-10,independent_subcell_probe,2.520648399512478e-100,2.0551295839419284e-100,4.655188155705495e-101,3.090084975461002e-104,2.5148671287668415e-104,5.752178466941603e-105
1,4.761729211973944e-10,independent_subcell_probe,2.753407807297632e-100,2.986167215082907e-100,2.3275940778527462e-101,3.3782358945564176e-104,3.666748547421837e-104,2.8851265286541916e-105
1,4.763720527296251e-10,canonical_cell_edge,2.986167215082907e-100,2.986167215082907e-100,0.0,3.6667485474218337e-104,3.666748547421837e-104,3.0980735318794546e-119
1,4.765715177808441e-10,independent_subcell_probe,3.2860800952217527e-100,2.986167215082907e-100,2.999128801388459e-101,4.0389669331545705e-104,3.666748547421837e-104,3.722183857327337e-105
1,4.767709828320632e-10,independent_subcell_probe,3.585992975360754e-100,2.986167215082907e-100,5.998257602778471e-101,4.411652979165353e-104,3.666748547421837e-104,7.449044317435163e-105
1,4.769704478832822e-10,independent_subcell_probe,3.8859058554997546e-100,4.1858187356386005e-100,2.999128801388459e-101,4.784807077006488e-104,5.158429618394278e-104,3.736225413877903e-105
1,4.771699129345012e-10,canonical_cell_edge,4.1858187356386005e-100,4.1858187356386005e-100,0.0,5.1584296183942745e-104,5.158429618394278e-104,3.7176882382553455e-119
1,4.773697120633088e-10,independent_subcell_probe,4.572204341571676e-100,4.1858187356386005e-100,3.863856059330756e-101,5.640381827398617e-104,5.158429618394278e-104,4.819522090043386e-105
1,4.775695111921165e-10,independent_subcell_probe,4.958589947504952e-100,4.1858187356386005e-100,7.727712118663512e-101,6.12293956775953e-104,5.158429618394278e-104,9.645099493652512e-105
1,4.777693103209241e-10,independent_subcell_probe,5.344975553438027e-100,5.731361159371104e-100,3.863856059330766e-101,6.606103346462881e-104,7.08987367070726e-104,4.83770324244379e-105
1,4.779691094497317e-10,canonical_cell_edge,5.731361159371104e-100,5.731361159371104e-100,0.0,7.089873670707255e-104,7.08987367070726e-104,4.9569176510071274e-119
1,4.781692432156635e-10,independent_subcell_probe,6.22908071963139e-100,5.731361159371104e-100,4.977195602602859e-101,7.713821210784731e-104,7.08987367070726e-104,6.239475400774713e-105
