record_type,points_per_cell,metric,cohort_value,eulerian_value,error,criterion,pass
global_identity,1,M0,6.554111031100799e+21,6.554111031100799e+21,0.0,relative_1e-12_for_M0_M3_inventory,True
global_identity,1,M1,61390968021541.65,61390953694483.89,2.3337408682575683e-07,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,1,M2,586418.2016188911,586418.0647641419,2.3337403363924184e-07,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,1,M3,0.0057124534652392605,0.005712453465239244,2.8849028043836278e-15,relative_1e-12_for_M0_M3_inventory,True
global_identity,1,N,6.554111031100799e+21,6.554111031100799e+21,0.0,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,1,Rmean_number,9.366787918335081e-09,9.366785732370014e-09,2.3337408682476297e-07,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,1,Rmean_cubed,8.218112105527222e-25,8.218106351846683e-25,7.001224238627672e-07,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,1,mean_R3,8.715832609689283e-25,8.71583260968926e-25,2.739523585449973e-15,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,1,Sv,7369148.456548985,7369146.736781487,2.33374033559218e-07,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,1,f_beta,0.02392826912049229,0.02392826912049222,2.899872894677846e-15,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,1,matrix_xB,0.006220578557312248,0.006220578557312318,7.025630077706069e-17,absolute_1e-12,True
global_identity,1,beta_inventory,583.4882372282252,583.4882372282235,2.922599732130049e-15,relative_1e-12_for_M0_M3_inventory,True
global_identity,1,total_inventory,731.5467336438344,731.5467336438344,0.0,relative_1e-12_for_M0_M3_inventory,True
lower_tail_fraction,1,Rmin_to_Rmin_plus_1nm:number_fraction,8.501456036235593e-40,8.966517163223183e-40,4.650611269875906e-41,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,1,Rmin_to_Rmin_plus_1nm:M3_fraction,3.013239287200114e-42,3.183428682249947e-42,1.7018939504983298e-43,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,1,Rmin_to_Rmin_plus_2nm:number_fraction,1.7849961966660405e-21,1.7921113141191086e-21,7.11511745306811e-24,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,1,Rmin_to_Rmin_plus_2nm:M3_fraction,2.9653990582686637e-23,2.9777356398621124e-23,1.2336581593448682e-25,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,1,below_initial_critical_radius:number_fraction,0.3286403873802731,0.327981935719049,0.0006584516612241353,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,1,below_initial_critical_radius:M3_fraction,0.1938830680752555,0.1933828903395721,0.0005001777356833936,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,1,critical_radius_plus_minus_0p25nm:number_fraction,0.1499830424669285,0.14707029042109449,0.0029127520458340217,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,1,critical_radius_plus_minus_0p25nm:M3_fraction,0.11414597224382456,0.11196779508273705,0.002178177161087508,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,1,critical_radius_plus_minus_0p5nm:number_fraction,0.28604224496634284,0.28843052613205855,0.002388281165715711,quadrature_refinement_diagnostic,DIAGNOSTIC
lower_tail_fraction,1,critical_radius_plus_minus_0p5nm:M3_fraction,0.2195438748134128,0.22129396983051464,0.001750095017101827,quadrature_refinement_diagnostic,DIAGNOSTIC
global_identity,2,M0,6.554111031100799e+21,6.554111031100799e+21,0.0,relative_1e-12_for_M0_M3_inventory,True
global_identity,2,M1,61390953694483.9,61390953694483.89,1.2725816313066935e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,2,M2,586418.064764142,586418.0647641419,1.985193308697903e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,2,M3,0.005712453465239242,0.005712453465239244,3.036739794088029e-16,relative_1e-12_for_M0_M3_inventory,True
global_identity,2,N,6.554111031100799e+21,6.554111031100799e+21,0.0,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,2,Rmean_number,9.366785732370016e-09,9.366785732370014e-09,1.7661994972179892e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,2,Rmean_cubed,8.218106351846688e-25,8.218106351846683e-25,5.5873879106806e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,2,mean_R3,8.715832609689256e-25,8.71583260968926e-25,4.214651669923035e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,2,Sv,7369146.736781488,7369146.736781487,1.2638133122889048e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,2,f_beta,0.023928269120492215,0.02392826912049222,1.449936447338923e-16,relative_1e-12_for_M0_M3_inventory,DIAGNOSTIC
global_identity,2,matrix_xB,0.006220578557312323,0.006220578557312318,5.204170427930421e-18,absolute_1e-12,True
global_identity,2,beta_inventory,583.4882372282234,583.4882372282235,1.9483998214200327e-16,relative_1e-12_for_M0_M3_inventory,True
global_identity,2,total_inventory,731.5467336438344,731.5467336438344,0.0,relative_1e-12_for_M0_M3_inventory,True
lower_tail_fraction,2,Rmin_to_Rmin_plus_1nm:number_fraction,9.2291108817402e-40,8.966517163223183e-40,2.625937185170164e-41,quadrature_refinement_diagnostic,DIAGNOSTIC
