contract,field,reference_sha256,current_sha256,match
restart,Ctot,9bedcdc9ff035d6c8479f353a7e556dc81950733cd9e1f3fc0bd6811da84c0ce,9bedcdc9ff035d6c8479f353a7e556dc81950733cd9e1f3fc0bd6811da84c0ce,True
restart,Ctot_nm1,31286efa9d431b4040ad9fdc8e2bf2f37c8806c71208d51f224ca33369e11a8b,31286efa9d431b4040ad9fdc8e2bf2f37c8806c71208d51f224ca33369e11a8b,True
restart,phi,d95c48952b266a9c69479e958de44b39e231c580f0fc3c0895059b82e6375868,d95c48952b266a9c69479e958de44b39e231c580f0fc3c0895059b82e6375868,True
restart,phi_nm1,68cefb76f28e8baea4c6436f61f4203e27a1c17f9b821e8670bf15b47b9e6170,68cefb76f28e8baea4c6436f61f4203e27a1c17f9b821e8670bf15b47b9e6170,True
restart,xB_alpha,48865e33e0ed18cd0b16d4976039de6280f43b97b0c163355db1c8a9117d249a,48865e33e0ed18cd0b16d4976039de6280f43b97b0c163355db1c8a9117d249a,True
legacy,Ctot,381cf708f97afa39f6ebf39bd433419a2d46fcd444a165507720a65956650bcd,381cf708f97afa39f6ebf39bd433419a2d46fcd444a165507720a65956650bcd,True
legacy,Ctot_nm1,fe11fd1be7bd5a30b46ec0afe382a1f07d7970ec24b6419abd293f3c247cf268,fe11fd1be7bd5a30b46ec0afe382a1f07d7970ec24b6419abd293f3c247cf268,True
legacy,phi,655dbde1d8784178dbc58f270db3e9748583cae8afa2123b258e26fb09f80f6d,655dbde1d8784178dbc58f270db3e9748583cae8afa2123b258e26fb09f80f6d,True
legacy,phi_nm1,c1a0477b4384fd829a904ec4f88e943e2737f1308fefe01027394101c35ad0b8,c1a0477b4384fd829a904ec4f88e943e2737f1308fefe01027394101c35ad0b8,True
legacy,xB_alpha,a63af66378c918d6a2422ab83b8abc4e21bbec7b1c19ff96e5560e30ce3ddc32,a63af66378c918d6a2422ab83b8abc4e21bbec7b1c19ff96e5560e30ce3ddc32,True
