N_6h_m-3,R_6h_eq_median_nm,R_6h_eq_q05_nm,R_6h_eq_q25_nm,R_6h_eq_q75_nm,R_6h_eq_q95_nm,closest_radius_nm,equivalent_mode,matrix_xAg,minimum_absolute_mismatch_W_mK,multiple_root_probability,no_root_probability,reachable_kappa_max_W_mK,reachable_kappa_min_W_mK,root_count,root_sample_count,roots_nm,sample_count,summary_kind,target_identity,target_kappa_W_mK
7.6e+23,,,,,,4.720000000000002,E1,0.0069,0.0014081291897487525,,,2.362648957102171,0.00217287016667425,1,,4.71584757,,,T1_YU_AQ,1.66666248947741
7.6e+23,,,,,,4.780000000000003,E2,0.0058,0.0010057879660267943,,,2.404865981616773,0.0021730249972478632,1,,4.78292676,,,T1_YU_AQ,1.66666248947741
7.6e+23,,,,,,4.7600000000000025,E2,0.0062,0.0005616621862254423,,,2.3892154846089677,0.0021729686914235013,1,,4.75835773,,,T1_YU_AQ,1.66666248947741
7.6e+23,,,,,,4.740000000000002,E2,0.0066,0.0020443815709201285,,,2.3739098533588576,0.0021729123899393915,1,,4.733993,,,T1_YU_AQ,1.66666248947741
1.68e+24,,,,,,3.8000000000000016,E1,0.0069,0.00033264155016166086,,,2.3626489561500494,0.0009839911077798669,1,,3.79926861,,,T1_YU_AQ,1.66666248947741
1.68e+24,,,,,,3.8400000000000016,E2,0.0058,0.0017264967488999083,,,2.404865980604876,0.0009840228793706002,1,,3.843731,,,T1_YU_AQ,1.66666248947741
1.68e+24,,,,,,3.8200000000000016,E2,0.0062,0.003448560470413309,,,2.3892154836195583,0.000984011325711727,1,,3.82749799,,,T1_YU_AQ,1.66666248947741
1.68e+24,,,,,,3.8200000000000016,E2,0.0066,0.003956735231878339,,,2.3739098523910656,0.0009839997724564622,1,,3.8113404,,,T1_YU_AQ,1.66666248947741
2.6e+24,,,,,,3.4000000000000012,E1,0.0069,0.0023988995018173753,,,2.3626489551979275,0.0006360077503270821,1,,3.39546958,,,T1_YU_AQ,1.66666248947741
2.6e+24,,,,,,3.4400000000000013,E2,0.0058,0.004741984042077707,,,2.4048659795929788,0.0006360210259298324,1,,3.43121174,,,T1_YU_AQ,1.66666248947741
2.6e+24,,,,,,3.4200000000000013,E2,0.0062,0.0009724823566268359,,,2.389215482630149,0.0006360161983425257,1,,3.41818566,,,T1_YU_AQ,1.66666248947741
2.6e+24,,,,,,3.4000000000000012,E2,0.0066,0.002764723162887339,,,2.373909851423273,0.0006360113708642458,1,,3.40519355,,,T1_YU_AQ,1.66666248947741
7.6e+23,,,,,,6.100000000000003,E1,0.0069,0.00026855545217374654,,,2.362648957102171,0.00217287016667425,1,,6.10100742,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
7.6e+23,,,,,,6.160000000000004,E2,0.0058,0.0005204201407211784,,,2.404865981616773,0.0021730249972478632,1,,6.16195373,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
7.6e+23,,,,,,6.140000000000004,E2,0.0062,0.0001234046375644393,,,2.3892154846089677,0.0021729686914235013,1,,6.13953674,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
7.6e+23,,,,,,6.120000000000004,E2,0.0066,0.0006892691369739801,,,2.3739098533588576,0.0021729123899393915,1,,6.11741261,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
1.68e+24,,,,,,4.8000000000000025,E1,0.0069,0.0025589079932344383,,,2.3626489561500494,0.0009839911077798669,1,,4.80679566,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
1.68e+24,,,,,,4.8400000000000025,E2,0.0058,0.001015857192209424,,,2.404865980604876,0.0009840228793706002,1,,4.84269152,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
1.68e+24,,,,,,4.820000000000002,E2,0.0062,0.003593437952696732,,,2.3892154836195583,0.000984011325711727,1,,4.82952092,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
1.68e+24,,,,,,4.820000000000002,E2,0.0066,0.0013224005681695683,,,2.3739098523910656,0.0009839997724564622,1,,4.81648548,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
2.6e+24,,,,,,4.260000000000002,E1,0.0069,0.003492000477608448,,,2.3626489551979275,0.0006360077503270821,1,,4.25218188,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
2.6e+24,,,,,,4.280000000000002,E2,0.0058,0.0003912241998129673,,,2.4048659795929788,0.0006360210259298324,1,,4.27912914,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
2.6e+24,,,,,,4.260000000000002,E2,0.0062,0.0041585457757462585,,,2.389215482630149,0.0006360161983425257,1,,4.26925637,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
2.6e+24,,,,,,4.260000000000002,E2,0.0066,0.00023803076001427392,,,2.373909851423273,0.0006360113708642458,1,,4.2594684,,,T2_TAILORING_AQ_DIGITIZED_-1.0,1.239520133173364
7.6e+23,,,,,,6.040000000000004,E1,0.0069,0.0013863350162235388,,,2.362648957102171,0.00217287016667425,1,,6.04512555,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
7.6e+23,,,,,,6.100000000000003,E2,0.0058,0.0016298704137063247,,,2.404865981616773,0.0021730249972478632,1,,6.10602904,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
7.6e+23,,,,,,6.080000000000004,E2,0.0062,0.0009808905379877775,,,2.3892154846089677,0.0021729686914235013,1,,6.08362861,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
7.6e+23,,,,,,6.060000000000004,E2,0.0066,0.00041085284999131666,,,2.3739098533588576,0.0021729123899393915,1,,6.06151992,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
1.68e+24,,,,,,4.7600000000000025,E1,0.0069,0.002727271701279843,,,2.3626489561500494,0.0009839911077798669,1,,4.76715688,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
1.68e+24,,,,,,4.8000000000000025,E2,0.0058,0.0012129729096195252,,,2.404865980604876,0.0009840228793706002,1,,4.80317467,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
1.68e+24,,,,,,4.780000000000003,E2,0.0062,0.0038050967978819905,,,2.3892154836195583,0.000984011325711727,1,,4.78996031,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
1.68e+24,,,,,,4.780000000000003,E2,0.0066,0.0011880087924167615,,,2.3739098523910656,0.0009839997724564622,1,,4.77688045,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
2.6e+24,,,,,,4.220000000000002,E1,0.0069,0.0005300437078568088,,,2.3626489551979275,0.0006360077503270821,1,,4.2188276,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
2.6e+24,,,,,,4.240000000000002,E2,0.0058,0.002698735190318269,,,2.4048659795929788,0.0006360210259298324,1,,4.24593309,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
2.6e+24,,,,,,4.240000000000002,E2,0.0062,0.0018117412165237212,,,2.389215482630149,0.0006360161983425257,1,,4.23600324,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
2.6e+24,,,,,,4.220000000000002,E2,0.0066,0.0027909954758515987,,,2.373909851423273,0.0006360113708642458,1,,4.22615768,,,T2_TAILORING_AQ_DIGITIZED_0.0,1.254520133173364
7.6e+23,,,,,,6.0000000000000036,E1,0.0069,0.0027339738466587438,,,2.362648957102171,0.00217287016667425,1,,5.99001001,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
7.6e+23,,,,,,6.060000000000004,E2,0.0058,0.0024936811146791804,,,2.404865981616773,0.0021730249972478632,1,,6.05088539,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
7.6e+23,,,,,,6.020000000000003,E2,0.0062,0.0023299718175668893,,,2.3892154846089677,0.0021729686914235013,1,,6.02849625,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
7.6e+23,,,,,,6.0000000000000036,E2,0.0066,0.00175423428810495,,,2.3739098533588576,0.0021729123899393915,1,,6.00639766,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
1.68e+24,,,,,,4.720000000000002,E1,0.0069,0.0030763004929714732,,,2.3626489561500494,0.0009839911077798669,1,,4.72797955,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
1.68e+24,,,,,,4.7600000000000025,E2,0.0058,0.0015965413241629811,,,2.404865980604876,0.0009840228793706002,1,,4.76412895,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
1.68e+24,,,,,,4.7600000000000025,E2,0.0062,0.0035199115118211832,,,2.3892154836195583,0.000984011325711727,1,,4.75086736,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
1.68e+24,,,,,,4.740000000000002,E2,0.0066,0.0008709988797770407,,,2.3739098523910656,0.0009839997724564622,1,,4.73773956,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
2.6e+24,,,,,,4.1800000000000015,E1,0.0069,0.0026679681423709134,,,2.3626489551979275,0.0006360077503270821,1,,4.1858323,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
2.6e+24,,,,,,4.220000000000002,E2,0.0058,0.003164477189469661,,,2.4048659795929788,0.0006360210259298324,1,,4.21310396,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
2.6e+24,,,,,,4.200000000000002,E2,0.0062,0.001428717974514937,,,2.389215482630149,0.0006360161983425257,1,,4.20311419,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
2.6e+24,,,,,,4.200000000000002,E2,0.0066,0.003105081535799803,,,2.373909851423273,0.0006360113708642458,1,,4.19320813,,,T2_TAILORING_AQ_DIGITIZED_1.0,1.2695201331733639
7.6e+23,,,,,,7.140000000000004,E1,0.0069,0.0012850335173929528,,,2.362648957102171,0.00217287016667425,1,,7.14640504,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
7.6e+23,,,,,,7.200000000000005,E2,0.0058,0.0019689350162375163,,,2.404865981616773,0.0021730249972478632,1,,7.20984107,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
7.6e+23,,,,,,7.180000000000005,E2,0.0062,0.001304545325566342,,,2.3892154846089677,0.0021729686914235013,1,,7.18651575,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
7.6e+23,,,,,,7.160000000000005,E2,0.0066,0.0006985314578563662,,,2.3739098533588576,0.0021729123899393915,1,,7.16348628,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
1.68e+24,,,,,,5.540000000000003,E1,0.0069,0.0018350071711809024,,,2.3626489561500494,0.0009839911077798669,1,,5.5337397,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
1.68e+24,,,,,,5.560000000000003,E2,0.0058,0.0025978593045766774,,,2.404865980604876,0.0009840228793706002,1,,5.56884024,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
1.68e+24,,,,,,5.560000000000003,E2,0.0062,0.001185692015977069,,,2.3892154836195583,0.000984011325711727,1,,5.55595593,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
1.68e+24,,,,,,5.540000000000003,E2,0.0066,0.0009424704752356572,,,2.3739098523910656,0.0009839997724564622,1,,5.54320995,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
2.6e+24,,,,,,4.860000000000003,E1,0.0069,0.00048741082788605894,,,2.3626489551979275,0.0006360077503270821,1,,4.85862512,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
2.6e+24,,,,,,4.880000000000003,E2,0.0058,0.0014085099955480906,,,2.4048659795929788,0.0006360210259298324,1,,4.88396391,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
2.6e+24,,,,,,4.880000000000003,E2,0.0062,0.0018881985834863224,,,2.389215482630149,0.0006360161983425257,1,,4.8746734,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
2.6e+24,,,,,,4.860000000000003,E2,0.0066,0.001942803687827177,,,2.373909851423273,0.0006360113708642458,1,,4.86547061,,,T3_TA_NAQ_2.100e+21_MIN,0.9964397377915486
7.6e+23,,,,,,2.02,E1,0.0069,0.0001122427970106088,,,2.362648957102171,0.00217287016667425,1,,2.01852988,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
7.6e+23,,,,,,2.4000000000000004,E2,0.0058,0.0002073780267508596,,,2.404865981616773,0.0021730249972478632,1,,2.40156033,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
7.6e+23,,,,,,2.2800000000000002,E2,0.0062,0.0004892550064479195,,,2.3892154846089677,0.0021729686914235013,1,,2.28430101,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
7.6e+23,,,,,,2.14,E2,0.0066,0.0004994238122546513,,,2.3739098533588576,0.0021729123899393915,1,,2.14536938,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
1.68e+24,,,,,,1.7199999999999993,E1,0.0069,1.1353922010126638e-05,,,2.3626489561500494,0.0009839911077798669,1,,1.72011909,,,T3_TA_NAQ_2.100e+21_MAX,2.3299333079138793
