branch,host_mode,matrix_xAg,number_density_m-3,small_radius_nm,large_length_nm,large_AR,large_radius_definition,kappa_300K_W_mK,identity
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.5,,,,2.36264889968699,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.55,,,,2.3626488549230684,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.6000000000000001,,,,2.3626487846523507,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.6500000000000001,,,,2.362648678499942,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.7000000000000002,,,,2.3626485233169814,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.7500000000000002,,,,2.3626483028055136,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.8000000000000003,,,,2.3626479971637018,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.8500000000000003,,,,2.362647582767088,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.9000000000000004,,,,2.3626470319020516,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,0.9500000000000004,,,,2.362646312566964,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.0000000000000004,,,,2.362645388354499,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.0500000000000005,,,,2.3626442184251344,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.1000000000000005,,,,2.3626427575771767,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.1500000000000006,,,,2.3626409564129762,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.2000000000000006,,,,2.3626387615950053,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.2500000000000007,,,,2.362636116179708,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.3000000000000007,,,,2.362632960012205,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.3500000000000008,,,,2.362629230161702,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.4000000000000008,,,,2.3626248613759735,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.4500000000000008,,,,2.3626197865338954,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.5000000000000009,,,,2.362613937077236,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.550000000000001,,,,2.3626072434065675,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.600000000000001,,,,2.3625996352304943,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
T-A,HOST_YU_AQ_FIXED,0.0069,3.61e+21,1.650000000000001,,,,2.362591041861981,CROSS_PAPER_DIAGNOSTIC_NOT_UNIQUE_TAILORING_MODEL
