step,iteration,line_search_lambda,res_inf,res_l2_rel,mass_error,sum_divJ,min_C_margin,min_q_margin,min_x,max_x,min_M,max_M,nonfinite_count,Y_cap_count,bound_violation_count,mobility_failure_count,zero_face_count,max_residual_active,max_residual_inactive,W_finite_interface_sum,max_finite_interface_face_flux,lower_active,upper_active,inactive_support,accepted
2958,1,1.00000000000000000e+00,1.00948137656732397e-05,3.36427520196216067e-06,3.41060513164848089e-13,-7.63278329429795122e-17,-1.33226762955018785e-15,-1.33226762955018785e-15,8.18138711440806225e-20,1.00000000000000000e+00,0.00000000000000000e+00,1.38473379299074253e+02,0,2,0,0,49,1.00948137656732397e-05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,0
2958,1,5.00000000000000000e-01,3.75290863164210849e-05,1.27039827034536779e-05,1.42108547152020037e-14,-6.93889390390722838e-18,-1.33226762955018785e-15,-1.33226762955018785e-15,4.44273402915219247e-14,9.99999999999998446e-01,0.00000000000000000e+00,1.38473413931159087e+02,0,2,0,0,49,3.75290863164210849e-05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,0
2958,1,2.50000000000000000e-01,5.89406456040375508e-05,1.98381296949134956e-05,7.10542735760100186e-15,2.77555756156289135e-17,-1.33226762955018785e-15,-1.33226762955018785e-15,3.27387418079851870e-11,9.99608556875379528e-01,0.00000000000000000e+00,1.38473422539634669e+02,0,1,0,0,49,5.89406456040375508e-05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,0
2958,1,1.25000000000000000e-01,6.96308052747606876e-05,2.34163612311004594e-05,0.00000000000000000e+00,4.85722573273505986e-17,-1.33226762955018785e-15,-1.33226762955018785e-15,8.88725857251251584e-10,4.99999998616856428e-02,0.00000000000000000e+00,1.38473424704023785e+02,0,1,0,0,49,6.96308052747606876e-05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,0
2958,1,6.25000000000000000e-02,7.49719783977311166e-05,2.52054443155604047e-05,0.00000000000000000e+00,2.77555756156289135e-17,-1.33226762955018785e-15,-1.33226762955018785e-15,4.63042366695362598e-09,4.99999999651651178e-02,0.00000000000000000e+00,1.38473425239843550e+02,0,0,0,0,49,7.49719783977311166e-05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,1
2958,2,1.00000000000000000e+00,9.24726427276988980e-06,3.09037474981167385e-06,2.48689957516035065e-13,6.93889390390722838e-18,-1.33226762955018785e-15,-1.33226762955018785e-15,3.65802738386474440e-68,4.99999922636846020e-02,0.00000000000000000e+00,1.38473385361358481e+02,0,1,0,0,49,9.24726427276988980e-06,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,0
2958,2,5.00000000000000000e-01,3.50729352109975775e-05,1.18786906993895798e-05,7.10542735760100186e-15,5.55111512312578270e-17,-1.33226762955018785e-15,-1.33226762955018785e-15,1.30146909439457606e-38,4.99999980572495700e-02,0.00000000000000000e+00,1.38473415360601592e+02,0,1,0,0,49,3.50729352109975775e-05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,0
2958,2,2.50000000000000000e-01,5.50406398659628152e-05,1.85315222667403555e-05,7.10542735760100186e-15,-4.85722573273505986e-17,-1.33226762955018785e-15,-1.33226762955018785e-15,7.76295913089757007e-24,4.99999994935913517e-02,0.00000000000000000e+00,1.38473422798020891e+02,0,1,0,0,49,5.50406398659628152e-05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,0
2958,2,1.25000000000000000e-01,6.50108567641088529e-05,2.18685818004870204e-05,0.00000000000000000e+00,0.00000000000000000e+00,-1.33226762955018785e-15,-1.33226762955018785e-15,1.89593749985713562e-16,4.99999998495620906e-02,0.00000000000000000e+00,1.38473424641247703e+02,0,1,0,0,49,6.50108567641088529e-05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,0
2958,2,6.25000000000000000e-02,6.99925547201173782e-05,2.35372091217651266e-05,0.00000000000000000e+00,-4.85722573273505986e-17,-1.33226762955018785e-15,-1.33226762955018785e-15,9.36962855300285091e-13,4.99999999373582291e-02,0.00000000000000000e+00,1.38473425095858659e+02,0,1,0,0,49,6.99925547201173782e-05,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,0,0,0
