case,accepted_step,rejected_step,idx,i,j,k,C_n,C_nm1,phi_n,phi_nm1,C_anchor,phi_E_raw,h_phi_E,alpha_E,phase_lower_C,phase_upper_C,q_n,q_anchor_E,xB_alpha_n,context_invalid,predicted_transition,trial_C,trial_phi,trial_q_alpha,trial_xB_alpha,trial_mu,trial_mobility_status,trial_face_x_out,trial_face_x_in,trial_residual
dt8,2957,2958,246,246,0,0,0.9999999703758997,0.999999970375148,0.9985627665835999,0.9985627544180211,0.9999999703761503,0.9985627787491786,0.9999999703766511,2.9623348885010614e-08,0.9999999703766511,1.0,3.3306690738754696e-16,-5.008216064084081e-13,1.0000012265189842e-08,0,FREE_TO_QALPHA_LOWER_CAPACITY,9.99999970377628444e-01,9.98562766583599881e-01,1.72906133855121880e-12,5.83654686268822483e-05,-1.43691166026024142e+00,FINITE_OR_ZERO,2.63455460597195687e-10,-3.26417957017070499e-09,3.50745837750119965e-13
dt8,2957,2958,247,247,0,0,0.9999999984149444,0.9999999984149426,0.9994586654530397,0.9994586652507622,0.9999999984149449,0.9994586656553173,0.9999999984149461,1.5850538659378799e-09,0.9999999984149461,1.0,0.0,-1.2212453270876722e-15,1.0000077832310151e-08,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999998415260882e-01,9.99458665453039741e-01,3.18189918857569864e-13,1.99703040946178220e-04,-1.10416733660619748e+00,FINITE_OR_ZERO,0.00000000000000000e+00,2.63455460597195687e-10,4.19436873616411725e-13
dt8,2957,2958,248,248,0,0,0.9999999999200492,0.9999999999200492,0.9997993545361012,0.9997993527576503,0.9999999999200492,0.9997993563145522,0.9999999999192494,8.075062840617875e-11,0.9999999999192494,1.0,8.019140906867506e-13,7.998046669399628e-13,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999920049176e-01,9.99799354536101248e-01,8.00692845359662897e-13,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,249,249,0,0,0.999999999996018,0.999999999996018,0.9999250293118753,0.9999250280393359,0.999999999996018,0.9999250305844147,0.9999999999957869,4.213074333847544e-12,0.9999999999957869,1.0,2.312594560294201e-13,2.310374114244951e-13,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999996017963e-01,9.99925029311875324e-01,2.31481500634345139e-13,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,250,250,0,0,0.9999999999998012,0.9999999999998012,0.999972284805287,0.9999722851231634,0.9999999999998012,0.9999722844874106,0.9999999999997871,2.1294077612310502e-13,0.9999999999997871,1.0,1.3988810110276972e-14,1.4099832412739488e-14,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999801159e-01,9.99972284805286993e-01,1.49880108324396133e-14,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,251,251,0,0,0.9999999999999917,0.9999999999999917,0.9999889602346524,0.9999889597459731,0.9999999999999917,0.9999889607233318,0.9999999999999866,1.3433698597964394e-14,0.9999999999999866,1.0,5.10702591327572e-15,5.10702591327572e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999991673e-01,9.99988960234652446e-01,6.10622663543836097e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,252,252,0,0,0.9999999999999997,0.9999999999999997,0.9999941258633607,0.9999941263417874,0.9999999999999997,0.9999941253849339,0.999999999999998,1.9984014443252818e-15,0.999999999999998,1.0,1.6653345369377348e-15,1.6653345369377348e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999999667e-01,9.99994125863360672e-01,2.77555756156289135e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,253,253,0,0,0.9999999999999981,0.9999999999999981,0.9999942638438646,0.9999942638438646,0.9999999999999981,0.9999942638438646,0.9999999999999981,1.887379141862766e-15,0.9999999999999981,1.0,0.0,0.0,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999998113e-01,9.99994263843864584e-01,-2.22044604925031308e-16,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,254,254,0,0,1.0000000000000013,1.0000000000000013,1.0,1.0,1.0000000000000013,1.0,1.0,0.0,1.0,1.0,1.3322676295501878e-15,1.3322676295501878e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,1.00000000000000133e+00,1.00000000000000000e+00,1.33226762955018785e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,255,255,0,0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,1.00000000000000022e+00,1.00000000000000000e+00,2.22044604925031308e-16,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,256,256,0,0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0,0.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,1.00000000000000022e+00,1.00000000000000000e+00,2.22044604925031308e-16,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,257,257,0,0,1.0000000000000013,1.0000000000000013,1.0,1.0,1.0000000000000013,1.0,1.0,0.0,1.0,1.0,1.3322676295501878e-15,1.3322676295501878e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,1.00000000000000133e+00,1.00000000000000000e+00,1.33226762955018785e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,258,258,0,0,0.9999999999999981,0.9999999999999981,0.9999942638438646,0.9999942638438646,0.9999999999999981,0.9999942638438646,0.9999999999999981,1.887379141862766e-15,0.9999999999999981,1.0,0.0,0.0,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999998113e-01,9.99994263843864584e-01,-2.22044604925031308e-16,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,259,259,0,0,0.9999999999999997,0.9999999999999997,0.999994116150221,0.999994116826532,0.9999999999999997,0.99999411547391,0.999999999999998,1.9984014443252818e-15,0.999999999999998,1.0,1.6653345369377348e-15,1.6653345369377348e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999999667e-01,9.99994116150221046e-01,1.55431223447521916e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,260,260,0,0,0.9999999999999917,0.9999999999999917,0.9999889720034314,0.9999889712780752,0.9999999999999917,0.9999889727287876,0.9999999999999866,1.3433698597964394e-14,0.9999999999999866,1.0,5.10702591327572e-15,5.10702591327572e-15,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999991673e-01,9.99988972003431398e-01,6.10622663543836097e-15,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,261,261,0,0,0.9999999999998012,0.9999999999998012,0.9999722691364457,0.9999722697686648,0.9999999999998012,0.9999722685042265,0.9999999999997867,2.1327384303049257e-13,0.9999999999997867,1.0,1.4432899320127035e-14,1.4432899320127035e-14,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999999801159e-01,9.99972269136445657e-01,1.53210777398271603e-14,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,262,262,0,0,0.999999999996018,0.999999999996018,0.9999250520050765,0.999925050278993,0.999999999996018,0.99992505373116,0.9999999999957908,4.209188553261356e-12,0.9999999999957908,1.0,2.274846977456946e-13,2.2715163083830703e-13,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999996017963e-01,9.99925052005076531e-01,2.27484697745694575e-13,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,263,263,0,0,0.9999999999200492,0.9999999999200492,0.9997993200465869,0.999799318920912,0.9999999999200492,0.9997993211722618,0.999999999919207,8.079303892571943e-11,0.999999999919207,1.0,8.435474541101939e-13,8.422151864806438e-13,0.005907940326439206,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999999920049176e-01,9.99799320046586892e-01,8.42326208783106267e-13,5.90794032643920594e-03,-2.01436435906939160e-01,FINITE_OR_ZERO,-0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dt8,2957,2958,264,264,0,0,0.9999999984171413,0.9999999984171486,0.9994589157329531,0.9994589130981978,0.9999999984171387,0.9994589183677084,0.9999999984171644,1.5828356403346788e-09,0.9999999984171644,1.0,0.0,-2.5646151868841116e-14,2.412535068224728e-08,0,QALPHA_LOWER_CAPACITY_NEAR_ACTIVE,9.99999998418782177e-01,9.99458915732953090e-01,1.63991042967381873e-12,1.03669881818686132e-03,-6.60308865293251834e-01,FINITE_OR_ZERO,-4.92785047144610935e-16,-0.00000000000000000e+00,1.64090982289014036e-12
dt8,2957,2958,265,265,0,0,0.9999999703135496,0.9999999703134389,0.998561758244728,0.9985617564558944,0.9999999703135866,0.9985617600335617,0.99999997031366,2.968634005284798e-08,0.99999997031366,1.0,3.3306690738754696e-16,-7.338574192772285e-14,1.000008672612688e-08,0,FREE_TO_QALPHA_LOWER_CAPACITY,9.99999970313541486e-01,9.98561758244728037e-01,-8.21565038222615840e-15,0.00000000000000000e+00,-6.27913496282498862e+00,FINITE_OR_ZERO,3.92473208967432262e-16,-4.92785047144610935e-16,-8.10497388376993681e-15
