parameter_file,parameter_key,raw_value,resolved_path,path_role,exists,tracked,portable,generated_or_input,required_at_startup,required_only_for_optional_feature,blocking_status,notes
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,C++ opens directly at current working directory; staging CSV is not committed
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Barrier loader requires this file when GP runtime library is enabled
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Runtime selector reads this CSV and its extended columns
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Existing cache is untracked and contains profile inputs needed by dynamic continue
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,gp_runtime_profile_cache_root,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Alias of runtime_profile_cache in the C++ parser
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,beta_rate_Omega_g_source,physical_inputs.example.json:Vm_compound/N_A,<annotation>,PROVENANCE_ONLY,true,true,true,metadata,false,false,NOT_BLOCKING,Informational provenance string; not opened by the C++ parser
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,C++ opens directly at current working directory; staging CSV is not committed
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Barrier loader requires this file when GP runtime library is enabled
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Runtime selector reads this CSV and its extended columns
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Existing cache is untracked and contains profile inputs needed by dynamic continue
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,gp_runtime_profile_cache_root,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Alias of runtime_profile_cache in the C++ parser
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,C++ opens directly at current working directory; staging CSV is not committed
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Barrier loader requires this file when GP runtime library is enabled
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Runtime selector reads this CSV and its extended columns
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Existing cache is untracked and contains profile inputs needed by dynamic continue
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,gp_runtime_profile_cache_root,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Alias of runtime_profile_cache in the C++ parser
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,C++ opens directly at current working directory; staging CSV is not committed
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Barrier loader requires this file when GP runtime library is enabled
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Runtime selector reads this CSV and its extended columns
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Existing cache is untracked and contains profile inputs needed by dynamic continue
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,gp_runtime_profile_cache_root,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Alias of runtime_profile_cache in the C++ parser
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,C++ opens directly at current working directory; staging CSV is not committed
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Barrier loader requires this file when GP runtime library is enabled
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,REPO_ROOT/data/nucleus_library/nucleus_library.with_Zr.staging.csv,AUTHORITATIVE_INPUT,true,false,false,input,false,true,BLOCKED_SEMANTICALLY_DIFFERENT_LIBRARY,Runtime selector reads this CSV and its extended columns
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Existing cache is untracked and contains profile inputs needed by dynamic continue
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,gp_runtime_profile_cache_root,Results/runtime_profile_cache/dx1p0,REPO_ROOT/Results/runtime_profile_cache/dx1p0,CACHE,true,false,false,generated,false,true,BLOCKED_EXTERNAL_RUNTIME_CACHE,Alias of runtime_profile_cache in the C++ parser
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,beta_rate_Omega_g_source,physical_inputs.example.json:Vm_compound/N_A,<annotation>,PROVENANCE_ONLY,true,true,true,metadata,false,false,NOT_BLOCKING,Informational provenance string; not opened by the C++ parser
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,beta_rate_Omega_g_source,physical_inputs.example.json:Vm_compound/N_A,<annotation>,PROVENANCE_ONLY,true,true,true,metadata,false,false,NOT_BLOCKING,Informational provenance string; not opened by the C++ parser
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,beta_rate_Omega_g_source,physical_inputs.example.json:Vm_compound/N_A,<annotation>,PROVENANCE_ONLY,true,true,true,metadata,false,false,NOT_BLOCKING,Informational provenance string; not opened by the C++ parser
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,beta_rate_Omega_g_source,physical_inputs.example.json:Vm_compound/N_A,<annotation>,PROVENANCE_ONLY,true,true,true,metadata,false,false,NOT_BLOCKING,Informational provenance string; not opened by the C++ parser
