parameter_file,key,raw_path,role,resolution_base,exists_in_worktree,tracked,required_behavior,decision
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,loaded when runtime library is enabled,blocked until audited library is promoted
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,barrier loader opens it,blocked until audited library is promoted
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,selector opens it,blocked until audited library is promoted
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,cache,CURRENT_WORKING_DIRECTORY,true,false,alias consumed as cache root,blocked external runtime cache
params/gp_after_quench_initial_state/gp_AQ_Yu_APT_xB003_xAgfar0078_dx1p0.params,gp_runtime_profile_cache_root,Results/runtime_profile_cache/dx1p0,cache,CURRENT_WORKING_DIRECTORY,true,false,nonempty required with dynamic continue,blocked external runtime cache
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,loaded when runtime library is enabled,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,barrier loader opens it,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,selector opens it,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,cache,CURRENT_WORKING_DIRECTORY,true,false,alias consumed as cache root,blocked external runtime cache
params/physical_cnt/physical_cnt_T380_xB003_no_strain_dx1p0.params,gp_runtime_profile_cache_root,Results/runtime_profile_cache/dx1p0,cache,CURRENT_WORKING_DIRECTORY,true,false,nonempty required with dynamic continue,blocked external runtime cache
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,loaded when runtime library is enabled,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,barrier loader opens it,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,selector opens it,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,cache,CURRENT_WORKING_DIRECTORY,true,false,alias consumed as cache root,blocked external runtime cache
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0.params,gp_runtime_profile_cache_root,Results/runtime_profile_cache/dx1p0,cache,CURRENT_WORKING_DIRECTORY,true,false,nonempty required with dynamic continue,blocked external runtime cache
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,loaded when runtime library is enabled,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,barrier loader opens it,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,selector opens it,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,cache,CURRENT_WORKING_DIRECTORY,true,false,alias consumed as cache root,blocked external runtime cache
params/physical_cnt/physical_cnt_T400_xB003_no_strain_dx1p0_sGP005.params,gp_runtime_profile_cache_root,Results/runtime_profile_cache/dx1p0,cache,CURRENT_WORKING_DIRECTORY,true,false,nonempty required with dynamic continue,blocked external runtime cache
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,loaded when runtime library is enabled,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,gp_runtime_barrier_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,barrier loader opens it,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,gp_runtime_nucleus_library_path,data/nucleus_library/nucleus_library.with_Zr.staging.csv,authoritative input,CURRENT_WORKING_DIRECTORY,true,false,selector opens it,blocked until audited library is promoted
params/physical_cnt/physical_cnt_T450_xB003_no_strain_dx1p0.params,runtime_profile_cache,Results/runtime_profile_cache/dx1p0,cache,CURRENT_WORKING_DIRECTORY,true,false,alias consumed as cache root,blocked external runtime cache
