kind,original_path,archive_path,code_script_readme_hits,status
file,.tmp_step28_postprocess.py,reports/root_archive/misc/.tmp_step28_postprocess.py,0,moved
file,beta_phase_report.md,reports/root_archive/md/beta_phase_report.md,0,moved
file,composition_mapping_risk_report.md,reports/root_archive/md/composition_mapping_risk_report.md,0,moved
file,composition_variable_audit.csv,reports/root_archive/csv/composition_variable_audit.csv,0,moved
file,coupling_consistency_report.md,reports/root_archive/md/coupling_consistency_report.md,0,moved
file,cuda_binding_verification.csv,reports/root_archive/csv/cuda_binding_verification.csv,0,moved
file,cuda_execution_summary.csv,reports/root_archive/csv/cuda_execution_summary.csv,0,moved
file,cuda_runtime_fix_report.md,reports/root_archive/md/cuda_runtime_fix_report.md,0,moved
file,discretization_bias_report.md,reports/root_archive/md/discretization_bias_report.md,0,moved
file,dual_track_architecture.md,reports/root_archive/md/dual_track_architecture.md,0,moved
file,gp_physics_report.md,reports/root_archive/md/gp_physics_report.md,0,moved
file,mapping_ambiguity_report.csv,reports/root_archive/csv/mapping_ambiguity_report.csv,0,moved
file,mapping_binding_final_report.md,reports/root_archive/md/mapping_binding_final_report.md,0,moved
file,microstructure_capability_report.md,reports/root_archive/md/microstructure_capability_report.md,0,moved
file,nucleation_operator_report.md,reports/root_archive/md/nucleation_operator_report.md,0,moved
file,nucleus_auto_minimize_pipeline_audit.md,reports/root_archive/md/nucleus_auto_minimize_pipeline_audit.md,0,moved
file,nucleus_generator_system_report.md,reports/root_archive/md/nucleus_generator_system_report.md,0,moved
file,nucleus_geometry_mapping_report.md,reports/root_archive/md/nucleus_geometry_mapping_report.md,0,moved
file,nucleus_minimization_pipeline_map.md,reports/root_archive/md/nucleus_minimization_pipeline_map.md,0,moved
file,nucleus_orchestrator_report.md,reports/root_archive/md/nucleus_orchestrator_report.md,0,moved
file,pf_backbone_report.md,reports/root_archive/md/pf_backbone_report.md,0,moved
file,physics_closed_loop_consistency_report.md,reports/root_archive/md/physics_closed_loop_consistency_report.md,0,moved
file,physics_consistency_delta.csv,reports/root_archive/csv/physics_consistency_delta.csv,0,moved
file,reference_state_audit.csv,reports/root_archive/csv/reference_state_audit.csv,0,moved
file,system_architecture_audit_report.md,reports/root_archive/md/system_architecture_audit_report.md,0,moved
file,system_flow_diagram.txt,reports/root_archive/misc/system_flow_diagram.txt,0,moved
file,system_runtime_mechanism_report.md,reports/root_archive/md/system_runtime_mechanism_report.md,0,moved
file,thermo_object_inventory.csv,reports/root_archive/csv/thermo_object_inventory.csv,0,moved
dir,.tmp_profile_plots,reports/root_archive/figures/profile_plots,0,archived_as_scientific_figures
dir,.pycache_tmp,,0,deleted_as_reproducible_python_cache
dir,.tmp_pycache,,0,deleted_as_reproducible_python_cache
dir,__pycache__,,0,deleted_as_reproducible_python_cache
