entry_id,classification,canonical_row,staging_row,changed_field_count,changed_fields,selection_relevant_change,decision
nlib_00001,SEMANTICALLY_DIFFERENT,1,1,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00002,SEMANTICALLY_DIFFERENT,2,2,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00003,SEMANTICALLY_DIFFERENT,3,3,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00004,SEMANTICALLY_DIFFERENT,4,4,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00005,SEMANTICALLY_DIFFERENT,5,5,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00006,SEMANTICALLY_DIFFERENT,6,6,36,source_priority|DeltaG_bare_kBT|DeltaG_eff_kBT_default|r_seed_nm|source_dx_nm|source_internal_unit_to_nm|r_seed_source_internal|semiaxes_source_internal|r_seed_over_dx_for_dx_0p1|r_seed_over_dx_for_dx_0p25|r_seed_over_dx_for_dx_0p5|r_seed_over_dx_for_dx_1p0|tau_bridge_s|tau_bridge_steps|dynamic_continue_dt_s|seed_shape_type|semiaxes_nm|center_of_mass_nm|bbox_length_xyz_nm|orientation_matrix|shape_tensor|shape_tensor_unit|mass_seed_B_equiv|seed_profile_type|seed_source_type|seed_source_path|bridge_source_dir|seed_insertable_dx_0p1|seed_insertable_dx_0p25|seed_insertable_dx_0p5|seed_insertable_dx_1p0|bridge_validation_status|production_valid|debug_only|missing_reason|notes,yes,do_not_substitute
nlib_00007,SEMANTICALLY_DIFFERENT,7,7,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00008,SEMANTICALLY_DIFFERENT,8,8,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00009,SEMANTICALLY_DIFFERENT,9,9,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00010,SEMANTICALLY_DIFFERENT,10,10,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00011,SEMANTICALLY_DIFFERENT,11,11,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00012,SEMANTICALLY_DIFFERENT,12,12,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00013,SEMANTICALLY_DIFFERENT,13,13,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00014,SEMANTICALLY_DIFFERENT,14,14,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00015,SEMANTICALLY_DIFFERENT,15,15,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_00016,SEMANTICALLY_DIFFERENT,16,16,2,DeltaG_bare_kBT|DeltaG_eff_kBT_default,yes,do_not_substitute
nlib_dc_T400_xB003,MISSING_FROM_CANONICAL,-,17,70,all staging-only row fields,yes,promotion requires separate scientific audit
nlib_dc_T450_xB003,MISSING_FROM_CANONICAL,-,18,70,all staging-only row fields,yes,promotion requires separate scientific audit
