case,gp_L_eta,step,eta_max,eta_integral,V_h_nm3,R_eff_h_nm,xB_min,xB_max,max_abs_delta_eta_vs_prev_sample,eta_rhs_chem_interface_mean,eta_rhs_elastic_interface_mean,eta_rhs_grad_interface_mean,eta_rhs_net_interface_mean,eta_evolution_drive_interface_mean,gp_minus_delta_mu_r_mean,gp_minus_delta_mu_r_min,gp_minus_delta_mu_r_max,xB_clip_count_high,xB_clip_count_low,gp_closure_error,dt_divJ_min,dt_divJ_max
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,0,0.99995,4.500456730000002,4.188790960736316,1.0000000601565802,0.03336,0.05,nan,nan,nan,nan,nan,nan,,,,,,,,
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,250,1.36705,18.029699480000005,13.652673356794683,1.482664981185864,0.03695,0.04392,9.86648,0.2388443488869863,0.0,0.0,0.23884286376284242,-0.23884286376284242,-0.015558500042,-2.2102465474,173.66916689,0,0,-2.6125468647e-07,-0.00027317431601,0.00023180890878
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,250,0.0,0.0,0.0,0.0,0.03695,0.04392,8.86653,nan,nan,nan,nan,nan,-0.015558500042,-2.2102465474,173.66916689,0,0,-2.6125468647e-07,-0.00027317431601,0.00023180890878
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,250,-0.0,0.0,0.0,0.0,0.03695,0.04392,0.0,nan,nan,nan,nan,nan,-0.015558500042,-2.2102465474,173.66916689,0,0,-2.6125468647e-07,-0.00027317431601,0.00023180890878
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,250,0.0,0.0,0.0,0.0,0.03695,0.04392,0.0,nan,nan,nan,nan,nan,-0.015558500042,-2.2102465474,173.66916689,0,0,-2.6125468647e-07,-0.00027317431601,0.00023180890878
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,250,1.36705,18.029699480000005,13.652673356794683,1.482664981185864,0.03695,0.04392,8.86653,0.2388443488869863,0.0,0.0,0.23884286376284242,-0.23884286376284242,-0.015558500042,-2.2102465474,173.66916689,0,0,-2.6125468647e-07,-0.00027317431601,0.00023180890878
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,250,1.0,73.54510449,34.82704573849444,2.025859593305636,0.03695,0.04392,9.82278,0.06140994952410894,0.0,0.0,0.06140787921227884,-0.06140787921227884,-0.015558500042,-2.2102465474,173.66916689,0,0,-2.6125468647e-07,-0.00027317431601,0.00023180890878
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,250,1.36705,18.03013646000001,13.65280892643622,1.4826698887398513,0.03695,0.04392,9.82278,0.2388443488869863,0.0,0.0,0.23884286376284242,-0.23884286376284242,-0.015558500042,-2.2102465474,173.66916689,0,0,-2.6125468647e-07,-0.00027317431601,0.00023180890878
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,500,-0.0,0.0,0.0,0.0,0.03701,0.0437,8.86653,nan,nan,nan,nan,nan,0.10343698613,-0.43560670296,168.92875364,0,0,-2.4249318998e-08,-8.963833386e-05,7.2981393522e-05
step35_Leta1e-1_xB05_eta1_R1_dep2_N96,nan,500,0.53923,4.322975640000001,0.1919001045677741,0.3578180138181608,0.03701,0.0437,5.53413,0.1323377084745763,0.0,0.0,0.13233535254237289,-0.13233535254237289,0.10343698613,-0.43560670296,168.92875364,0,0,-2.4249318998e-08,-8.963833386e-05,7.2981393522e-05
