step,time_code,dt,phi_min_before,phi_max_before,phi_mean_before,phi_min_after,phi_max_after,phi_mean_after,dphi_min,dphi_max,dphi_mean,dphi_abs_mean,dphi_abs_max,dphi_l2,dphi_nonzero_fraction_abs_gt_1e-12,dphi_nonzero_fraction_abs_gt_1e-8,dphi_nonzero_fraction_abs_gt_1e-5,eta_min_before,eta_max_before,eta_mean_before,eta_min_after,eta_max_after,eta_mean_after,deta_min,deta_max,deta_mean,deta_abs_mean,deta_abs_max,deta_l2,deta_nonzero_fraction_abs_gt_1e-12,deta_nonzero_fraction_abs_gt_1e-8,deta_nonzero_fraction_abs_gt_1e-5,deta_abs_mean_over_dphi_abs_mean,deta_abs_max_over_dphi_abs_max,deta_l2_over_dphi_l2,xB_min_before,xB_max_before,xB_mean_before,xB_min_after,xB_max_after,xB_mean_after,dxB_min,dxB_max,dxB_abs_mean,dxB_abs_max,Y_min_before,Y_max_before,Y_mean_before,Y_min_after,Y_max_after,Y_mean_after,dY_abs_mean,dY_abs_max,xBtot_mean_before,xBtot_mean_after,xBtot_delta,xBtot_rel_delta,xB_clip_low_count,xB_clip_high_count,phi_out_of_bounds_count,eta_out_of_bounds_count,nan_inf_flag,eta_far_field_mean,eta_far_field_max,phi_far_field_mean,phi_far_field_max,eta_max_minus_far,phi_max_minus_far,S_phi_W,S_phi_grad,S_phi_total,S_eta_W,S_eta_grad,S_eta_total,gp_L_eta,L_phi
1,1.0000000000e-04,1.0000000000e-04,0.0000000000e+00,9.9872898374e-01,5.7860047061e-03,-1.0000000000e-06,9.9835957499e-01,5.7861576570e-03,-3.6940874255e-04,5.7405173990e-05,1.5295083732e-07,3.3908465509e-07,3.6940874255e-04,2.6365310726e-06,9.8981391059e-01,1.4904220016e-01,9.6243399161e-03,0.0000000000e+00,9.9995087118e-01,5.0867945115e-03,0.0000000000e+00,9.9995418153e-01,5.0928340319e-03,-1.2301478611e-03,2.0978651964e-03,6.0395204142e-06,8.1488210353e-06,2.0978651964e-03,7.9953494536e-05,6.2427322953e-01,2.5267537435e-01,3.6111337167e-02,2.4031818936e+01,5.6789809086e+00,3.0325261617e+01,2.7040451082e-02,2.9999999818e-02,2.9740410649e-02,2.7039411299e-02,2.9999999787e-02,2.9740373199e-02,-1.9152934237e-05,2.9451811494e-06,7.7237361881e-08,1.9152934237e-05,-3.5830085747e+00,-3.4760986961e+00,-3.4852496134e+00,-3.5830480970e+00,-3.4760986972e+00,-3.4852509999e+00,2.8030876761e-06,6.6060930629e-04,3.4837326110e-02,3.4838694395e-02,1.3682850372e-06,3.9276408093e-05,0,0,290238,0,0,6.2574908585e-07,2.3800242304e-04,9.7160447063e-08,1.5663487305e-05,9.9995355578e-01,9.9835947783e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
2,2.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9835957499e-01,5.7861576570e-03,-1.0000000000e-06,9.9835131059e-01,5.7863016573e-03,-8.2644050723e-06,3.3255224559e-05,1.4400028245e-07,1.8866148663e-07,3.3255224559e-05,1.9361512241e-06,9.9392700195e-01,1.3935908565e-01,5.7847764757e-03,0.0000000000e+00,9.9995418153e-01,5.0928340319e-03,0.0000000000e+00,9.9997649768e-01,5.0982903308e-03,-6.4394792063e-05,1.3893311056e-03,5.4562988727e-06,5.7227724615e-06,1.3893311056e-03,7.0094774799e-05,7.9132193106e-01,4.9876234266e-01,2.4250171803e-02,3.0333549066e+01,4.1777829619e+01,3.6203150832e+01,2.7039411299e-02,2.9999999787e-02,2.9740373199e-02,2.7037820945e-02,2.9999999824e-02,2.9740299413e-02,-2.6666697212e-05,3.8813666506e-06,1.0647702122e-07,2.6666697212e-05,-3.5830480970e+00,-3.4760986972e+00,-3.4852509999e+00,-3.5831085494e+00,-3.4760986959e+00,-3.4852537327e+00,3.9348245173e-06,9.9417293709e-04,3.4838694395e-02,3.4840023424e-02,1.3290287567e-06,3.8148064379e-05,0,0,297703,0,0,8.4599741841e-07,2.5332036767e-04,1.0666409238e-07,1.6025771781e-05,9.9997565168e-01,9.9835120393e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
3,3.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9835131059e-01,5.7863016573e-03,-1.0000000000e-06,9.9834604510e-01,5.7864415139e-03,-6.1786348049e-06,3.3174464346e-05,1.3985663981e-07,1.8037802589e-07,3.3174464346e-05,1.9283010812e-06,9.9359243887e-01,1.1228886357e-01,5.8186848958e-03,0.0000000000e+00,9.9997649768e-01,5.0982903308e-03,0.0000000000e+00,9.9996844330e-01,5.1035991727e-03,-6.3085617658e-05,1.3935259703e-03,5.3088419480e-06,5.5501693044e-06,1.3935259703e-03,7.0181410159e-05,7.0437396014e-01,4.1728040907e-01,2.0550763166e-02,3.0769653216e+01,4.2005982547e+01,3.6395462744e+01,2.7037820945e-02,2.9999999824e-02,2.9740299413e-02,2.7035965153e-02,2.9999999876e-02,2.9740189671e-02,-3.9739922217e-05,5.0185423695e-06,1.5451590830e-07,3.9739922217e-05,-3.5831085494e+00,-3.4760986959e+00,-3.4852537327e+00,-3.5831790960e+00,-3.4760986941e+00,-3.4852578007e+00,5.7151782926e-06,1.4832966506e-03,3.4840023424e-02,3.4841341532e-02,1.3181085882e-06,3.7833171698e-05,0,0,307629,0,0,9.5235695942e-07,2.5826798826e-04,1.1125099037e-07,1.6352675097e-05,9.9996749094e-01,9.9834593384e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
4,4.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9834604510e-01,5.7864415139e-03,-1.0000000000e-06,9.9834226311e-01,5.7865793665e-03,-5.7044429788e-06,3.3136185711e-05,1.3785255540e-07,1.7650907958e-07,3.3136185711e-05,1.9252892495e-06,9.9264300311e-01,9.5076949508e-02,5.8458116319e-03,0.0000000000e+00,9.9996844330e-01,5.1035991727e-03,0.0000000000e+00,9.9994626889e-01,5.1088567889e-03,-6.5898294073e-05,1.3968428205e-03,5.2576162293e-06,5.5061705906e-06,1.3968428205e-03,7.0337247411e-05,7.6686265734e-01,3.7241730867e-01,1.8377233435e-02,3.1194829206e+01,4.2154605021e+01,3.6533340344e+01,2.7035965153e-02,2.9999999876e-02,2.9740189671e-02,2.7033883869e-02,2.9999999942e-02,2.9740044372e-02,-5.2520770430e-05,6.0436112500e-06,2.0156917629e-07,5.2520770430e-05,-3.5831790960e+00,-3.4760986941e+00,-3.4852578007e+00,-3.5832582202e+00,-3.4760986918e+00,-3.4852631933e+00,7.4633269085e-06,1.9635380872e-03,3.4841341532e-02,3.4842649269e-02,1.3077371505e-06,3.7534064217e-05,0,0,311853,0,0,1.0117603529e-06,2.5427233477e-04,1.1357098875e-07,1.6549626233e-05,9.9994525713e-01,9.9834214953e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
5,5.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9834226311e-01,5.7865793665e-03,-1.0000000000e-06,9.9833920693e-01,5.7867161814e-03,-5.5095134017e-06,3.3085796827e-05,1.3681497187e-07,1.7453515998e-07,3.3085796827e-05,1.9230163071e-06,9.9086620190e-01,8.6918583623e-02,5.8458116319e-03,0.0000000000e+00,9.9994626889e-01,5.1088567889e-03,0.0000000000e+00,9.9991614762e-01,5.1140999165e-03,-6.6501733474e-05,1.4000891181e-03,5.2431275908e-06,5.4969988190e-06,1.4000891181e-03,7.0499352888e-05,7.9849921332e-01,3.6500944915e-01,1.7427797671e-02,3.1495079957e+01,4.2316923043e+01,3.6660819062e+01,2.7033883869e-02,2.9999999942e-02,2.9740044372e-02,2.7031249368e-02,3.0000000022e-02,2.9739863943e-02,-6.4970995237e-05,6.9626440713e-06,2.4751824281e-07,6.4970995237e-05,-3.5832582202e+00,-3.4760986918e+00,-3.4852631933e+00,-3.5833583844e+00,-3.4760986891e+00,-3.4852699001e+00,9.1760515440e-06,2.4340538444e-03,3.4842649269e-02,3.4843946833e-02,1.2975631201e-06,3.7240656130e-05,0,0,314997,0,0,1.0491543512e-06,2.4523674410e-04,1.1481118208e-07,1.7270043573e-05,9.9991509846e-01,9.9833909212e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
6,6.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9833920693e-01,5.7867161814e-03,-1.0000000000e-06,9.9833651272e-01,5.7868524057e-03,-5.5110659782e-06,3.3024692484e-05,1.3622424372e-07,1.7341016250e-07,3.3024692484e-05,1.9205862866e-06,9.8946239330e-01,7.9818160446e-02,5.8458116319e-03,0.0000000000e+00,9.9991614762e-01,5.1140999165e-03,0.0000000000e+00,9.9988230161e-01,5.1193527342e-03,-6.6476214777e-05,1.4028431394e-03,5.2528176652e-06,5.5102154398e-06,1.4028431394e-03,7.0655928249e-05,8.3825457538e-01,3.7308304398e-01,1.7353199146e-02,3.1775620070e+01,4.2478613241e+01,3.6788728913e+01,2.7031249368e-02,3.0000000022e-02,2.9739863943e-02,2.7028253761e-02,3.0000013279e-02,2.9739648834e-02,-7.7055743285e-05,7.9354402854e-06,2.9232485132e-07,7.7055743285e-05,-3.5833583844e+00,-3.4760986891e+00,-3.4852699001e+00,-3.5834722895e+00,-3.4760982335e+00,-3.4852779109e+00,1.0853022060e-05,2.8940711203e-03,3.4843946833e-02,3.4845234341e-02,1.2875086135e-06,3.6950711115e-05,0,0,317421,0,0,1.0842253335e-06,2.3345552289e-04,1.1552331969e-07,1.7721779608e-05,9.9988121738e-01,9.9833639720e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
7,7.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9833651272e-01,5.7868524057e-03,-1.0000000000e-06,9.9833400203e-01,5.7869882423e-03,-5.5076810621e-06,3.2954973691e-05,1.3583663780e-07,1.7270089967e-07,3.2954973691e-05,1.9178002470e-06,9.8549284758e-01,7.1669967086e-02,5.8458116319e-03,0.0000000000e+00,9.9988230161e-01,5.1193527342e-03,0.0000000000e+00,9.9984854993e-01,5.1246207575e-03,-6.6367244904e-05,1.4051483947e-03,5.2680233084e-06,5.5192105467e-06,1.4051483947e-03,7.0803048793e-05,8.5534215856e-01,3.9655897352e-01,1.7492223669e-02,3.1958203791e+01,4.2638431695e+01,3.6918886054e+01,2.7028253761e-02,3.0000013279e-02,2.9739648834e-02,2.7024993678e-02,3.0000033007e-02,2.9739399521e-02,-8.8744342852e-05,9.1048609563e-06,3.3601329768e-07,8.8744342852e-05,-3.5834722895e+00,-3.4760982335e+00,-3.4852779109e+00,-3.5835962650e+00,-3.4760975556e+00,-3.4852872156e+00,1.2496283431e-05,3.3429134090e-03,3.4845234341e-02,3.4846511911e-02,1.2775699620e-06,3.6664123118e-05,0,0,317613,0,0,1.1216636105e-06,2.2090941152e-04,1.1597028496e-07,1.7970987953e-05,9.9984742826e-01,9.9833388606e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
8,8.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9833400203e-01,5.7869882423e-03,-1.0000000000e-06,9.9833158412e-01,5.7871237852e-03,-5.5013775445e-06,3.2875725076e-05,1.3554288738e-07,1.7220446725e-07,3.2875725076e-05,1.9146153890e-06,9.8247273763e-01,6.7702681930e-02,5.8458116319e-03,0.0000000000e+00,9.9984854993e-01,5.1246207575e-03,0.0000000000e+00,9.9981518450e-01,5.1299071716e-03,-6.6125875196e-05,1.4069795038e-03,5.2864140981e-06,5.5278516709e-06,1.4069795038e-03,7.0939643576e-05,8.5868778935e-01,4.0145534939e-01,1.7539695457e-02,3.2100512600e+01,4.2796911720e+01,3.7051641799e+01,2.7024993678e-02,3.0000033007e-02,2.9739399521e-02,2.7021526588e-02,3.0000053366e-02,2.9739116503e-02,-1.0000958546e-04,1.0275706004e-05,3.7850804603e-07,1.0000958546e-04,-3.5835962650e+00,-3.4760975556e+00,-3.4852872156e+00,-3.5837281286e+00,-3.4760968559e+00,-3.4852978041e+00,1.4103930249e-05,3.7799709695e-03,3.4846511911e-02,3.4847779626e-02,1.2677153671e-06,3.6379978872e-05,0,0,317765,0,0,1.1641563988e-06,2.0816044709e-04,1.1628791222e-07,1.8112228161e-05,9.9981402035e-01,9.9833146783e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
9,9.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9833158412e-01,5.7871237852e-03,-1.0000000000e-06,9.9832921251e-01,5.7872590601e-03,-5.4931431506e-06,3.2786801274e-05,1.3527489845e-07,1.7179686469e-07,3.2786801274e-05,1.9110252456e-06,9.7786571361e-01,6.6319218388e-02,5.8458116319e-03,0.0000000000e+00,9.9981518450e-01,5.1299071716e-03,0.0000000000e+00,9.9985168567e-01,5.1352129276e-03,-6.5822419482e-05,1.4085013579e-03,5.3057560273e-06,5.5384194269e-06,1.4085013579e-03,7.1065758238e-05,8.5912633825e-01,3.9442500362e-01,1.7675329138e-02,3.2238186867e+01,4.2959401442e+01,3.7187241980e+01,2.7021526588e-02,3.0000053366e-02,2.9739116503e-02,2.6995432773e-02,3.0000073784e-02,2.9738800301e-02,-1.1082899359e-04,1.1446942031e-05,4.1975033951e-07,1.1082899359e-04,-3.5837281286e+00,-3.4760968559e+00,-3.4852978041e+00,-3.5847210810e+00,-3.4760961543e+00,-3.4853096665e+00,1.5674628486e-05,4.2047473387e-03,3.4847779626e-02,3.4849037566e-02,1.2579397817e-06,3.6098132942e-05,0,0,318197,0,0,1.1887675656e-06,1.8608566220e-04,1.1653537429e-07,1.8191929857e-05,9.9985049690e-01,9.9832909598e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
10,1.0000000000e-03,1.0000000000e-04,-1.0000000000e-06,9.9832921251e-01,5.7872590601e-03,-1.0000000000e-06,9.9832686190e-01,5.7873940643e-03,-5.4836165656e-06,3.2688402276e-05,1.3500423398e-07,1.7142751253e-07,3.2688402276e-05,1.9070321781e-06,9.6860645435e-01,6.4786557798e-02,5.8458116319e-03,0.0000000000e+00,9.9985168567e-01,5.1352129276e-03,0.0000000000e+00,9.9991863483e-01,5.1405374015e-03,-6.5416842328e-05,1.4098138360e-03,5.3244738647e-06,5.5504582579e-06,1.4098138360e-03,7.1181487700e-05,8.7213247794e-01,4.0550853588e-01,1.7756709346e-02,3.2377873166e+01,4.3128869503e+01,3.7325792672e+01,2.6995432773e-02,3.0000073784e-02,2.9738800301e-02,2.6885764563e-02,3.0000093696e-02,2.9738451450e-02,-1.2118442870e-04,1.2616950908e-05,4.5978464433e-07,1.2118442870e-04,-3.5847210810e+00,-3.4760961543e+00,-3.4853096665e+00,-3.5889045325e+00,-3.4760954701e+00,-3.4853227928e+00,1.7210695565e-05,4.6168449718e-03,3.4849037566e-02,3.4850285808e-02,1.2482420253e-06,3.5818550884e-05,0,0,318237,0,0,1.2432986713e-06,1.7465147951e-04,1.1674018583e-07,1.8235682315e-05,9.9991739153e-01,9.9832674516e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-07,9.6003323390e-05,9.6316395340e-05,4.7495061735e-03,1.4325577825e+00
