step,time_code,dt,phi_min_before,phi_max_before,phi_mean_before,phi_min_after,phi_max_after,phi_mean_after,dphi_min,dphi_max,dphi_mean,dphi_abs_mean,dphi_abs_max,dphi_l2,dphi_nonzero_fraction_abs_gt_1e-12,dphi_nonzero_fraction_abs_gt_1e-8,dphi_nonzero_fraction_abs_gt_1e-5,eta_min_before,eta_max_before,eta_mean_before,eta_min_after,eta_max_after,eta_mean_after,deta_min,deta_max,deta_mean,deta_abs_mean,deta_abs_max,deta_l2,deta_nonzero_fraction_abs_gt_1e-12,deta_nonzero_fraction_abs_gt_1e-8,deta_nonzero_fraction_abs_gt_1e-5,deta_abs_mean_over_dphi_abs_mean,deta_abs_max_over_dphi_abs_max,deta_l2_over_dphi_l2,xB_min_before,xB_max_before,xB_mean_before,xB_min_after,xB_max_after,xB_mean_after,dxB_min,dxB_max,dxB_abs_mean,dxB_abs_max,Y_min_before,Y_max_before,Y_mean_before,Y_min_after,Y_max_after,Y_mean_after,dY_abs_mean,dY_abs_max,xBtot_mean_before,xBtot_mean_after,xBtot_delta,xBtot_rel_delta,xB_clip_low_count,xB_clip_high_count,phi_out_of_bounds_count,eta_out_of_bounds_count,nan_inf_flag,eta_far_field_mean,eta_far_field_max,phi_far_field_mean,phi_far_field_max,eta_max_minus_far,phi_max_minus_far,S_phi_W,S_phi_grad,S_phi_total,S_eta_W,S_eta_grad,S_eta_total,gp_L_eta,L_phi
1,1.0000000000e-04,1.0000000000e-04,0.0000000000e+00,9.9872898374e-01,5.7860047061e-03,-1.0000000000e-06,9.9835957499e-01,5.7861576570e-03,-3.6940874255e-04,5.7405173990e-05,1.5295083732e-07,3.3908465509e-07,3.6940874255e-04,2.6365310726e-06,9.8981391059e-01,1.4904220016e-01,9.6243399161e-03,0.0000000000e+00,9.9995087118e-01,5.0867945115e-03,0.0000000000e+00,9.9998640071e-01,5.0882685136e-03,-1.3142704674e-03,9.1637104541e-04,1.4740020711e-06,4.7263799689e-06,1.3142704674e-03,3.9618770874e-05,6.2647501628e-01,2.6565551758e-01,3.6332872179e-02,1.3938643044e+01,3.5577676326e+00,1.5026855282e+01,2.7040451082e-02,2.9999999818e-02,2.9740410649e-02,2.7039847961e-02,2.9999999771e-02,2.9740401419e-02,-1.8343068557e-05,2.1314776131e-06,4.4673373315e-08,1.8343068557e-05,-3.5830085747e+00,-3.4760986961e+00,-3.4852496134e+00,-3.5830314992e+00,-3.4760986977e+00,-3.4852499474e+00,1.5929093339e-06,6.3266768880e-04,3.4837326110e-02,3.4837655808e-02,3.2969805393e-07,9.4639310978e-06,0,0,290238,0,0,6.5921179863e-07,2.5136592121e-04,9.7160447063e-08,1.5663487305e-05,9.9998574149e-01,9.9835947783e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
2,2.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9835957499e-01,5.7861576570e-03,-1.0000000000e-06,9.9835131131e-01,5.7863016797e-03,-8.2636874166e-06,3.3262160445e-05,1.4402274748e-07,1.8868420589e-07,3.3262160445e-05,1.9364894064e-06,9.9411688911e-01,1.3935908565e-01,5.7847764757e-03,0.0000000000e+00,9.9998640071e-01,5.0882685136e-03,0.0000000000e+00,1.0000000000e+00,5.0891359875e-03,-1.4209683442e-04,1.6514586922e-04,8.6747390251e-07,1.0816748159e-06,1.6514586922e-04,8.1562734302e-06,8.1768233688e-01,4.9611522533e-01,1.9817211010e-02,5.7327258043e+00,4.9649772297e+00,4.2118864185e+00,2.7039847961e-02,2.9999999771e-02,2.9740401419e-02,2.7039113720e-02,2.9999999778e-02,2.9740383852e-02,-8.6723224377e-06,2.1030360056e-06,3.9537613082e-08,8.6723224377e-06,-3.5830314992e+00,-3.4760986977e+00,-3.4852499474e+00,-3.5830594083e+00,-3.4760986975e+00,-3.4852505821e+00,1.4504228921e-06,3.2260100244e-04,3.4837655808e-02,3.4837952942e-02,2.9713432378e-07,8.5291135954e-06,0,0,297703,0,0,9.1435581967e-07,2.7898928293e-04,1.0666411160e-07,1.6025665911e-05,9.9999908564e-01,9.9835120464e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
3,3.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9835131131e-01,5.7863016797e-03,-1.0000000000e-06,9.9834604799e-01,5.7864416035e-03,-6.1790049165e-06,3.3199779928e-05,1.3992380055e-07,1.8044621704e-07,3.3199779928e-05,1.9293162180e-06,9.9361956561e-01,1.1245162399e-01,5.8186848958e-03,0.0000000000e+00,1.0000000000e+00,5.0891359875e-03,0.0000000000e+00,1.0000000000e+00,5.0898356741e-03,-8.0007664387e-05,1.4264636624e-04,6.9968668371e-07,7.8879600220e-07,1.4264636624e-04,7.2836800878e-06,6.9270042137e-01,4.0430478696e-01,1.2764259621e-02,4.3713634741e+00,4.2966057771e+00,3.7752650498e+00,2.7039113720e-02,2.9999999778e-02,2.9740383852e-02,2.7038512617e-02,2.9999999785e-02,2.9740358072e-02,-1.1159304432e-05,2.4165220851e-06,5.4451235476e-08,1.1159304432e-05,-3.5830594083e+00,-3.4760986975e+00,-3.4852505821e+00,-3.5830822572e+00,-3.4760986972e+00,-3.4852515133e+00,1.9982911187e-06,4.1525874478e-04,3.4837952942e-02,3.4838246014e-02,2.9307131133e-07,8.4124148114e-06,0,0,307629,0,0,1.0497303002e-06,2.9640871472e-04,1.1125097977e-07,1.6352233005e-05,9.9999895027e-01,9.9834593674e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
4,4.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9834604799e-01,5.7864416035e-03,-1.0000000000e-06,9.9834227039e-01,5.7865795899e-03,-5.7051395183e-06,3.3186624342e-05,1.3798640637e-07,1.7664517390e-07,3.3186624342e-05,1.9273151018e-06,9.9272438332e-01,9.5076949508e-02,5.8458116319e-03,0.0000000000e+00,1.0000000000e+00,5.0898356741e-03,0.0000000000e+00,1.0000000000e+00,5.0904556809e-03,-4.2214167535e-05,1.3833934143e-04,6.2000676286e-07,6.6977340157e-07,1.3833934143e-04,7.0703925377e-06,7.6688526295e-01,3.7797602901e-01,9.8345721209e-03,3.7916314767e+00,4.1685270548e+00,3.6685192427e+00,2.7038512617e-02,2.9999999785e-02,2.9740358072e-02,2.7038060558e-02,2.9999999794e-02,2.9740324188e-02,-1.3590129092e-05,2.6719656926e-06,6.9126437635e-08,1.3590129092e-05,-3.5830822572e+00,-3.4760986972e+00,-3.4852515133e+00,-3.5830994410e+00,-3.4760986969e+00,-3.4852527373e+00,2.5377025773e-06,5.0593441527e-04,3.4838246014e-02,3.4838535517e-02,2.8950372517e-07,8.3099397444e-06,0,0,311997,0,0,1.1291982509e-06,3.0599734606e-04,1.1357074049e-07,1.6548516965e-05,9.9999887080e-01,9.9834215682e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
5,5.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9834227039e-01,5.7865795899e-03,-1.0000000000e-06,9.9833922162e-01,5.7867166274e-03,-5.5159918094e-06,3.3169536267e-05,1.3703751875e-07,1.7476183597e-07,3.3169536267e-05,1.9263831908e-06,9.9086620190e-01,8.7081344039e-02,5.8458116319e-03,0.0000000000e+00,1.0000000000e+00,5.0904556809e-03,0.0000000000e+00,1.0000000000e+00,5.0910335535e-03,-2.2295995420e-05,1.3841874279e-04,5.7787257363e-07,6.1178191400e-07,1.3841874279e-04,7.0090730477e-06,7.9650539822e-01,3.6669582791e-01,7.6237431279e-03,3.5006608314e+00,4.1730683744e+00,3.6384625246e+00,2.7038060558e-02,2.9999999794e-02,2.9740324188e-02,2.7037768817e-02,2.9999999804e-02,2.9740282308e-02,-1.5964833184e-05,2.8833104353e-06,8.3544621019e-08,1.5964833184e-05,-3.5830994410e+00,-3.4760986969e+00,-3.4852527373e+00,-3.5831105310e+00,-3.4760986966e+00,-3.4852542508e+00,3.0680958913e-06,5.9464916336e-04,3.4838535517e-02,3.4838821597e-02,2.8607943590e-07,8.2115804137e-06,0,0,314949,0,0,1.1784868239e-06,3.1089227108e-04,1.1481051680e-07,1.7270217612e-05,9.9999882151e-01,9.9833910681e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
6,6.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9833922162e-01,5.7867166274e-03,-1.0000000000e-06,9.9833653858e-01,5.7868531847e-03,-5.5207489296e-06,3.3149797877e-05,1.3655721132e-07,1.7375029975e-07,3.3149797877e-05,1.9256213788e-06,9.8963871709e-01,8.0672652633e-02,5.8458116319e-03,0.0000000000e+00,1.0000000000e+00,5.0910335535e-03,0.0000000000e+00,1.0000000000e+00,5.0915871778e-03,-1.1670988998e-05,1.3844076367e-04,5.5362432408e-07,5.8202538702e-07,1.3844076367e-04,6.9900409269e-06,8.1955634223e-01,3.5128558124e-01,6.8709762008e-03,3.3497806212e+00,4.1762174294e+00,3.6300183432e+00,2.7037768817e-02,2.9999999804e-02,2.9740282308e-02,2.7037646157e-02,2.9999999814e-02,2.9740232539e-02,-1.8282762534e-05,3.0575281810e-06,9.7726369503e-08,1.8282762534e-05,-3.5831105310e+00,-3.4760986966e+00,-3.4852542508e+00,-3.5831151936e+00,-3.4760986962e+00,-3.4852560503e+00,3.5901531656e-06,6.8139671862e-04,3.4838821597e-02,3.4839104335e-02,2.8273787331e-07,8.1155980699e-06,0,0,317325,0,0,1.2098747169e-06,3.1298275161e-04,1.1552194462e-07,1.7721914903e-05,9.9999879013e-01,9.9833642305e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
7,7.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9833653858e-01,5.7868531847e-03,-1.0000000000e-06,9.9833404355e-01,5.7869894863e-03,-5.5211827977e-06,3.3127883214e-05,1.3630160108e-07,1.7317683110e-07,3.3127883214e-05,1.9248274627e-06,9.8642193830e-01,7.1961579499e-02,5.8458116319e-03,0.0000000000e+00,1.0000000000e+00,5.0915871778e-03,0.0000000000e+00,1.0000000000e+00,5.0921269301e-03,-6.6352587764e-06,1.3847943789e-04,5.3975234920e-07,5.6634736972e-07,1.3847943789e-04,6.9837766111e-06,8.3460942021e-01,3.3045450846e-01,6.7952473958e-03,3.2703414545e+00,4.1801474908e+00,3.6282611020e+00,2.7037646157e-02,2.9999999814e-02,2.9740232539e-02,2.7037699847e-02,2.9999999825e-02,2.9740174987e-02,-2.0543015207e-05,3.1980496294e-06,1.1166485457e-07,2.0543015207e-05,-3.5831151936e+00,-3.4760986962e+00,-3.4852560503e+00,-3.5831131527e+00,-3.4760986958e+00,-3.4852581325e+00,4.1037313215e-06,7.6615986449e-04,3.4839104335e-02,3.4839383790e-02,2.7945541670e-07,8.0213146128e-06,0,0,317685,0,0,1.2259321577e-06,3.1350356696e-04,1.1596779479e-07,1.7970993286e-05,9.9999877407e-01,9.9833392758e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
8,8.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9833404355e-01,5.7869894863e-03,-1.0000000000e-06,9.9833164656e-01,5.7871256482e-03,-5.5193165455e-06,3.3103787256e-05,1.3616196063e-07,1.7284077576e-07,3.3103787256e-05,1.9239552498e-06,9.8322098343e-01,6.8421540437e-02,5.8458116319e-03,0.0000000000e+00,1.0000000000e+00,5.0921269301e-03,0.0000000000e+00,1.0000000000e+00,5.0926583628e-03,-6.5181858848e-06,1.3852977956e-04,5.3143261916e-07,5.5795689148e-07,1.3852977956e-04,6.9815570698e-06,8.4648640951e-01,3.0097452799e-01,6.7952473958e-03,3.2281554456e+00,4.1847109061e+00,3.6287523167e+00,2.7037699847e-02,2.9999999825e-02,2.9740174987e-02,2.7037936040e-02,2.9999999837e-02,2.9740109759e-02,-2.2744792650e-05,3.3066708310e-06,1.2535566053e-07,2.2744792650e-05,-3.5831131527e+00,-3.4760986958e+00,-3.4852581325e+00,-3.5831041743e+00,-3.4760986955e+00,-3.4852604941e+00,4.6086661642e-06,8.4892352345e-04,3.4839383790e-02,3.4839660011e-02,2.7622138236e-07,7.9284233046e-06,0,0,318197,0,0,1.2404540885e-06,3.1334058150e-04,1.1628448553e-07,1.8111982607e-05,9.9999875955e-01,9.9833153027e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
9,9.0000000000e-04,1.0000000000e-04,-1.0000000000e-06,9.9833164656e-01,5.7871256482e-03,-1.0000000000e-06,9.9832930184e-01,5.7872617173e-03,-5.5161190390e-06,3.3077510133e-05,1.3606910714e-07,1.7261353693e-07,3.3077510133e-05,1.9229947575e-06,9.8010819047e-01,6.6624394170e-02,5.8458116319e-03,0.0000000000e+00,1.0000000000e+00,5.0926583628e-03,0.0000000000e+00,1.0000000000e+00,5.0931845027e-03,-6.6016579082e-06,1.3859083432e-04,5.2613993554e-07,5.5309589601e-07,1.3859083432e-04,6.9803683106e-06,8.5774400499e-01,2.6967479565e-01,6.7952473958e-03,3.2042440347e+00,4.1898810933e+00,3.6299466149e+00,2.7037936040e-02,2.9999999837e-02,2.9740109759e-02,2.7038360021e-02,2.9999999848e-02,2.9740036960e-02,-2.4887481581e-05,3.3840608590e-06,1.3877940417e-07,2.4887481581e-05,-3.5831041743e+00,-3.4760986955e+00,-3.4852604941e+00,-3.5830880577e+00,-3.4760986950e+00,-3.4852631319e+00,5.1041912144e-06,9.2967784415e-04,3.4839660011e-02,3.4839933040e-02,2.7302835252e-07,7.8367111627e-06,0,0,318845,0,0,1.2507319342e-06,3.1261546714e-04,1.1653082396e-07,1.8191018270e-05,9.9999874927e-01,9.9832918531e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
10,1.0000000000e-03,1.0000000000e-04,-1.0000000000e-06,9.9832930184e-01,5.7872617173e-03,-1.0000000000e-06,9.9832698489e-01,5.7873977125e-03,-5.5122382310e-06,3.3049121407e-05,1.3599520492e-07,1.7244798499e-07,3.3049121407e-05,1.9219447515e-06,9.7203346535e-01,6.5674958406e-02,5.8458116319e-03,0.0000000000e+00,1.0000000000e+00,5.0931845027e-03,0.0000000000e+00,1.0000000000e+00,5.0937076019e-03,-6.6463039315e-06,1.3863204795e-04,5.2309924448e-07,5.5057637000e-07,1.3863204795e-04,6.9794801479e-06,8.6842515734e-01,2.4059041341e-01,6.7952473958e-03,3.1927097903e+00,4.1947271834e+00,3.6314676281e+00,2.7038360021e-02,2.9999999848e-02,2.9740036960e-02,2.7038976373e-02,2.9999999860e-02,2.9739956697e-02,-2.6970017970e-05,3.4304120996e-06,1.5193170173e-07,2.6970017970e-05,-3.5830880577e+00,-3.4760986950e+00,-3.4852631319e+00,-3.5830646290e+00,-3.4760986946e+00,-3.4852660426e+00,5.5902216968e-06,1.0083944598e-03,3.4839933040e-02,3.4840202909e-02,2.6986887449e-07,7.7459642125e-06,0,0,318837,0,0,1.2584906634e-06,3.1164962527e-04,1.1673480730e-07,1.8233991307e-05,9.9999874151e-01,9.9832686815e-01,1.4325577825e-04,1.9087351104e-02,1.9230606882e-02,3.1307195074e-08,9.6003323390e-06,9.6316395340e-06,4.7495061735e-04,1.4325577825e+00
