step,time_code,dt,phi_rhs_total_explicit_signed_mean,phi_rhs_total_explicit_abs_mean,phi_rhs_total_explicit_abs_max,phi_rhs_total_explicit_rms,phi_rhs_chem_signed_mean,phi_rhs_chem_abs_mean,phi_rhs_chem_abs_max,phi_rhs_chem_rms,phi_rhs_double_well_signed_mean,phi_rhs_double_well_abs_mean,phi_rhs_double_well_abs_max,phi_rhs_double_well_rms,phi_rhs_elastic_signed_mean,phi_rhs_elastic_abs_mean,phi_rhs_elastic_abs_max,phi_rhs_elastic_rms,phi_update_explicit_est_signed_mean,phi_update_explicit_est_abs_mean,phi_update_explicit_est_abs_max,phi_update_explicit_est_rms,dphi_actual_signed_mean,dphi_actual_abs_mean,dphi_actual_abs_max,dphi_actual_rms,eta_rhs_total_explicit_signed_mean,eta_rhs_total_explicit_abs_mean,eta_rhs_total_explicit_abs_max,eta_rhs_total_explicit_rms,eta_rhs_bulk_signed_mean,eta_rhs_bulk_abs_mean,eta_rhs_bulk_abs_max,eta_rhs_bulk_rms,eta_rhs_double_well_signed_mean,eta_rhs_double_well_abs_mean,eta_rhs_double_well_abs_max,eta_rhs_double_well_rms,eta_rhs_elastic_signed_mean,eta_rhs_elastic_abs_mean,eta_rhs_elastic_abs_max,eta_rhs_elastic_rms,eta_update_explicit_est_signed_mean,eta_update_explicit_est_abs_mean,eta_update_explicit_est_abs_max,eta_update_explicit_est_rms,deta_actual_signed_mean,deta_actual_abs_mean,deta_actual_abs_max,deta_actual_rms,phi_grad_denom_min,phi_grad_denom_max,phi_grad_denom_mean,phi_grad_denom_at_kmax,eta_grad_denom_min,eta_grad_denom_max,eta_grad_denom_mean,eta_grad_denom_at_kmax,eta_rhs_total_absmax_over_phi_rhs_total_absmax,eta_rhs_bulk_absmax_over_phi_chem_absmax,eta_rhs_dw_absmax_over_phi_dw_absmax,eta_rhs_elastic_absmax_over_phi_elastic_absmax,eta_Ldt_rhs_absmax_over_phi_Ldt_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax,eta_Ldt_dw_absmax_over_phi_Ldt_dw_absmax,eta_Ldt_elastic_absmax_over_phi_Ldt_elastic_absmax,deta_absmax_over_dphi_absmax,deta_absmean_over_dphi_absmean,deta_rms_over_dphi_rms,phi_damping_stronger_than_eta,phi_actual_over_explicit_est_absmax,eta_actual_over_explicit_est_absmax,corr_abs_deta_abs_dxB,corr_abs_deta_abs_dY,corr_abs_deta_local_xB,corr_abs_deta_eta_before,corr_abs_deta_phi_before,max_abs_deta_idx,max_abs_deta_i,max_abs_deta_j,max_abs_deta_k,max_abs_deta_value,max_abs_deta_eta_before,max_abs_deta_phi_before,max_abs_deta_xB_before,max_abs_deta_Y_before,max_abs_deta_eta_rhs_bulk,max_abs_deta_eta_rhs_dw,max_abs_deta_eta_rhs_total,max_abs_deta_dxB,max_abs_dphi_idx,max_abs_dphi_i,max_abs_dphi_j,max_abs_dphi_k,max_abs_dphi_value,max_abs_dphi_eta_before,max_abs_dphi_phi_before,max_abs_dphi_xB_before,max_abs_dphi_Y_before,max_abs_dphi_phi_rhs_chem,max_abs_dphi_phi_rhs_dw,max_abs_dphi_phi_rhs_total,max_abs_dphi_dxB,xB_min_after,xB_max_after,xBtot_rel_delta,eta_far_field_max,xB_clip_low_count,xB_clip_high_count,nan_inf_flag,S_phi_W,S_phi_grad,S_phi_total,S_eta_W,S_eta_grad,S_eta_total,gp_L_eta,L_phi
1,1.0000000000e-04,1.0000000000e-04,-8.2418518091e-02,1.2314003217e-01,1.1595745640e+00,2.3526897221e-01,-1.9916929124e-01,1.9916929124e-01,1.0873940040e+00,3.1256830626e-01,1.1675077315e-01,1.1713389072e-01,1.9245007717e-01,1.2685701286e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9746033365e-05,2.9502194895e-05,2.7781375545e-04,5.6366324977e-05,1.9746033365e-05,6.3825695833e-05,1.0863349643e-02,1.4531074500e-04,-9.2228114524e+00,9.2228130403e+00,2.4204402844e+03,1.2318959760e+02,-9.2239172383e+00,9.2239172383e+00,2.4204544344e+03,1.2319422218e+02,1.1057858409e-03,2.8959271828e-03,3.7754949360e-01,2.7228285365e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3803799930e-07,4.3803807472e-07,1.1495896073e-04,5.8508975430e-06,1.4061691976e-06,4.6939491192e-06,1.3222959724e-03,3.9420960524e-05,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0873519992e+03,2.2259221823e+03,1.9618048439e+00,nan,4.1379866359e-01,4.4126894967e-01,3.8891007503e-04,nan,1.2172083344e-01,7.3543250221e-02,2.7128730585e-01,4.1920690912e+00,3.9102994109e+01,1.1502330606e+01,3.7361322890e-01,3.7076171288e-01,-3.3579653610e-01,6.1048459845e-01,3.9946049552e-01,446733,48,45,45,-1.3222959724e-03,9.9659254003e-01,5.9479506211e-01,2.8432350797e-02,-3.5313832907e+00,-3.2474468240e-01,-1.3233203847e-02,-3.3797788624e-01,1.3237986646e-05,447024,48,48,48,-1.0863349643e-02,9.9995087118e-01,6.6075636877e-01,2.9675461610e-02,-3.4873100953e+00,-9.4097373541e-01,-1.4413891213e-01,-1.0851126475e+00,1.5203676781e-06,2.0903573330e-02,2.9999996156e-02,7.6526425230e-05,2.5263132936e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
2,2.0000000000e-04,1.0000000000e-04,-8.2494021493e-02,1.2321811529e-01,1.1600986437e+00,2.3549373723e-01,-1.9926462926e-01,1.9926462926e-01,1.0875425531e+00,3.1277613127e-01,1.1677060777e-01,1.1715133341e-01,1.9245007975e-01,1.2686765611e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9764122657e-05,2.9520902244e-05,2.7793931578e-04,5.6420174739e-05,1.9764122657e-05,3.1904836725e-05,3.7677623718e-03,6.6284722959e-05,-9.2145425356e+00,9.2145450720e+00,2.4152221286e+03,1.2304769324e+02,-9.2156517962e+00,9.2156517962e+00,2.4152362014e+03,1.2305232858e+02,1.1092606014e-03,2.8986275637e-03,3.7754853696e-01,2.7217290092e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3764526659e-07,4.3764538706e-07,1.1471112410e-04,5.8441577866e-06,8.0020710410e-07,1.0224035904e-06,1.4421986475e-04,7.1896886191e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0819110010e+03,2.2208199528e+03,1.9617998467e+00,nan,4.1272003489e-01,4.4025747881e-01,3.8890908439e-04,nan,3.8277324979e-02,3.2045410520e-02,1.0846675219e-01,4.1920690912e+00,1.3556061190e+01,1.2572439323e+00,3.4053160385e-01,3.3313019748e-01,-3.5147740534e-01,5.2855072827e-01,3.9305724990e-01,447024,48,48,48,-1.4421986475e-04,9.9944965518e-01,6.4989301912e-01,2.9676981978e-02,-3.4872572966e+00,-6.3952719071e-03,-2.1557775305e-03,-8.5510494376e-03,8.9935689066e-05,447024,48,48,48,-3.7677623718e-03,9.9944965518e-01,6.4989301912e-01,2.9676981978e-02,-3.4872572966e+00,-9.6954133275e-01,-1.3642188336e-01,-1.1059632161e+00,8.9935689066e-05,2.1086322177e-02,2.9999991413e-02,5.3766482592e-05,2.8163541591e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
3,3.0000000000e-04,1.0000000000e-04,-8.2614100156e-02,1.2334180251e-01,1.1606998377e+00,2.3589451336e-01,-1.9940436637e-01,1.9940436637e-01,1.0874071758e+00,3.1313134022e-01,1.1679026622e-01,1.1716860131e-01,1.9245008790e-01,1.2687843823e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9792891402e-05,2.9550535535e-05,2.7808335133e-04,5.6516193681e-05,1.9792891402e-05,2.8574430358e-05,3.2114122465e-03,6.1321968857e-05,-9.1994313908e+00,9.1994345834e+00,2.4072468070e+03,1.2275675038e+02,-9.2005417509e+00,9.2005417509e+00,2.4072606552e+03,1.2276140847e+02,1.1103601720e-03,2.9000255988e-03,3.7754824549e-01,2.7216994126e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3692756183e-07,4.3692771347e-07,1.1433233571e-04,5.8303394376e-06,6.3253850008e-07,7.1894598120e-07,1.1405587749e-04,6.1823692133e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0739615263e+03,2.2137619731e+03,1.9617982491e+00,nan,4.1114412340e-01,4.3885829814e-01,3.8890876768e-04,nan,3.5515800757e-02,2.5160465919e-02,1.0081817868e-01,4.1920690912e+00,1.1548380121e+01,9.9758197698e-01,2.5604647078e-01,2.5358055795e-01,-3.2718289991e-01,5.4423496161e-01,3.6170128218e-01,382987,41,53,43,1.1405587749e-04,4.9293973983e-01,5.0058549452e-01,2.2757366556e-02,-3.7598460690e+00,-2.4072606552e+03,1.3848110755e-02,-2.4072468070e+03,-1.6712047581e-04,447024,48,48,48,-3.2114122465e-03,9.9930543531e-01,6.4612525675e-01,2.9766917667e-02,-3.4841387023e+00,-9.8035561534e-01,-1.3364464558e-01,-1.1140002609e+00,1.1223825543e-04,2.1328106787e-02,2.9999982428e-02,3.2870825567e-05,3.0052987390e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
4,4.0000000000e-04,1.0000000000e-04,-8.2776200081e-02,1.2350961555e-01,1.1613579363e+00,2.3646351642e-01,-1.9958603819e-01,1.9958603819e-01,1.0869336330e+00,3.1362721459e-01,1.1680983811e-01,1.1718578269e-01,1.9245008961e-01,1.2688925647e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9831727704e-05,2.9590740601e-05,2.7824102022e-04,5.6652516847e-05,1.9831727704e-05,2.6158612334e-05,2.7987918979e-03,5.7687817627e-05,-9.1837733761e+00,9.1837769949e+00,2.3987853912e+03,1.2244636953e+02,-9.1848841816e+00,9.1848841816e+00,2.3987992001e+03,1.2245106035e+02,1.1108054765e-03,2.9007982268e-03,3.7754789931e-01,2.7216973636e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3618388346e-07,4.3618405533e-07,1.1393046024e-04,5.8155978800e-06,5.5290815316e-07,5.9787640672e-07,1.1351435577e-04,5.9185459712e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0655004940e+03,2.2069417371e+03,1.9617964329e+00,nan,4.0946680023e-01,4.3750624800e-01,3.8890840763e-04,nan,4.0558340851e-02,2.2855815097e-02,1.0259611500e-01,4.1920690912e+00,1.0058875919e+01,9.9634773284e-01,1.8530093697e-01,1.8772770809e-01,-3.1947966296e-01,5.4946572095e-01,3.4429883445e-01,512011,55,53,43,1.1351435577e-04,4.9305379571e-01,5.0047752888e-01,2.2590246080e-02,-3.7673877405e+00,-2.3987627318e+03,1.3624486754e-02,-2.3987491074e+03,-1.4688843294e-04,447024,48,48,48,-2.7987918979e-03,9.9922375461e-01,6.4291384450e-01,2.9879155923e-02,-3.4802595343e+00,-9.8994148189e-01,-1.3123814529e-01,-1.1211796272e+00,1.2667658866e-04,2.1601111017e-02,3.0005832511e-02,1.4335349925e-05,3.1167622374e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
5,5.0000000000e-04,1.0000000000e-04,-8.2977776617e-02,1.2371915972e-01,1.1619752854e+00,2.3719132378e-01,-1.9980709925e-01,1.9980709925e-01,1.0861280368e+00,3.1425590001e-01,1.1682932264e-01,1.1720287549e-01,1.9245008599e-01,1.2690009229e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9880021912e-05,2.9640943714e-05,2.7838892625e-04,5.6826886745e-05,1.9880021912e-05,2.5363686752e-05,2.4848409794e-03,5.4953851078e-05,-9.1720340381e+00,9.1720379410e+00,2.3914642869e+03,1.2218784381e+02,-9.1731449808e+00,9.1731449808e+00,2.3914778073e+03,1.2219257523e+02,1.1109426298e-03,2.9012684870e-03,3.7754751413e-01,2.7217041705e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3562632288e-07,4.3562650824e-07,1.1358274395e-04,5.8033191851e-06,5.1037434162e-07,5.3758810359e-07,1.1303028005e-04,5.8337851807e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0581025405e+03,2.2018378371e+03,1.9617944683e+00,nan,4.0800022283e-01,4.3649444597e-01,3.8890801818e-04,nan,4.5487933026e-02,2.1195187784e-02,1.0615789551e-01,4.1920690912e+00,8.9257895880e+00,9.9513602264e-01,1.3135002536e-01,1.3730975096e-01,-3.2019304601e-01,5.4853015671e-01,3.3368878756e-01,493577,53,53,41,1.1303028005e-04,4.9316731006e-01,5.0036644282e-01,2.2443357647e-02,-3.7740615391e+00,-2.3913518784e+03,1.3401920264e-02,-2.3913384765e+03,-1.0686293656e-04,447024,48,48,48,-2.4848409794e-03,9.9917995722e-01,6.4011505261e-01,3.0005832511e-02,-3.4758982788e+00,-9.9860383711e-01,-1.2911196999e-01,-1.1277158071e+00,1.3466841044e-04,2.1864958102e-02,3.0140500922e-02,-1.7276530963e-06,3.1821935752e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
6,6.0000000000e-04,1.0000000000e-04,-8.3216071301e-02,1.2396784492e-01,1.1626750244e+00,2.3806695507e-01,-2.0006478794e-01,2.0006478794e-01,1.0853062279e+00,3.1500835455e-01,1.1684871664e-01,1.1721987653e-01,1.9245007032e-01,1.2691093055e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9937113145e-05,2.9700524332e-05,2.7855657145e-04,5.7036672664e-05,1.9937113145e-05,2.4896751527e-05,2.2401504254e-03,5.2838072790e-05,-9.1676724380e+00,9.1676765468e+00,2.3863752114e+03,1.2203467002e+02,-9.1687833545e+00,9.1687833545e+00,2.3863885156e+03,1.2203944773e+02,1.1109165037e-03,2.9015755809e-03,3.7754709498e-01,2.7217152872e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3541916841e-07,4.3541936356e-07,1.1334103799e-04,5.7960441862e-06,4.8597419775e-07,5.0446031769e-07,1.1271830272e-04,5.8038170249e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0524868612e+03,2.1988158312e+03,1.9617924501e+00,nan,4.0688696517e-01,4.3589536061e-01,3.8890761808e-04,nan,5.0317291840e-02,2.0262093918e-02,1.0984157291e-01,4.1920690912e+00,8.0419945353e+00,9.9450565057e-01,9.8081761460e-02,1.0645653677e-01,-3.2533157686e-01,5.4657215756e-01,3.2717936452e-01,492631,53,43,55,1.1271830272e-04,4.9328034034e-01,5.0025307954e-01,2.2336494710e-02,-3.7789436718e+00,-2.3862063906e+03,1.3180298779e-02,-2.3861932103e+03,-5.3025855625e-05,447024,48,48,48,-2.2401504254e-03,9.9915622119e-01,6.3763021163e-01,3.0140500922e-02,-3.4712814018e+00,-1.0065294192e+00,-1.2720220438e-01,-1.1337316236e+00,1.3730131165e-04,2.2057021202e-02,3.0277802233e-02,-1.5298567812e-05,3.2197008124e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
7,7.0000000000e-04,1.0000000000e-04,-8.3488176996e-02,1.2425288763e-01,1.1633321056e+00,2.3907802361e-01,-2.0035619284e-01,2.0035619284e-01,1.0842408378e+00,3.1587447135e-01,1.1686801585e-01,1.1723678216e-01,1.9245004284e-01,1.2692175884e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0002304903e-05,2.9768815572e-05,2.7871399660e-04,5.7278906976e-05,2.0002304903e-05,2.4662770964e-05,2.0451503759e-03,5.1155027463e-05,-9.1732793858e+00,9.1732836476e+00,2.3844013223e+03,1.2202607646e+02,-9.1743901824e+00,9.1743901824e+00,2.3844379438e+03,1.2203090395e+02,1.1107966331e-03,2.9017872866e-03,3.7754664376e-01,2.7217287480e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3568547074e-07,4.3568567316e-07,1.1324728800e-04,5.7956360349e-06,4.7179814262e-07,4.8596536694e-07,1.1259710866e-04,5.7958767761e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0496308069e+03,2.1991773974e+03,1.9617903857e+00,nan,4.0632077823e-01,4.3596703786e-01,3.8890720883e-04,nan,5.5055662404e-02,1.9704410654e-02,1.1330023780e-01,4.1920690912e+00,7.3378100879e+00,9.9425876457e-01,8.9306344620e-02,9.9897789888e-02,-3.3283914882e-01,5.4576658732e-01,3.2353342618e-01,492427,53,41,43,1.1259710866e-04,4.9339305865e-01,5.0013818466e-01,2.2283468855e-02,-3.7813746860e+00,-2.3841756416e+03,1.2959284970e-02,-2.3841626823e+03,1.0228554426e-05,447024,48,48,48,-2.0451503759e-03,9.9914331902e-01,6.3539006120e-01,3.0277802233e-02,-3.4665947920e+00,-1.0138335735e+00,-1.2546300810e-01,-1.1392965816e+00,1.3595519279e-04,2.2195960793e-02,3.0413757426e-02,-2.6431983661e-05,3.2413096288e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
8,8.0000000000e-04,1.0000000000e-04,-8.3791089599e-02,1.2457143607e-01,1.1639268675e+00,2.4021098326e-01,-2.0067830532e-01,2.0067830532e-01,1.0831154027e+00,3.1684326700e-01,1.1688721572e-01,1.1725358906e-01,1.9245000382e-01,1.2693256704e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0074877457e-05,2.9845134199e-05,2.7885649113e-04,5.7550344265e-05,2.0074877457e-05,2.4586324988e-05,1.8865633957e-03,4.9781749914e-05,-9.1906732632e+00,9.1906776418e+00,2.3864390952e+03,1.2218914889e+02,-9.1917838840e+00,9.1917838840e+00,2.3864755040e+03,1.2219402744e+02,1.1106208463e-03,2.9019412500e-03,3.7754616146e-01,2.7217435708e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3651159402e-07,4.3651180198e-07,1.1334407215e-04,5.8033811700e-06,4.6367505476e-07,4.7566532129e-07,1.1266818073e-04,5.8009744432e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0503342279e+03,2.2033437046e+03,1.9617882773e+00,nan,4.0646022509e-01,4.3679297060e-01,3.8890679086e-04,nan,5.9721385979e-02,1.9346743424e-02,1.1652813437e-01,4.1920690912e+00,6.7653558577e+00,9.9403681720e-01,1.0391664289e-01,1.1735648404e-01,-3.4106105446e-01,5.4546909914e-01,3.2142694106e-01,493577,53,53,41,1.1266818073e-04,4.9350565575e-01,5.0002243181e-01,2.2293697409e-02,-3.7809053097e+00,-2.3858391377e+03,1.2738504848e-02,-2.3858263992e+03,7.9600604292e-05,447024,48,48,48,-1.8865633957e-03,9.9913640121e-01,6.3334491083e-01,3.0413757426e-02,-3.4619743735e+00,-1.0205953720e+00,-1.2386095926e-01,-1.1444563313e+00,1.3231955767e-04,2.2342475735e-02,3.0546076984e-02,-3.5237678260e-05,3.2554617829e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
9,9.0000000000e-04,1.0000000000e-04,-8.4121748518e-02,1.2492054394e-01,1.1644179918e+00,2.4145143360e-01,-2.0102806040e-01,2.0102806040e-01,1.0827836950e+00,3.1790310964e-01,1.1690631188e-01,1.1727030944e-01,1.9244998448e-01,1.2694334700e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0154097543e-05,2.9928774329e-05,2.7897415593e-04,5.7847534440e-05,2.0154097543e-05,2.4567305770e-05,1.7552056982e-03,4.8635452959e-05,-9.2209779739e+00,9.2209824441e+00,2.3924989679e+03,1.2254037963e+02,-9.2220883841e+00,9.2220883841e+00,2.3925351640e+03,1.2254530843e+02,1.1104101517e-03,2.9020589705e-03,3.7754564837e-01,2.7217592174e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3795091813e-07,4.3795113044e-07,1.1363188618e-04,5.8200628957e-06,4.5903162200e-07,4.6994988027e-07,1.1293027361e-04,5.8166059185e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0546736521e+03,2.2096150646e+03,1.9617858083e+00,nan,4.0732047671e-01,4.3803621101e-01,3.8890630141e-04,nan,6.4340193130e-02,1.9129076858e-02,1.1959600589e-01,4.1920690912e+00,6.2916426521e+00,9.9382556608e-01,1.3855562304e-01,1.5579163105e-01,-3.4898519344e-01,5.4524380553e-01,3.2013087258e-01,492617,53,43,41,1.1293027361e-04,4.9361832394e-01,4.9990643925e-01,2.2373298013e-02,-3.7772597070e+00,-2.3915460948e+03,1.2517581487e-02,-2.3915335772e+03,1.5254214834e-04,447024,48,48,48,-1.7552056982e-03,9.9913275761e-01,6.3145834743e-01,3.0546076984e-02,-3.4574966826e+00,-1.0268809629e+00,-1.2237126439e-01,-1.1492522273e+00,1.2822816595e-04,2.2521105973e-02,3.0674305150e-02,-4.1861771369e-05,3.2647159109e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
10,1.0000000000e-03,1.0000000000e-04,-8.4477067980e-02,1.2529721927e-01,1.1650823212e+00,2.4278444703e-01,-2.0140236839e-01,2.0140236839e-01,1.0825681288e+00,3.1904196153e-01,1.1692530041e-01,1.1728693090e-01,1.9245002751e-01,1.2695409232e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0239225862e-05,3.0019019141e-05,2.7913331760e-04,5.8166901110e-05,2.0239225862e-05,2.4557915816e-05,1.6446024516e-03,4.7659270006e-05,-9.2646917385e+00,9.2646962794e+00,2.4028250700e+03,1.2308691116e+02,-9.2658019136e+00,9.2658019136e+00,2.4028620401e+03,1.2309188747e+02,1.1101751816e-03,2.9021523571e-03,3.7754510422e-01,2.7217753827e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.4002710607e-07,4.4002732175e-07,1.1412232504e-04,5.8460204441e-06,4.5685513885e-07,4.6729883718e-07,1.1339229263e-04,5.8420896452e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,2.0623650590e+03,2.2195942926e+03,1.9617825423e+00,nan,4.0884522859e-01,4.4001450276e-01,3.8890565394e-04,nan,6.8948147634e-02,1.9028440388e-02,1.2258034260e-01,4.1920690912e+00,5.8918170921e+00,9.9360307103e-01,1.8451049864e-01,2.0599242819e-01,-3.5586485906e-01,5.4491379516e-01,3.1929352278e-01,493577,53,53,41,1.1339229263e-04,4.9373125421e-01,4.9979077855e-01,2.2525840162e-02,-3.7703087547e+00,-2.4014451574e+03,1.2296140380e-02,-2.4014328612e+03,2.2699964970e-04,447024,48,48,48,-1.6446024516e-03,9.9913088651e-01,6.2970314173e-01,3.0674305150e-02,-3.4531753315e+00,-1.0327573893e+00,-1.2097520722e-01,-1.1537325965e+00,1.2547231612e-04,2.2745556503e-02,3.0799777466e-02,-4.6469594125e-05,3.2704295172e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
