step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_total,dxB,deta,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
1,1.0000000000e-04,1.0000000000e-04,382027,41,43,43,-2.4204544344e+03,4.9278579551e-01,5.0083542637e-01,2.3026788180e-02,-3.7478009912e+00,4.8647524378e-01,1.8742194101e+00,-2.4204544344e+03,1.4149935276e-02,-2.4204402844e+03,-1.1026832396e-04,3.9339177478e-05,-1.0348277482e+00,-1.0356631723e+00,-8.3542403916e-04,interface,1,0,1,437711,47,47,47,9.9998703613e-01
2,2.0000000000e-04,1.0000000000e-04,382027,41,43,43,-2.4152362014e+03,4.9282513469e-01,5.0068936781e-01,2.2916519856e-02,-3.7527140522e+00,4.8654897419e-01,1.8742278991e+00,-2.4152362014e+03,1.4072807313e-02,-2.4152221286e+03,-1.5915330068e-04,1.1460514007e-04,-1.0321450845e+00,-1.0328344510e+00,-6.8936650202e-04,interface,1,0,1,428495,46,47,47,1.0000000000e+00
3,3.0000000000e-04,1.0000000000e-04,401611,43,55,43,-2.4072606552e+03,4.9293973983e-01,5.0058549452e-01,2.2757366556e-02,-3.7598460690e+00,4.8676377175e-01,1.8742523654e+00,-2.4072606552e+03,1.3848110755e-02,-2.4072468070e+03,-1.6712047581e-04,1.1405587749e-04,-1.0282415106e+00,-1.0288270043e+00,-5.8549371987e-04,interface,1,0,1,428495,46,47,47,1.0000000000e+00
4,4.0000000000e-04,1.0000000000e-04,382615,41,49,55,-2.3987992001e+03,4.9295972180e-01,5.0048305645e-01,2.2591894608e-02,-3.7673130813e+00,4.8680122305e-01,1.8742565909e+00,-2.3987992001e+03,1.3808933352e-02,-2.3987853912e+03,-1.4669841403e-04,1.1251529162e-04,-1.0241446021e+00,-1.0246276581e+00,-4.8305599682e-04,interface,1,0,1,428495,46,47,47,1.0000000000e+00
5,5.0000000000e-04,1.0000000000e-04,530253,57,51,45,-2.3914778073e+03,4.9310689643e-01,5.0039724695e-01,2.2449087504e-02,-3.7738004072e+00,4.8707706834e-01,1.8742873446e+00,-2.3914778073e+03,1.3520373199e-02,-2.3914642869e+03,-1.0695818112e-04,1.1023552297e-04,-1.0205770170e+00,-1.0209742637e+00,-3.9724670331e-04,interface,1,0,1,428495,46,47,47,1.0000000000e+00
6,6.0000000000e-04,1.0000000000e-04,474969,51,51,57,-2.3863885156e+03,4.9321713196e-01,5.0027420985e-01,2.2342129323e-02,-3.7786856799e+00,4.8728368264e-01,1.8743099540e+00,-2.3863885156e+03,1.3304233652e-02,-2.3863752114e+03,-5.3875070727e-05,1.0988339630e-04,-1.0178857548e+00,-1.0181599646e+00,-2.7420977071e-04,interface,1,0,1,428495,46,47,47,1.0000000000e+00
7,7.0000000000e-04,1.0000000000e-04,447984,48,58,48,-2.3844379438e+03,4.8130662569e-01,4.9933172610e-01,2.2263885090e-02,-3.7822739495e+00,4.6498257075e-01,1.8697620296e+00,-2.3844379438e+03,3.6621544762e-02,-2.3844013223e+03,1.5397483815e-05,1.0889130401e-04,-1.0159028166e+00,-1.0152345439e+00,6.6827271065e-04,interface,1,0,1,428495,46,47,47,1.0000000000e+00
8,8.0000000000e-04,1.0000000000e-04,539184,58,48,48,-2.3864755040e+03,4.8141551699e-01,4.9921087001e-01,2.2279282573e-02,-3.7815668502e+00,4.6518617488e-01,1.8698228336e+00,-2.3864755040e+03,3.6408811550e-02,-2.3864390952e+03,8.4561044524e-05,1.0885495088e-04,-1.0162917222e+00,-1.0155025942e+00,7.8912802721e-04,interface,1,0,1,428495,46,47,47,1.0000000000e+00
9,9.0000000000e-04,1.0000000000e-04,539184,58,48,48,-2.3925351640e+03,4.8152437194e-01,4.9909219691e-01,2.2363843618e-02,-3.7776920420e+00,4.6538971765e-01,1.8698832631e+00,-2.3925351640e+03,3.6196138989e-02,-2.3924989679e+03,1.5726235472e-04,1.0904059220e-04,-1.0184275186e+00,-1.0175197185e+00,9.0780009443e-04,interface,1,0,1,437711,47,47,47,1.0000000000e+00
10,1.0000000000e-03,1.0000000000e-04,447798,48,56,54,-2.4028620401e+03,4.8112822558e-01,4.9897280137e-01,2.2528792520e-02,-3.7701746775e+00,4.6464901393e-01,1.8696616471e+00,-2.4028620401e+03,3.6970049815e-02,-2.4028250700e+03,2.3333472233e-04,1.1256187841e-04,-1.0225648433e+00,-1.0215376490e+00,1.0271942974e-03,interface,1,0,1,437711,47,47,47,1.0000000000e+00
11,1.1000000000e-03,1.0000000000e-04,521328,56,54,48,-2.4173324653e+03,4.8124078746e-01,4.9885888660e-01,2.2762127242e-02,-3.7596320261e+00,4.6485947013e-01,1.8697250943e+00,-2.4173324653e+03,3.6750163187e-02,-2.4172957151e+03,3.0676587569e-04,1.1329035338e-04,-1.0283509359e+00,-1.0272098284e+00,1.1411074606e-03,interface,1,0,1,437711,47,47,47,1.0000000000e+00
12,1.2000000000e-03,1.0000000000e-04,391720,42,48,40,-2.4357294366e+03,4.8135407781e-01,4.9874662832e-01,2.3068893118e-02,-3.7459310428e+00,4.6507129555e-01,1.8697885700e+00,-2.4357294366e+03,3.6528842203e-02,-2.4356929078e+03,3.7822733824e-04,1.1419058467e-04,-1.0358411125e+00,-1.0345877486e+00,1.2533638063e-03,interface,1,0,1,437711,47,47,47,1.0000000000e+00
13,1.3000000000e-03,1.0000000000e-04,391720,42,48,40,-2.4577300016e+03,4.8146826839e-01,4.9863636626e-01,2.3447120456e-02,-3.7292812087e+00,4.6528481143e-01,1.8698521621e+00,-2.4577300016e+03,3.6305751149e-02,-2.4576936959e+03,4.4620804211e-04,1.1524992751e-04,-1.0448979582e+00,-1.0435343346e+00,1.3636235969e-03,interface,1,0,1,437711,47,47,47,1.0000000000e+00
