step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,mu_PbTe_raw,mu_Ag2Te_raw,gp_mu_reference_raw,drive_raw_formula_value,dgbulk_deta_raw_formula_value,energy_scale,mu_PbTe_dimless,mu_Ag2Te_dimless,gp_mu_reference_dimless,drive_dimless_formula_value,dgbulk_deta_dimless_formula_value,dgbulk_deta_kernel_used,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_elastic,eta_rhs_total,dxB,deta,eta_rhs_bulk_absmax,eta_rhs_double_well_absmax,eta_rhs_elastic_absmax,eta_rhs_total_absmax,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,phi_rhs_elastic_at_loc,phi_chem_rhs_absmax,phi_double_well_absmax,phi_elastic_absmax,phi_rhs_total_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax,gp_W_eta_kernel_used,gp_kappa_eta_kernel_used,gp_L_eta,S_eta_W,S_eta_grad,S_eta_total,W_phi,kappa_phi,L_phi,S_phi_W,S_phi_grad,S_phi_total,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
1,1.0000000000e-04,1.0000000000e-04,382027,41,43,43,-1.7566225550e-01,4.9278579551e-01,5.0083542637e-01,2.3026788180e-02,-3.7478009912e+00,4.8647524378e-01,1.8742194101e+00,-1.5278187947e+05,-1.4751835262e+05,-1.5352923284e+05,2.5895877703e+03,-2.4191252742e+03,1.3779024000e+04,-1.1088004453e+01,-1.0706008831e+01,-1.1142242937e+01,1.8793695187e-01,-1.7556579292e-01,-1.7566225550e-01,-1.7566225550e-01,1.4149935276e-02,0.0000000000e+00,-1.6151232022e-01,-1.0983932863e-04,-7.4904579743e-05,1.7566225550e-01,3.7754949360e-01,0.0000000000e+00,4.6235487880e-01,-1.0348277482e+00,-1.0356631723e+00,-8.3542403916e-04,0.0000000000e+00,1.0873940040e+00,1.9245007717e-01,0.0000000000e+00,1.1595745640e+00,1.6154425613e-01,3.2024688372e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,437711,47,47,47,9.9998997956e-01
2,2.0000000000e-04,1.0000000000e-04,401417,43,53,41,-1.7528297689e-01,4.9271089093e-01,5.0068936781e-01,2.2916948852e-02,-3.7526948934e+00,4.8633485677e-01,1.8742031180e+00,-1.5278141744e+05,-1.4753800365e+05,-1.5352923284e+05,2.5830102333e+03,-2.4142855081e+03,1.3779024000e+04,-1.1087970921e+01,-1.0707434986e+01,-1.1142242937e+01,1.8745959317e-01,-1.7521455134e-01,-1.7528297689e-01,-1.7528297689e-01,1.4296790923e-02,0.0000000000e+00,-1.6098618597e-01,-1.5845799068e-04,5.9506671041e-07,1.7528297689e-01,3.7754883986e-01,0.0000000000e+00,4.6222051596e-01,-1.0321555614e+00,-1.0328449279e+00,-6.8936650202e-04,0.0000000000e+00,1.0875432937e+00,1.9245007975e-01,0.0000000000e+00,1.1600987727e+00,1.6117333250e-01,3.1951156116e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,428495,46,47,47,1.0000000000e+00
3,3.0000000000e-04,1.0000000000e-04,492437,53,41,53,-1.7470477429e-01,4.9271148600e-01,5.0058549687e-01,2.2758490861e-02,-3.7597955157e+00,4.8633597204e-01,1.8742032481e+00,-1.5278074976e+05,-1.4756657176e+05,-1.5352923284e+05,2.5734453833e+03,-2.4062849563e+03,1.3779024000e+04,-1.1087922465e+01,-1.0709508290e+01,-1.1142242937e+01,1.8676543297e-01,-1.7463391865e-01,-1.7470477429e-01,-1.7470477429e-01,1.4295624261e-02,0.0000000000e+00,-1.6040915002e-01,-1.6625120017e-04,4.1662249317e-07,1.7470477429e-01,3.7754887572e-01,0.0000000000e+00,4.6195129878e-01,-1.0282692197e+00,-1.0288547158e+00,-5.8549606587e-04,0.0000000000e+00,1.0874095970e+00,1.9245008790e-01,0.0000000000e+00,1.1607003496e+00,1.6066142397e-01,3.1849674877e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,428495,46,47,47,1.0000000000e+00
4,4.0000000000e-04,1.0000000000e-04,510865,55,41,49,-1.7409207180e-01,4.9262056828e-01,5.0048306489e-01,2.2593877905e-02,-3.7672232681e+00,4.8616557467e-01,1.8741832488e+00,-1.5278005474e+05,-1.4759652683e+05,-1.5352923284e+05,2.5634128735e+03,-2.3978012526e+03,1.3779024000e+04,-1.1087872025e+01,-1.0711682252e+01,-1.1142242937e+01,1.8603733280e-01,-1.7401822166e-01,-1.7409207180e-01,-1.7409207180e-01,1.4473872211e-02,0.0000000000e+00,-1.5961819959e-01,-1.4571469062e-04,1.3902268597e-07,1.7409207180e-01,3.7754888870e-01,0.0000000000e+00,4.6160513091e-01,-1.0241939494e+00,-1.0246770139e+00,-4.8306443962e-04,0.0000000000e+00,1.0869395950e+00,1.9245008961e-01,0.0000000000e+00,1.1613596282e+00,1.6016720028e-01,3.1751699498e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,428495,46,47,47,1.0000000000e+00
5,5.0000000000e-04,1.0000000000e-04,474951,51,51,39,-1.7356280935e-01,4.9266356858e-01,5.0039726604e-01,2.2452015654e-02,-3.7736669852e+00,4.8624616531e-01,1.8741927385e+00,-1.5277945462e+05,-1.4762257172e+05,-1.5352923284e+05,2.5546872403e+03,-2.3904217008e+03,1.3779024000e+04,-1.1087828471e+01,-1.0713572436e+01,-1.1142242937e+01,1.8540407799e-01,-1.7348265746e-01,-1.7356280935e-01,-1.7356280935e-01,1.4389568705e-02,0.0000000000e+00,-1.5917324064e-01,-1.0590039955e-04,1.4017207151e-07,1.7356280935e-01,3.7754889457e-01,0.0000000000e+00,4.6123445421e-01,-1.0206504775e+00,-1.0210477433e+00,-3.9726578880e-04,0.0000000000e+00,1.0861363796e+00,1.9245008599e-01,0.0000000000e+00,1.1619794572e+00,1.5979835738e-01,3.1678579729e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,428495,46,47,47,1.0000000000e+00
6,6.0000000000e-04,1.0000000000e-04,474375,51,45,39,-1.7319593175e-01,4.9266370875e-01,5.0027424502e-01,2.2346115254e-02,-3.7785032145e+00,4.8624642802e-01,1.8741927694e+00,-1.5277900593e+05,-1.4764215469e+05,-1.5352923284e+05,2.5481248504e+03,-2.3853828874e+03,1.3779024000e+04,-1.1087795908e+01,-1.0714993652e+01,-1.1142242937e+01,1.8492781857e-01,-1.7311697021e-01,-1.7319593175e-01,-1.7319593175e-01,1.4389293892e-02,0.0000000000e+00,-1.5880663786e-01,-5.2751771932e-05,3.4192426668e-11,1.7319593175e-01,3.7754889770e-01,0.0000000000e+00,4.6088543217e-01,-1.0179863742e+00,-1.0182606191e+00,-2.7424493588e-04,0.0000000000e+00,1.0853205851e+00,1.9245007032e-01,0.0000000000e+00,1.1626823100e+00,1.5958043562e-01,3.1635378711e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,428495,46,47,47,1.0000000000e+00
7,7.0000000000e-04,1.0000000000e-04,529677,57,45,45,-1.7305073928e-01,4.9266370878e-01,5.0015273894e-01,2.2293363482e-02,-3.7809206299e+00,4.8624642808e-01,1.8741927694e+00,-1.5277878220e+05,-1.4765195467e+05,-1.5352923284e+05,2.5448402794e+03,-2.3833947037e+03,1.3779024000e+04,-1.1087779671e+01,-1.0715704876e+01,-1.1142242937e+01,1.8468944385e-01,-1.7297267961e-01,-1.7305073928e-01,-1.7305073928e-01,1.4389293825e-02,0.0000000000e+00,-1.5866144546e-01,9.8493205417e-06,-3.5266178033e-08,1.7305073928e-01,3.7754889963e-01,0.0000000000e+00,4.6059735329e-01,-1.0166532509e+00,-1.0168059898e+00,-1.5273892767e-04,0.0000000000e+00,1.0842629816e+00,1.9245004284e-01,0.0000000000e+00,1.1633409248e+00,1.5960218345e-01,3.1639690019e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,428495,46,47,47,1.0000000000e+00
8,8.0000000000e-04,1.0000000000e-04,447984,48,58,48,-1.7318264616e-01,4.8065175908e-01,4.9921095475e-01,2.2285557190e-02,-3.7812788376e+00,4.6375824751e-01,1.8693888878e+00,-1.5277874908e+05,-1.4765340745e+05,-1.5352923284e+05,2.5443533336e+03,-2.3852297944e+03,1.3779024000e+04,-1.1087777268e+01,-1.0715810311e+01,-1.1142242937e+01,1.8465410421e-01,-1.7310585963e-01,-1.7318264616e-01,-1.7318264616e-01,3.7900688919e-02,0.0000000000e+00,-1.3528195724e-01,8.5790802976e-05,3.2168100361e-07,1.7318264616e-01,3.7754890107e-01,0.0000000000e+00,4.6040246447e-01,-1.0164506886e+00,-1.0156616453e+00,7.8904328049e-04,0.0000000000e+00,1.0831492986e+00,1.9245000382e-01,0.0000000000e+00,1.1639404949e+00,1.5988806565e-01,3.1696363582e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,428495,46,47,47,1.0000000000e+00
9,9.0000000000e-04,1.0000000000e-04,447984,48,58,48,-1.7362177316e-01,4.8065208077e-01,4.9909231571e-01,2.2371347993e-02,-3.7773488638e+00,4.6375884886e-01,1.8693890743e+00,-1.5277911289e+05,-1.4763747772e+05,-1.5352923284e+05,2.5496922644e+03,-2.3912953313e+03,1.3779024000e+04,-1.1087803671e+01,-1.0714654225e+01,-1.1142242937e+01,1.8504157221e-01,-1.7354606039e-01,-1.7362177316e-01,-1.7362177316e-01,3.7900060677e-02,0.0000000000e+00,-1.3572171249e-01,1.5853985334e-04,2.4624588518e-07,1.7362177316e-01,3.7754890229e-01,0.0000000000e+00,4.6032603284e-01,-1.0186166982e+00,-1.0177090169e+00,9.0768130295e-04,0.0000000000e+00,1.0828149947e+00,1.9244998448e-01,0.0000000000e+00,1.1644376763e+00,1.6034297088e-01,3.1786544432e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,428495,46,47,47,1.0000000000e+00
10,1.0000000000e-03,1.0000000000e-04,446456,48,42,56,-1.7436759352e-01,4.8011535044e-01,4.9897296127e-01,2.2537644553e-02,-3.7697727777e+00,4.6275557530e-01,1.8690737009e+00,-1.5277981698e+05,-1.4760682525e+05,-1.5352923284e+05,2.5599629686e+03,-2.4015937040e+03,1.3779024000e+04,-1.1087854770e+01,-1.0712429650e+01,-1.1142242937e+01,1.8578695912e-01,-1.7429345532e-01,-1.7436759352e-01,-1.7436759352e-01,3.8948159901e-02,0.0000000000e+00,-1.3541943362e-01,2.3464806507e-04,-2.7934161978e-07,1.7436759352e-01,3.7754890338e-01,0.0000000000e+00,4.6038653840e-01,-1.0227858588e+00,-1.0217588244e+00,1.0270343960e-03,0.0000000000e+00,1.0826092726e+00,1.9245002751e-01,0.0000000000e+00,1.1651100874e+00,1.6106234995e-01,3.1929154829e-05,1.9618076577e+00,2.0317839881e-01,4.7495061735e-04,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,428495,46,47,47,1.0000000000e+00
