step,time_code,dt,phi_rhs_total_explicit_signed_mean,phi_rhs_total_explicit_abs_mean,phi_rhs_total_explicit_abs_max,phi_rhs_total_explicit_rms,phi_rhs_chem_signed_mean,phi_rhs_chem_abs_mean,phi_rhs_chem_abs_max,phi_rhs_chem_rms,phi_rhs_double_well_signed_mean,phi_rhs_double_well_abs_mean,phi_rhs_double_well_abs_max,phi_rhs_double_well_rms,phi_rhs_elastic_signed_mean,phi_rhs_elastic_abs_mean,phi_rhs_elastic_abs_max,phi_rhs_elastic_rms,phi_update_explicit_est_signed_mean,phi_update_explicit_est_abs_mean,phi_update_explicit_est_abs_max,phi_update_explicit_est_rms,dphi_actual_signed_mean,dphi_actual_abs_mean,dphi_actual_abs_max,dphi_actual_rms,eta_rhs_total_explicit_signed_mean,eta_rhs_total_explicit_abs_mean,eta_rhs_total_explicit_abs_max,eta_rhs_total_explicit_rms,eta_rhs_bulk_signed_mean,eta_rhs_bulk_abs_mean,eta_rhs_bulk_abs_max,eta_rhs_bulk_rms,eta_rhs_double_well_signed_mean,eta_rhs_double_well_abs_mean,eta_rhs_double_well_abs_max,eta_rhs_double_well_rms,eta_rhs_elastic_signed_mean,eta_rhs_elastic_abs_mean,eta_rhs_elastic_abs_max,eta_rhs_elastic_rms,eta_update_explicit_est_signed_mean,eta_update_explicit_est_abs_mean,eta_update_explicit_est_abs_max,eta_update_explicit_est_rms,deta_actual_signed_mean,deta_actual_abs_mean,deta_actual_abs_max,deta_actual_rms,phi_grad_denom_min,phi_grad_denom_max,phi_grad_denom_mean,phi_grad_denom_at_kmax,eta_grad_denom_min,eta_grad_denom_max,eta_grad_denom_mean,eta_grad_denom_at_kmax,eta_rhs_total_absmax_over_phi_rhs_total_absmax,eta_rhs_bulk_absmax_over_phi_chem_absmax,eta_rhs_dw_absmax_over_phi_dw_absmax,eta_rhs_elastic_absmax_over_phi_elastic_absmax,eta_Ldt_rhs_absmax_over_phi_Ldt_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax,eta_Ldt_dw_absmax_over_phi_Ldt_dw_absmax,eta_Ldt_elastic_absmax_over_phi_Ldt_elastic_absmax,deta_absmax_over_dphi_absmax,deta_absmean_over_dphi_absmean,deta_rms_over_dphi_rms,phi_damping_stronger_than_eta,phi_actual_over_explicit_est_absmax,eta_actual_over_explicit_est_absmax,corr_abs_deta_abs_dxB,corr_abs_deta_abs_dY,corr_abs_deta_local_xB,corr_abs_deta_eta_before,corr_abs_deta_phi_before,max_abs_deta_idx,max_abs_deta_i,max_abs_deta_j,max_abs_deta_k,max_abs_deta_value,max_abs_deta_eta_before,max_abs_deta_phi_before,max_abs_deta_xB_before,max_abs_deta_Y_before,max_abs_deta_eta_rhs_bulk,max_abs_deta_eta_rhs_dw,max_abs_deta_eta_rhs_total,max_abs_deta_dxB,max_abs_dphi_idx,max_abs_dphi_i,max_abs_dphi_j,max_abs_dphi_k,max_abs_dphi_value,max_abs_dphi_eta_before,max_abs_dphi_phi_before,max_abs_dphi_xB_before,max_abs_dphi_Y_before,max_abs_dphi_phi_rhs_chem,max_abs_dphi_phi_rhs_dw,max_abs_dphi_phi_rhs_total,max_abs_dphi_dxB,xB_min_after,xB_max_after,xBtot_rel_delta,eta_far_field_max,xB_clip_low_count,xB_clip_high_count,nan_inf_flag,S_phi_W,S_phi_grad,S_phi_total,S_eta_W,S_eta_grad,S_eta_total,gp_L_eta,L_phi
1,1.0000000000e-04,1.0000000000e-04,-8.2418518091e-02,1.2314003217e-01,1.1595745640e+00,2.3526897221e-01,-1.9916929124e-01,1.9916929124e-01,1.0873940040e+00,3.1256830626e-01,1.1675077315e-01,1.1713389072e-01,1.9245007717e-01,1.2685701286e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9746033365e-05,2.9502194895e-05,2.7781375545e-04,5.6366324977e-05,1.9746033365e-05,6.3825695833e-05,1.0863349643e-02,1.4531074500e-04,4.3636852668e-04,2.8429013090e-03,4.6235487880e-01,2.7176635459e-02,-6.6941731419e-04,6.6941731419e-04,1.7566225550e-01,8.9407074242e-03,1.1057858409e-03,2.8959271828e-03,3.7754949360e-01,2.7228285365e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.0725350114e-11,1.3502377318e-10,2.1959573512e-08,1.2907559789e-09,9.6700918679e-07,4.6587519520e-06,1.3236165333e-03,3.8988305591e-05,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9872802763e-01,1.6154425613e-01,1.9618048439e+00,nan,7.9044226863e-05,3.2024688372e-05,3.8891007503e-04,nan,1.2184239455e-01,7.2991792588e-02,2.6830985961e-01,4.1920690912e+00,3.9102994109e+01,6.0275147539e+04,3.8040219684e-01,3.7690546472e-01,-3.3550782148e-01,6.1743633652e-01,4.0052366533e-01,474960,51,51,48,-1.3236165333e-03,9.9659254003e-01,5.9479506211e-01,2.8432350797e-02,-3.5313832907e+00,-2.3568046793e-05,-1.3233203847e-02,-1.3256771894e-02,1.3253632334e-05,447024,48,48,48,-1.0863349643e-02,9.9995087118e-01,6.6075636877e-01,2.9675461610e-02,-3.4873100953e+00,-9.4097373541e-01,-1.4413891213e-01,-1.0851126475e+00,1.5429337764e-06,2.0903588893e-02,2.9999996156e-02,7.5039507494e-05,2.5284987311e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
2,2.0000000000e-04,1.0000000000e-04,-8.2494071222e-02,1.2321816502e-01,1.1600987727e+00,2.3549395126e-01,-1.9926467899e-01,1.9926467899e-01,1.0875432937e+00,3.1277629353e-01,1.1677060777e-01,1.1715133341e-01,1.9245007975e-01,1.2686765611e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9764134571e-05,2.9520914158e-05,2.7793934668e-04,5.6420226019e-05,1.9764134571e-05,3.1904824927e-05,3.7677623069e-03,6.6284703595e-05,4.4080452562e-04,2.8452609025e-03,4.6222051596e-01,2.7159421638e-02,-6.6877703937e-04,6.6877703937e-04,1.7528297689e-01,8.9300233152e-03,1.1095815650e-03,2.8986136568e-03,3.7754883986e-01,2.7217136444e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.0936038158e-11,1.3513584222e-10,2.1953191941e-08,1.2899384074e-09,3.6015266474e-07,6.5000001065e-07,1.5082624272e-04,4.1984155271e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9843203598e-01,1.6117333250e-01,1.9618014207e+00,nan,7.8985549196e-05,3.1951156116e-05,3.8890939641e-04,nan,4.0030721270e-02,2.0373094418e-02,6.3339131041e-02,4.1920690912e+00,1.3556059449e+01,6.8703559430e+03,2.6317701597e-01,2.5800217207e-01,-2.7591514294e-01,2.7001630385e-01,3.0353127430e-01,447024,48,48,48,-1.5082624272e-04,9.9944316415e-01,6.4989301912e-01,2.9677004544e-02,-3.4872565129e+00,-4.7513789097e-07,-2.1811612884e-03,-2.1816364263e-03,8.9968247940e-05,447024,48,48,48,-3.7677623069e-03,9.9944316415e-01,6.4989301912e-01,2.9677004544e-02,-3.4872565129e+00,-9.6954165296e-01,-1.3642188336e-01,-1.1059635363e+00,8.9968247940e-05,2.1086408469e-02,2.9999991413e-02,5.2290900057e-05,2.8190003775e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
3,3.0000000000e-04,1.0000000000e-04,-8.2614248953e-02,1.2334195131e-01,1.1607003496e+00,2.3589514835e-01,-1.9940451516e-01,1.9940451516e-01,1.0874095970e+00,3.1313182303e-01,1.1679026620e-01,1.1716860131e-01,1.9245008790e-01,1.2687843823e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9792927051e-05,2.9550571184e-05,2.7808347396e-04,5.6516345813e-05,1.9792927051e-05,2.8574395469e-05,3.2114121059e-03,6.1321907307e-05,4.4335296853e-04,2.8456682238e-03,4.6195129878e-01,2.7147323735e-02,-6.6764344246e-04,6.6764344246e-04,1.7470477429e-01,8.9085716306e-03,1.1109964110e-03,2.8999944409e-03,3.7754887572e-01,2.7216686825e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1057076611e-11,1.3515518797e-10,2.1940405454e-08,1.2893638168e-09,1.9331470443e-07,3.1277199290e-07,8.7994697921e-05,2.0714839209e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9799358976e-01,1.6066142397e-01,1.9618015239e+00,nan,7.8898631196e-05,3.1849674877e-05,3.8890941688e-04,nan,2.7400624716e-02,1.0945883116e-02,3.3780487461e-02,4.1920690912e+00,1.1548374523e+01,4.0106231448e+03,2.2113928140e-01,2.1626640330e-01,-2.3974936062e-01,2.1387512979e-01,2.6454341888e-01,447024,48,48,48,-8.7994697921e-05,9.9929233791e-01,6.4612525682e-01,2.9766972792e-02,-3.4841367936e+00,-7.8424461927e-07,-2.7707019408e-03,-2.7714861855e-03,1.1228511938e-04,447024,48,48,48,-3.2114121059e-03,9.9929233791e-01,6.4612525682e-01,2.9766972792e-02,-3.4841367936e+00,-9.8035640164e-01,-1.3364464563e-01,-1.1140010473e+00,1.1228511938e-04,2.1328369693e-02,2.9999982428e-02,3.1409851885e-05,3.0090314549e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
4,4.0000000000e-04,1.0000000000e-04,-8.2776496561e-02,1.2350991203e-01,1.1613596282e+00,2.3646477063e-01,-1.9958633462e-01,1.9958633462e-01,1.0869395950e+00,3.1362817147e-01,1.1680983806e-01,1.1718578267e-01,1.9245008961e-01,1.2688925647e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9831798736e-05,2.9590811633e-05,2.7824142557e-04,5.6652817335e-05,1.9831798736e-05,2.6158544136e-05,2.7987916506e-03,5.7687690145e-05,4.4528360418e-04,2.8451485940e-03,4.6160513091e-01,2.7132082579e-02,-6.6647233525e-04,6.6647233525e-04,1.7409207180e-01,8.8857383909e-03,1.1117559394e-03,2.9007504126e-03,3.7754888870e-01,2.7216510932e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1148772270e-11,1.3513050812e-10,2.1923964190e-08,1.2886399371e-09,1.1502912446e-07,1.7769568324e-07,5.0064523230e-05,1.1245447938e-06,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9746958625e-01,1.6016720028e-01,1.9618015739e+00,nan,7.8794752236e-05,3.1751699498e-05,3.8890942680e-04,nan,1.7887906454e-02,6.7930264896e-03,1.9493669983e-02,4.1920690912e+00,1.0058860376e+01,2.2835524998e+03,2.1320229596e-01,2.0844714803e-01,-2.3403111148e-01,2.1060148020e-01,2.6214316309e-01,447024,48,48,48,-5.0064523230e-05,9.9920434321e-01,6.4291384471e-01,2.9879257911e-02,-3.4802560158e+00,-1.0107020783e-06,-3.1144033614e-03,-3.1154140634e-03,1.2674730687e-04,447024,48,48,48,-2.7987916506e-03,9.9920434321e-01,6.4291384471e-01,2.9879257911e-02,-3.4802560158e+00,-9.8994294035e-01,-1.3123814545e-01,-1.1211810858e+00,1.2674730687e-04,2.1601737665e-02,3.0006005218e-02,1.2891322946e-05,3.1203426454e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
5,5.0000000000e-04,1.0000000000e-04,-8.2978268212e-02,1.2371965132e-01,1.1619794572e+00,2.3719338601e-01,-1.9980759073e-01,1.9980759073e-01,1.0861363796e+00,3.1425747929e-01,1.1682932252e-01,1.1720287546e-01,1.9245008599e-01,1.2690009228e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9880139690e-05,2.9641061491e-05,2.7838992575e-04,5.6827380817e-05,1.9880139690e-05,2.5363577270e-05,2.4848405534e-03,5.4953635253e-05,4.4662121919e-04,2.8441317290e-03,4.6123445421e-01,2.7115009519e-02,-6.6558679116e-04,6.6558679116e-04,1.7356280935e-01,8.8666817874e-03,1.1122080104e-03,2.9012064425e-03,3.7754889457e-01,2.7216421534e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1212302378e-11,1.3508221205e-10,2.1906358877e-08,1.2878290510e-09,7.2700091836e-08,1.0915797400e-07,2.9979783056e-05,6.3977797642e-07,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9693856146e-01,1.5979835738e-01,1.9618016413e+00,nan,7.8689481374e-05,3.1678579729e-05,3.8890944015e-04,nan,1.2065073155e-02,4.3037294320e-03,1.1642141115e-02,4.1920690912e+00,8.9257560117e+00,1.3685424960e+03,2.1644428247e-01,2.1190641006e-01,-2.4033498867e-01,2.2109310453e-01,2.7288982205e-01,447024,48,48,48,-2.9979783056e-05,9.9915427868e-01,6.4011505306e-01,3.0006005218e-02,-3.4758923450e+00,-1.1619088774e-06,-3.3098708185e-03,-3.3110327274e-03,1.3477442591e-04,447024,48,48,48,-2.4848405534e-03,9.9915427868e-01,6.4011505306e-01,3.0006005218e-02,-3.4758923450e+00,-9.9860630851e-01,-1.2911197034e-01,-1.1277182788e+00,1.3477442591e-04,2.1866605697e-02,3.0140779644e-02,-3.1527033995e-06,3.1867588330e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
6,6.0000000000e-04,1.0000000000e-04,-8.3216803760e-02,1.2396857738e-01,1.1626823100e+00,2.3807000393e-01,-2.0006552016e-01,2.0006552016e-01,1.0853205851e+00,3.1501069894e-01,1.1684871640e-01,1.1721987646e-01,1.9245007032e-01,1.2691093052e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9937288629e-05,2.9700699816e-05,2.7855831696e-04,5.7037403118e-05,1.9937288629e-05,2.4896596026e-05,2.2401497013e-03,5.2837749251e-05,4.4725690954e-04,2.8428419124e-03,4.6088543217e-01,2.7097336836e-02,-6.6523695451e-04,6.6523695451e-04,1.7319593175e-01,8.8552713692e-03,1.1124938641e-03,2.9014979374e-03,3.7754889770e-01,2.7216373083e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1242494530e-11,1.3502095213e-10,2.1889782054e-08,1.2869896859e-09,4.8153767872e-08,7.1054955071e-08,1.9099096940e-05,3.7863612501e-07,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9639842131e-01,1.5958043562e-01,1.9618018173e+00,nan,7.8582403472e-05,3.1635378711e-05,3.8890947504e-04,nan,8.5258127744e-03,2.8540028121e-03,7.1660154033e-03,4.1920690912e+00,8.0419415429e+00,8.7251197352e+02,2.2402895557e-01,2.1971056615e-01,-2.5260696465e-01,2.3583083564e-01,2.8969968108e-01,447024,48,48,48,-1.9099096940e-05,9.9912429890e-01,6.3763021251e-01,3.0140779644e-02,-3.4712718670e+00,-1.2656293750e-06,-3.4268930091e-03,-3.4281586384e-03,1.3745392443e-04,447024,48,48,48,-2.2401497013e-03,9.9912429890e-01,6.3763021251e-01,3.0140779644e-02,-3.4712718670e+00,-1.0065334053e+00,-1.2720220506e-01,-1.1337356104e+00,1.3745392443e-04,2.2060949920e-02,3.0278233569e-02,-1.6702844358e-05,3.2253394715e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
7,7.0000000000e-04,1.0000000000e-04,-8.3489193906e-02,1.2425390454e-01,1.1633409248e+00,2.3908222692e-01,-2.0035720935e-01,2.0035720935e-01,1.0842629816e+00,3.1587771743e-01,1.1686801544e-01,1.1723678203e-01,1.9245004284e-01,1.2692175879e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0002548537e-05,2.9769059206e-05,2.7871610953e-04,5.7279914017e-05,2.0002548537e-05,2.4662568735e-05,2.0451491876e-03,5.1154581031e-05,4.4707327914e-04,2.8414248220e-03,4.6059735329e-01,2.7080142026e-02,-6.6561006652e-04,6.6561006652e-04,1.7305073928e-01,8.8543434575e-03,1.1126833457e-03,2.9016926919e-03,3.7754889963e-01,2.7216346240e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1233772993e-11,1.3495364734e-10,2.1876099730e-08,1.2861730173e-09,3.3467957951e-08,4.8803909754e-08,1.3093888807e-05,2.3533447742e-07,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9592637332e-01,1.5960218345e-01,1.9618021075e+00,nan,7.8488824224e-05,3.1639690019e-05,3.8890953257e-04,nan,6.4024125411e-03,1.9788656355e-03,4.6004575286e-03,4.1920690912e+00,7.3377501968e+00,5.9854768303e+02,2.3399886820e-01,2.2985356490e-01,-2.6829707401e-01,2.4879537994e-01,3.0858874011e-01,447024,48,48,48,-1.3093888807e-05,9.9910519980e-01,6.3539006280e-01,3.0278233569e-02,-3.4665801013e+00,-1.3408063428e-06,-3.5014328398e-03,-3.5027736462e-03,1.3616407468e-04,447024,48,48,48,-2.0451491876e-03,9.9910519980e-01,6.3539006280e-01,3.0278233569e-02,-3.4665801013e+00,-1.0138397336e+00,-1.2546300935e-01,-1.1393027429e+00,1.3616407468e-04,2.2201764697e-02,3.0414397643e-02,-2.7813907695e-05,3.2481913581e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
8,8.0000000000e-04,1.0000000000e-04,-8.3792431978e-02,1.2457277845e-01,1.1639404949e+00,2.4021649722e-01,-2.0067964706e-01,2.0067964706e-01,1.0831492986e+00,3.1684754447e-01,1.1688721508e-01,1.1725358885e-01,1.9245000382e-01,1.2693256696e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0075199068e-05,2.9845455810e-05,2.7885975603e-04,5.7551665314e-05,2.0075199068e-05,2.4586078672e-05,1.8865615351e-03,4.9781170246e-05,4.4597775596e-04,2.8399866626e-03,4.6040246447e-01,2.7064357440e-02,-6.6683742006e-04,6.6683742006e-04,1.7318264616e-01,8.8658552647e-03,1.1128151760e-03,2.9018288093e-03,3.7754890107e-01,2.7216331370e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1181741052e-11,1.3488534187e-10,2.1866843473e-08,1.2854233274e-09,2.4398592087e-08,3.5206726227e-08,9.8164902552e-06,1.5619746961e-07,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9555498453e-01,1.5988806565e-01,1.9618025127e+00,nan,7.8415199755e-05,3.1696363582e-05,3.8890961291e-04,nan,5.2033766577e-03,1.4319781002e-03,3.1376817547e-03,4.1920690912e+00,6.7652699765e+00,4.4892122941e+02,2.3940729324e-01,2.3555659350e-01,-2.7979391770e-01,2.5304636679e-01,3.2136718170e-01,447024,48,48,48,-9.8164902552e-06,9.9909210592e-01,6.3334491362e-01,3.0414397643e-02,-3.4619526632e+00,-1.3990315606e-06,-3.5525306306e-03,-3.5539296621e-03,1.3259191131e-04,447024,48,48,48,-1.8865615351e-03,9.9909210592e-01,6.3334491362e-01,3.0414397643e-02,-3.4619526632e+00,-1.0206044981e+00,-1.2386096146e-01,-1.1444654596e+00,1.3259191131e-04,2.2349853535e-02,3.0546989555e-02,-3.6595853338e-05,3.2637348854e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
9,9.0000000000e-04,1.0000000000e-04,-8.4123454482e-02,1.2492224990e-01,1.1644376763e+00,2.4145840180e-01,-2.0102976542e-01,2.0102976542e-01,1.0828149947e+00,3.1790854042e-01,1.1690631093e-01,1.1727030909e-01,1.9244998448e-01,1.2694334686e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0154506262e-05,2.9929183049e-05,2.7897887199e-04,5.7849203898e-05,2.0154506262e-05,2.4567022696e-05,1.7552029227e-03,4.8634734784e-05,4.4391139484e-04,2.8386083757e-03,4.6032603284e-01,2.7050780846e-02,-6.6900001297e-04,6.6900001297e-04,1.7362177316e-01,8.8909970730e-03,1.1129114078e-03,2.9019282990e-03,3.7754890229e-01,2.7216323214e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1083599103e-11,1.3481988005e-10,2.1863213348e-08,1.2847785063e-09,1.8364299335e-08,2.6273788870e-08,8.0478481168e-06,1.0971437066e-07,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9532045569e-01,1.6034297088e-01,1.9618027162e+00,nan,7.8368706533e-05,3.1786544432e-05,3.8890965324e-04,nan,4.5851382840e-03,1.0694738713e-03,2.2558850408e-03,4.1920690912e+00,6.2915263444e+00,3.6809996723e+02,2.4528965078e-01,2.4197783153e-01,-2.8793501708e-01,2.5127317151e-01,3.2832021354e-01,447024,48,48,48,-8.0478481168e-06,9.9908228943e-01,6.3145835208e-01,3.0546989555e-02,-3.4574658665e+00,-1.4474456641e-06,-3.5908360090e-03,-3.5922834546e-03,1.2856852152e-04,447024,48,48,48,-1.7552029227e-03,9.9908228943e-01,6.3145835208e-01,3.0546989555e-02,-3.4574658665e+00,-1.0268939434e+00,-1.2237126808e-01,-1.1492652114e+00,1.2856852152e-04,2.2529887847e-02,3.0675558076e-02,-4.3194978069e-05,3.2744548078e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
10,1.0000000000e-03,1.0000000000e-04,-8.4479172500e-02,1.2529932379e-01,1.1651100874e+00,2.4279299935e-01,-2.0140447157e-01,2.0140447157e-01,1.0826092726e+00,3.1904865865e-01,1.1692529907e-01,1.1728693037e-01,1.9245002751e-01,1.2695409210e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0239730069e-05,3.0019523349e-05,2.7913996990e-04,5.8168950098e-05,2.0239730068e-05,2.4557602206e-05,1.6445984915e-03,4.7658413016e-05,4.4085041828e-04,2.8373520984e-03,4.6038653840e-01,2.7040082032e-02,-6.7213353829e-04,6.7213353829e-04,1.7436759352e-01,8.9302822952e-03,1.1129839566e-03,2.9020032451e-03,3.7754890338e-01,2.7216318862e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.0938217832e-11,1.3476021308e-10,2.1866087064e-08,1.2842703655e-09,1.4128170924e-08,2.0082732200e-08,6.8628416227e-06,7.9264953805e-08,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.0000285724e+00,1.0000095586e+00,1.0000285724e+00,3.9514423864e-01,1.6106234995e-01,1.9618022833e+00,nan,7.8333773095e-05,3.1929154829e-05,3.8890956742e-04,nan,4.1729587242e-03,8.1778066244e-04,1.6631891158e-03,4.1920690912e+00,5.8916624949e+00,3.1385778364e+02,2.5496485494e-01,2.5232998705e-01,-2.9866721264e-01,2.5094825333e-01,3.3683938727e-01,447024,48,48,48,-6.8628416227e-06,9.9907424158e-01,6.2970314916e-01,3.0675558076e-02,-3.4531331936e+00,-1.4902836330e-06,-3.6222381983e-03,-3.6237284819e-03,1.2588282976e-04,447024,48,48,48,-1.6445984915e-03,9.9907424158e-01,6.2970314916e-01,3.0675558076e-02,-3.4531331936e+00,-1.0327751699e+00,-1.2097521315e-01,-1.1537503830e+00,1.2588282976e-04,2.2755703679e-02,3.0801440906e-02,-4.7776791315e-05,3.2815816433e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,9.3176175816e-08,2.8572417675e-05,2.8665593851e-05,4.7495061735e-04,2.3958248488e+00
