step,time_code,dt,max_abs_dgbulk_idx,max_abs_dgbulk_i,max_abs_dgbulk_j,max_abs_dgbulk_k,max_abs_dgbulk_value,eta_before,phi_before,xB_before,Y_before,h_eta,hp_eta,mu_PbTe_raw,mu_Ag2Te_raw,gp_mu_reference_raw,drive_raw_formula_value,dgbulk_deta_raw_formula_value,energy_scale,mu_PbTe_dimless,mu_Ag2Te_dimless,gp_mu_reference_dimless,drive_dimless_formula_value,dgbulk_deta_dimless_formula_value,dgbulk_deta_kernel_used,eta_rhs_bulk,eta_rhs_double_well,eta_rhs_elastic,eta_rhs_total,dxB,deta,eta_rhs_bulk_absmax,eta_rhs_double_well_absmax,eta_rhs_elastic_absmax,eta_rhs_total_absmax,phi_rhs_chem_at_loc,phi_rhs_total_at_loc,phi_rhs_dw_at_loc,phi_rhs_elastic_at_loc,phi_chem_rhs_absmax,phi_double_well_absmax,phi_elastic_absmax,phi_rhs_total_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax,gp_W_eta_kernel_used,gp_kappa_eta_kernel_used,gp_L_eta,S_eta_W,S_eta_grad,S_eta_total,W_phi,kappa_phi,L_phi,S_phi_W,S_phi_grad,S_phi_total,region_class,is_eta_interface,is_far_field_like,is_phi_nonzero,eta_peak_idx,eta_peak_i,eta_peak_j,eta_peak_k,eta_peak_value
1,1.0000000000e-04,1.0000000000e-04,382027,41,43,43,-1.7566225550e-01,4.9278579551e-01,5.0083542637e-01,2.3026788180e-02,-3.7478009912e+00,4.8647524378e-01,1.8742194101e+00,-1.5278187947e+05,-1.4751835262e+05,-1.5352923284e+05,2.5895877703e+03,-2.4191252742e+03,1.3779024000e+04,-1.1088004453e+01,-1.0706008831e+01,-1.1142242937e+01,1.8793695187e-01,-1.7556579292e-01,-1.7566225550e-01,-1.7566225550e-01,1.2879826147e-02,0.0000000000e+00,-1.6278242935e-01,4.2125787339e-04,-9.9164705365e-02,1.7566225550e-01,3.4366035917e-01,0.0000000000e+00,4.2941642335e-01,-1.0348277482e+00,-1.0356631723e+00,-8.3542403916e-04,0.0000000000e+00,1.0873940040e+00,1.9245007717e-01,0.0000000000e+00,1.1595745640e+00,1.6154425613e-01,2.0170698582e+02,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,447024,48,48,48,8.9515775998e-01
2,2.0000000000e-04,1.0000000000e-04,400363,43,42,43,-1.7306977852e-01,4.8240100902e-01,5.1196271033e-01,2.4400512036e-02,-3.6884480244e+00,4.6702913598e-01,1.8703570106e+00,-1.5278760380e+05,-1.4728259490e+05,-1.5352923284e+05,2.6683821558e+03,-2.3835116844e+03,1.3779024000e+04,-1.1088419891e+01,-1.0688898931e+01,-1.1142242937e+01,1.9365538196e-01,-1.7298116938e-01,-1.7306977852e-01,-1.7306977852e-01,3.1387835044e-02,0.0000000000e+00,-1.4168194348e-01,8.8399211826e-04,-9.9129025151e-02,1.7306977852e-01,3.4366027987e-01,0.0000000000e+00,4.1928744686e-01,-1.0656934796e+00,-1.0776493422e+00,-1.1955862568e-02,0.0000000000e+00,1.0963157549e+00,1.9245007975e-01,0.0000000000e+00,1.1636122407e+00,1.5786490137e-01,1.9711287907e+02,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,447024,48,48,48,8.2377579437e-01
3,3.0000000000e-04,1.0000000000e-04,501843,54,43,51,-1.6931397683e-01,4.7150815871e-01,5.2687527469e-01,2.6609400472e-02,-3.5995208854e+00,4.4669333117e-01,1.8628429945e+00,-1.5279659803e+05,-1.4693864883e+05,-1.5352923284e+05,2.7829170343e+03,-2.3313368749e+03,1.3779024000e+04,-1.1089072639e+01,-1.0663937361e+01,-1.1142242937e+01,2.0196764548e-01,-1.6919463054e-01,-1.6931397683e-01,-1.6931397683e-01,5.0713079091e-02,0.0000000000e+00,-1.1860089774e-01,1.3159281535e-03,-1.0160467951e-01,1.6931397683e-01,3.4365058716e-01,0.0000000000e+00,4.0789864085e-01,-1.1072914981e+00,-1.1340891269e+00,-2.6797628756e-02,0.0000000000e+00,1.1162579681e+00,1.9245008790e-01,0.0000000000e+00,1.1754711419e+00,1.5167997153e-01,1.8939026741e+02,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,447024,48,48,48,7.3991522899e-01
4,4.0000000000e-04,1.0000000000e-04,455566,49,41,46,-1.6238695170e-01,4.5246705937e-01,5.4339989637e-01,2.9115556390e-02,-3.5069348384e+00,4.1141125542e-01,1.8412624373e+00,-1.5280648886e+05,-1.4659322265e+05,-1.5352923284e+05,2.8973871540e+03,-2.2354782561e+03,1.3779024000e+04,-1.1089790457e+01,-1.0638868374e+01,-1.1142242937e+01,2.1027520919e-01,-1.6223777940e-01,-1.6238695170e-01,-1.6238695170e-01,8.4113144009e-02,0.0000000000e+00,-7.8273807690e-02,1.7963771247e-03,-1.1213072733e-01,1.6238695170e-01,3.4366034771e-01,0.0000000000e+00,3.8996358397e-01,-1.1432975398e+00,-1.1863704525e+00,-4.3072912697e-02,0.0000000000e+00,1.1433696618e+00,1.9245008961e-01,0.0000000000e+00,1.1983805665e+00,1.4202489110e-01,1.7733476498e+02,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,447024,48,48,48,6.3250630700e-01
5,5.0000000000e-04,1.0000000000e-04,410546,44,52,50,-1.4981792120e-01,4.3161942873e-01,5.6497072208e-01,3.1887604585e-02,-3.4131308282e+00,3.7337616284e-01,1.8055173840e+00,-1.5281704072e+05,-1.4625749023e+05,-1.5352923284e+05,3.0080347989e+03,-2.0613271000e+03,1.3779024000e+04,-1.1090556248e+01,-1.0614502901e+01,-1.1142242937e+01,2.1830536030e-01,-1.4959891934e-01,-1.4981792120e-01,-1.4981792120e-01,1.1982429950e-01,0.0000000000e+00,-2.9993621694e-02,2.4670799577e-03,-1.3172801306e-01,1.4981792120e-01,3.4364314563e-01,0.0000000000e+00,3.1017547863e-01,-1.1660112497e+00,-1.2298849555e+00,-6.3873705801e-02,0.0000000000e+00,1.1740586488e+00,1.9245008599e-01,0.0000000000e+00,1.2299286317e+00,1.2760684601e-01,1.5933214151e+02,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,447024,48,48,48,4.9129488840e-01
6,6.0000000000e-04,1.0000000000e-04,419570,45,50,50,-1.2720994347e-01,3.9533905090e-01,5.9382316705e-01,3.4715479822e-02,-3.3252372056e+00,3.0941760726e-01,1.7142909331e+00,-1.5282738501e+05,-1.4595693239e+05,-1.5352923284e+05,3.1065062495e+03,-1.7476412401e+03,1.3779024000e+04,-1.1091306976e+01,-1.0592690193e+01,-1.1142242937e+01,2.2545183531e-01,-1.2683345642e-01,-1.2720994347e-01,-1.2720994347e-01,1.7870564437e-01,0.0000000000e+00,5.1495700893e-02,3.3793496741e-03,-1.5945960684e-01,1.2720994347e-01,3.4364803903e-01,0.0000000000e+00,2.7466507628e-01,-1.1610142659e+00,-1.2515338116e+00,-9.0519545753e-02,0.0000000000e+00,1.2053572223e+00,1.9245007032e-01,0.0000000000e+00,1.2653209722e+00,1.0553713133e-01,1.3177550947e+02,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,447024,48,48,48,3.1513955291e-01
7,7.0000000000e-04,1.0000000000e-04,446927,48,47,47,-8.5308364756e-02,3.0505124705e-01,6.2827062544e-01,3.7833343047e-02,-3.2359968707e+00,1.6982675891e-01,1.3482561937e+00,-1.5283829865e+05,-1.4566669542e+05,-1.5352923284e+05,3.2009953259e+03,-1.1645506558e+03,1.3779024000e+04,-1.1092099023e+01,-1.0571626511e+01,-1.1142242937e+01,2.3230929316e-01,-8.4516193293e-02,-8.5308364756e-02,-8.5308364756e-02,2.9520112649e-01,0.0000000000e+00,2.0989276173e-01,4.2947032306e-03,-1.7620921548e-01,8.5308364756e-02,3.4358060426e-01,0.0000000000e+00,2.8134763548e-01,-1.1229965796e+00,-1.2428252774e+00,-1.1982869774e-01,0.0000000000e+00,1.2339174778e+00,1.9245004283e-01,0.0000000000e+00,1.2997342583e+00,6.9136199375e-02,8.6324668676e+01,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,447024,48,48,48,1.3475185044e-01
8,8.0000000000e-04,1.0000000000e-04,447024,48,48,48,-2.5926766046e-02,1.3475185044e-01,6.3339224520e-01,4.2149839812e-02,-3.1234604727e+00,1.9789174057e-02,4.0782335068e-01,-1.5285255793e+05,-1.4532382876e+05,-1.5352923284e+05,3.3117301241e+03,-3.5318714015e+02,1.3779024000e+04,-1.1093133877e+01,-1.0546743279e+01,-1.1142242937e+01,2.4034576934e-01,-2.5632232018e-02,-2.5926766046e-02,-2.5926766046e-02,3.0418332693e-01,0.0000000000e+00,2.7825656089e-01,4.4370864191e-03,-1.1227163496e-01,2.5926766046e-02,3.0418332693e-01,0.0000000000e+00,2.7825656089e-01,-1.1503966087e+00,-1.2742947990e+00,-1.2389819030e-01,0.0000000000e+00,1.2571134561e+00,1.9245000382e-01,0.0000000000e+00,1.3291164336e+00,2.0624046238e-02,2.5751545129e+01,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,interface,1,0,1,447024,48,48,48,2.2480215478e-02
9,9.0000000000e-04,1.0000000000e-04,447024,48,48,48,-9.5712163790e-04,2.2480215478e-02,6.3153855754e-01,4.6586926231e-02,-3.0187283067e+00,1.0980965161e-04,1.4486828083e-02,-1.5286618770e+05,-1.4502981055e+05,-1.5352923284e+05,3.4057771440e+03,-1.3050564918e+01,1.3779024000e+04,-1.1094123045e+01,-1.0525405178e+01,-1.1142242937e+01,2.4717114536e-01,-9.4713275177e-04,-9.5712163790e-04,-9.5712163790e-04,7.4953058649e-02,0.0000000000e+00,7.3995937011e-02,3.8960926227e-03,-2.2480215478e-02,9.5712163790e-04,7.4953058649e-02,0.0000000000e+00,7.3995937011e-02,-1.1899303339e+00,-1.3123651646e+00,-1.2243483074e-01,0.0000000000e+00,1.2741608482e+00,1.9244998448e-01,0.0000000000e+00,1.3519818873e+00,7.5117803161e-04,9.3793403863e-01,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,442416,48,0,48,9.1139541300e-11
10,1.0000000000e-03,1.0000000000e-04,442416,48,0,48,-5.2563938349e-20,9.1139541300e-11,7.8318056238e-02,2.9629183279e-02,-3.4889184865e+00,7.5704294292e-30,2.4919247960e-19,-1.5280847478e+05,-1.4652759457e+05,-1.5352923284e+05,2.9190661410e+03,-7.2431263891e-16,1.3779024000e+04,-1.1089934583e+01,-1.0634105476e+01,-1.1142242937e+01,2.1184854174e-01,-5.2566323922e-20,-5.2563938349e-20,-5.2563938349e-20,3.2549836170e-10,0.0000000000e+00,3.2549836164e-10,-6.0302776666e-05,-9.1139541300e-11,5.2563938349e-20,3.2549836170e-10,0.0000000000e+00,3.2549836164e-10,-9.7513047126e-02,2.4242281216e-02,1.2175532834e-01,0.0000000000e+00,1.2854198236e+00,1.9245002751e-01,0.0000000000e+00,1.3681424327e+00,4.0892428592e-20,5.1059002108e-17,1.7857142857e+00,2.2321428571e-01,2.9914688420e+03,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,1.0000000000e+00,4.5000000000e+00,2.3958248488e+00,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,far_field,0,1,1,447024,48,48,48,1.6989986380e-14
