step,time_code,dt,phi_rhs_total_explicit_signed_mean,phi_rhs_total_explicit_abs_mean,phi_rhs_total_explicit_abs_max,phi_rhs_total_explicit_rms,phi_rhs_chem_signed_mean,phi_rhs_chem_abs_mean,phi_rhs_chem_abs_max,phi_rhs_chem_rms,phi_rhs_double_well_signed_mean,phi_rhs_double_well_abs_mean,phi_rhs_double_well_abs_max,phi_rhs_double_well_rms,phi_rhs_elastic_signed_mean,phi_rhs_elastic_abs_mean,phi_rhs_elastic_abs_max,phi_rhs_elastic_rms,phi_update_explicit_est_signed_mean,phi_update_explicit_est_abs_mean,phi_update_explicit_est_abs_max,phi_update_explicit_est_rms,dphi_actual_signed_mean,dphi_actual_abs_mean,dphi_actual_abs_max,dphi_actual_rms,eta_rhs_total_explicit_signed_mean,eta_rhs_total_explicit_abs_mean,eta_rhs_total_explicit_abs_max,eta_rhs_total_explicit_rms,eta_rhs_bulk_signed_mean,eta_rhs_bulk_abs_mean,eta_rhs_bulk_abs_max,eta_rhs_bulk_rms,eta_rhs_double_well_signed_mean,eta_rhs_double_well_abs_mean,eta_rhs_double_well_abs_max,eta_rhs_double_well_rms,eta_rhs_elastic_signed_mean,eta_rhs_elastic_abs_mean,eta_rhs_elastic_abs_max,eta_rhs_elastic_rms,eta_update_explicit_est_signed_mean,eta_update_explicit_est_abs_mean,eta_update_explicit_est_abs_max,eta_update_explicit_est_rms,deta_actual_signed_mean,deta_actual_abs_mean,deta_actual_abs_max,deta_actual_rms,phi_grad_denom_min,phi_grad_denom_max,phi_grad_denom_mean,phi_grad_denom_at_kmax,eta_grad_denom_min,eta_grad_denom_max,eta_grad_denom_mean,eta_grad_denom_at_kmax,eta_rhs_total_absmax_over_phi_rhs_total_absmax,eta_rhs_bulk_absmax_over_phi_chem_absmax,eta_rhs_dw_absmax_over_phi_dw_absmax,eta_rhs_elastic_absmax_over_phi_elastic_absmax,eta_Ldt_rhs_absmax_over_phi_Ldt_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax,eta_Ldt_dw_absmax_over_phi_Ldt_dw_absmax,eta_Ldt_elastic_absmax_over_phi_Ldt_elastic_absmax,deta_absmax_over_dphi_absmax,deta_absmean_over_dphi_absmean,deta_rms_over_dphi_rms,phi_damping_stronger_than_eta,phi_actual_over_explicit_est_absmax,eta_actual_over_explicit_est_absmax,corr_abs_deta_abs_dxB,corr_abs_deta_abs_dY,corr_abs_deta_local_xB,corr_abs_deta_eta_before,corr_abs_deta_phi_before,max_abs_deta_idx,max_abs_deta_i,max_abs_deta_j,max_abs_deta_k,max_abs_deta_value,max_abs_deta_eta_before,max_abs_deta_phi_before,max_abs_deta_xB_before,max_abs_deta_Y_before,max_abs_deta_eta_rhs_bulk,max_abs_deta_eta_rhs_dw,max_abs_deta_eta_rhs_total,max_abs_deta_dxB,max_abs_dphi_idx,max_abs_dphi_i,max_abs_dphi_j,max_abs_dphi_k,max_abs_dphi_value,max_abs_dphi_eta_before,max_abs_dphi_phi_before,max_abs_dphi_xB_before,max_abs_dphi_Y_before,max_abs_dphi_phi_rhs_chem,max_abs_dphi_phi_rhs_dw,max_abs_dphi_phi_rhs_total,max_abs_dphi_dxB,xB_min_after,xB_max_after,xBtot_rel_delta,eta_far_field_max,xB_clip_low_count,xB_clip_high_count,nan_inf_flag,S_phi_W,S_phi_grad,S_phi_total,S_eta_W,S_eta_grad,S_eta_total,gp_L_eta,L_phi
1,1.0000000000e-04,1.0000000000e-04,-8.2418518091e-02,1.2314003217e-01,1.1595745640e+00,2.3526897221e-01,-1.9916929124e-01,1.9916929124e-01,1.0873940040e+00,3.1256830626e-01,1.1675077315e-01,1.1713389072e-01,1.9245007717e-01,1.2685701286e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9746033365e-05,2.9502194895e-05,2.7781375545e-04,5.6366324977e-05,1.9746033365e-05,6.3825695833e-05,1.0863349643e-02,1.4531074500e-04,3.3711233472e-04,2.5923652977e-03,4.2941642335e-01,2.4877230084e-02,-6.6941731419e-04,6.6941731419e-04,1.7566225550e-01,8.9407074242e-03,1.0065296489e-03,2.6359865200e-03,3.4366035917e-01,2.4784253421e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0084610456e-04,7.7549800151e-04,1.2845858507e-01,7.4419458672e-03,-1.0078229906e-04,1.8632793987e-03,2.4744721444e-01,1.5019349349e-02,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,3.7032238950e-01,1.6154425613e-01,1.7857117244e+00,nan,4.6239101753e+02,2.0170698582e+02,2.2296709156e+03,nan,2.2778169034e+01,2.9193248494e+01,1.0336021158e+02,2.1097076492e-02,3.9102994109e+01,1.9262800872e+00,9.2236936773e-01,9.1119564547e-01,-3.9065632577e-01,9.1886382735e-01,4.9642323614e-01,400651,43,45,43,-2.4744721444e-01,9.0377313597e-01,5.3857078722e-01,2.5587302365e-02,-3.6397387010e+00,-1.9268591215e-02,-2.5082172246e-01,-2.7009031368e-01,6.3782285348e-04,447024,48,48,48,-1.0863349643e-02,9.9995087118e-01,6.6075636877e-01,2.9675461610e-02,-3.4873100953e+00,-9.4097373541e-01,-1.4413891213e-01,-1.0851126475e+00,5.0324587044e-05,2.0890624602e-02,2.9999996153e-02,-2.0671250166e-03,1.0624753073e-04,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
2,2.0000000000e-04,1.0000000000e-04,-8.2563382174e-02,1.2328747610e-01,1.1636122407e+00,2.3581383768e-01,-1.9933398994e-01,1.9933398994e-01,1.0963157549e+00,3.1301201347e-01,1.1677060777e-01,1.1715133341e-01,1.9245007975e-01,1.2686765611e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9780740262e-05,2.9537519878e-05,2.7878111206e-04,5.6496865201e-05,1.9780740262e-05,3.1888043566e-05,3.7675885377e-03,6.6240517040e-05,2.2953593463e-03,4.9854826860e-03,4.1928744686e-01,3.2209341098e-02,-1.1495430272e-03,1.1495430272e-03,1.7306977852e-01,1.1461765172e-02,3.4449023736e-03,5.1919085709e-03,3.4366027987e-01,3.3185485833e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.8664959656e-04,1.4913916117e-03,1.2542853331e-01,9.6353240316e-03,-6.8664532320e-04,6.8668142602e-04,1.2277624232e-01,7.8281428102e-03,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,3.6033261958e-01,1.5786490137e-01,1.7857112885e+00,nan,4.4991761595e+02,1.9711287907e+02,2.2296703713e+03,nan,3.2587486953e+01,2.1534134717e+01,1.1817756201e+02,2.1097076492e-02,1.3514504300e+01,9.7885416562e-01,9.1880310598e-01,8.8776163994e-01,-2.0615403550e-01,9.6824470893e-01,3.9040581368e-01,382515,41,48,51,-1.2277624232e-01,6.6214948636e-01,5.3947696979e-01,2.6292009092e-02,-3.6118463985e+00,-1.2865703533e-01,-2.5910045261e-01,-3.8775748795e-01,1.1064222308e-03,447024,48,48,48,-3.7675885377e-03,8.9515775998e-01,6.4989301912e-01,2.9725786197e-02,-3.4855638349e+00,-9.7023303711e-01,-1.3642188336e-01,-1.1066549205e+00,2.8808950208e-04,2.1094445411e-02,3.0013875700e-02,-2.1869141323e-03,9.0626689623e-05,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
3,3.0000000000e-04,1.0000000000e-04,-8.2824681451e-02,1.2355238397e-01,1.1754711419e+00,2.3685587373e-01,-1.9961493123e-01,1.9961493123e-01,1.1162579681e+00,3.1384438998e-01,1.1679024977e-01,1.1716861074e-01,1.9245008790e-01,1.2687844110e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9843342992e-05,2.9600987164e-05,2.8162229708e-04,5.6746518788e-05,1.9843342992e-05,2.8523675413e-05,3.2105132304e-03,6.1182554474e-05,2.9139145316e-03,4.7125954531e-03,4.0789864085e-01,3.0051611317e-02,-1.1436162531e-03,1.1436162531e-03,1.6931397683e-01,1.1396661409e-02,4.0575307847e-03,5.0787465033e-03,3.4365058716e-01,3.2590883401e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.7168845295e-04,1.4097582463e-03,1.2202160748e-01,8.9898458906e-03,-8.7168830498e-04,8.7169163581e-04,1.1037055622e-01,7.6879069233e-03,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,3.4700863876e-01,1.5167997153e-01,1.7856608480e+00,nan,4.3328106028e+02,1.8939026741e+02,2.2296073904e+03,nan,3.4377854348e+01,3.0560284507e+01,1.2565521315e+02,2.1097076492e-02,1.1400067621e+01,9.0451649098e-01,9.5354887504e-01,9.2950373862e-01,-2.9217318175e-01,9.7809332129e-01,4.7587706064e-01,455946,49,45,42,-1.1037055622e-01,6.0605136423e-01,5.5292055202e-01,2.8008636702e-02,-3.5468340027e+00,-1.4212383721e-01,-1.8085780595e-01,-3.2298164316e-01,1.5083274048e-03,447024,48,48,48,-3.2105132304e-03,8.2377579437e-01,6.4612543059e-01,3.0013875700e-02,-3.4756219685e+00,-9.8385756394e-01,-1.3364477487e-01,-1.1175023388e+00,6.4602228036e-04,2.1430769038e-02,3.0659897980e-02,-2.0943833375e-03,6.9408372103e-05,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
4,4.0000000000e-04,1.0000000000e-04,-8.3194170027e-02,1.2392758585e-01,1.1983805665e+00,2.3835945539e-01,-2.0000394196e-01,2.0000394196e-01,1.1433696618e+00,3.1504130078e-01,1.1680977194e-01,1.1718581065e-01,1.9245008961e-01,1.2688926567e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9931865983e-05,2.9690878964e-05,2.8711099395e-04,5.7106750618e-05,1.9931865983e-05,2.6058856192e-05,2.7959736445e-03,5.7401263814e-05,3.1547621622e-03,4.1221968354e-03,3.8996358397e-01,2.6872793343e-02,-9.6761972043e-04,9.6761972043e-04,1.6238695170e-01,1.0262265296e-02,4.1223818827e-03,4.5820604771e-03,3.4366034771e-01,3.0652102581e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.4373727121e-04,1.2331423394e-03,1.1665639110e-01,8.0389123981e-03,-9.4373726061e-04,9.4373746676e-04,1.1926792488e-01,8.0754989202e-03,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,3.2540880158e-01,1.4202489110e-01,1.7857115495e+00,nan,4.0631112550e+02,1.7733476498e+02,2.2296706972e+03,nan,4.2657027583e+01,3.6215613602e+01,1.4068503694e+02,2.1097076492e-02,9.7383022713e+00,1.0223865470e+00,9.5374625210e-01,9.2270981404e-01,-2.5535770396e-01,9.7813202402e-01,4.8725595043e-01,400751,43,46,47,-1.1926792488e-01,5.8335263107e-01,5.7365634380e-01,3.0011893171e-02,-3.4756900683e+00,-1.3760399515e-01,-1.4470751381e-01,-2.8231150896e-01,2.0041444824e-03,447024,48,48,48,-2.7959736445e-03,7.3991522899e-01,6.4291491735e-01,3.0659897980e-02,-3.4536599868e+00,-1.0009003849e+00,-1.3123895520e-01,-1.1321393401e+00,1.2840992832e-03,2.1891526665e-02,3.2054761283e-02,-1.7896395131e-03,4.3652607475e-05,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
5,5.0000000000e-04,1.0000000000e-04,-8.3656130163e-02,1.2439751404e-01,1.2299286317e+00,2.4025617590e-01,-2.0048528828e-01,2.0048528828e-01,1.1740586488e+00,3.1655376623e-01,1.1682915812e-01,1.1720292803e-01,1.9245008599e-01,1.2690011066e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0042543540e-05,2.9803465526e-05,2.9466935780e-04,5.7561171632e-05,2.0042543540e-05,2.5204796363e-05,2.4780483236e-03,5.4474596278e-05,3.0686074578e-03,3.3899725212e-03,3.1017547863e-01,2.3526730233e-02,-7.0590784798e-04,7.0590784798e-04,1.4981792120e-01,8.3372525419e-03,3.7745153058e-03,3.8743752804e-03,3.4364314563e-01,2.8036000878e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.1796435982e-04,1.0140997172e-03,9.2788027985e-02,7.0379480445e-03,-9.1796435533e-04,9.1796436454e-04,1.4227176519e-01,8.2849566352e-03,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,2.5218981870e-01,1.2760684601e-01,1.7856221984e+00,nan,3.1488862187e+02,1.5933214151e+02,2.2295591318e+03,nan,5.7412829216e+01,3.6420225393e+01,1.5208844491e+02,2.1097076492e-02,8.4095894534e+00,1.5332987270e+00,9.3530451588e-01,8.8390183763e-01,-1.5109193448e-01,9.8477475401e-01,4.6818693346e-01,446834,48,46,50,-1.4227176519e-01,5.8746708889e-01,6.1351737623e-01,3.1893666509e-02,-3.4129344819e+00,-1.1383325500e-01,-1.5141147136e-01,-2.6524472636e-01,2.5620477780e-03,447024,48,48,48,-2.4780483236e-03,6.3250630700e-01,6.4011894371e-01,3.1943997263e-02,-3.4113056556e+00,-1.0250989100e+00,-1.2911494437e-01,-1.1542138544e+00,2.3008428735e-03,2.2456760767e-02,3.4755392081e-02,-1.2742585242e-03,2.2045745324e-05,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
6,6.0000000000e-04,1.0000000000e-04,-8.4188493878e-02,1.2494026892e-01,1.2653209722e+00,2.4244478878e-01,-2.0103688698e-01,2.0103688698e-01,1.2053572223e+00,3.1830839672e-01,1.1684839310e-01,1.1721995560e-01,1.9245007032e-01,1.2691095946e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0170088562e-05,2.9933500091e-05,3.0314874270e-04,5.8085524942e-05,2.0170088562e-05,2.4676442045e-05,2.2265262200e-03,5.2137835990e-05,2.6309438984e-03,2.6438842876e-03,2.7466507628e-01,2.0642075873e-02,-4.1229111957e-04,4.1229111957e-04,1.2720994347e-01,5.6702046262e-03,3.0432350180e-03,3.0432350180e-03,3.4364803903e-01,2.4734329063e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.8703866970e-04,7.9090974680e-04,8.2165201765e-02,6.1750126807e-03,-7.8703866939e-04,7.8703867099e-04,1.7615533549e-01,7.8508082297e-03,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,2.1707146432e-01,1.0553713133e-01,1.7856477706e+00,nan,2.7103922989e+02,1.3177550947e+02,2.2295910618e+03,nan,7.9116667887e+01,3.1894333452e+01,1.5057794557e+02,2.1097076492e-02,7.3446658565e+00,2.1439165450e+00,8.9207461320e-01,8.0572632487e-01,-9.1833111666e-03,9.9267291560e-01,4.3313700995e-01,447024,48,48,48,-1.7615533549e-01,4.9129488840e-01,6.3764089539e-01,3.4244840137e-02,-3.3393744440e+00,-1.0855394180e-01,1.5540130256e-02,-9.3013811546e-02,3.5421075760e-03,447024,48,48,48,-2.2265262200e-03,4.9129488840e-01,6.3764089539e-01,3.4244840137e-02,-3.3393744440e+00,-1.0599190965e+00,-1.2721045948e-01,-1.1871295560e+00,3.5421075760e-03,2.3103175478e-02,3.8121664369e-02,-6.1549083342e-04,7.7887331009e-06,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
7,7.0000000000e-04,1.0000000000e-04,-8.4766577372e-02,1.2553129042e-01,1.2997342583e+00,2.4480505064e-01,-2.0163404267e-01,2.0163404267e-01,1.2339174778e+00,3.2021766416e-01,1.1686746530e-01,1.1723688411e-01,1.9245004283e-01,1.2692179698e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0308587242e-05,3.0075098490e-05,3.1139356329e-04,5.8651002345e-05,2.0308587242e-05,2.4388586215e-05,2.0221239700e-03,5.0236273048e-05,1.7894698117e-03,1.7894698117e-03,2.8134763548e-01,1.6861326896e-02,-1.5787212459e-04,1.5787212459e-04,8.5308364756e-02,2.6428931798e-03,1.9473419363e-03,1.9473419363e-03,3.4358060426e-01,1.9116685428e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.3531431853e-04,5.3531431853e-04,8.4164268531e-02,5.0440134043e-03,-5.3531429534e-04,5.3531429534e-04,1.8038770248e-01,6.0926003915e-03,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,2.1646550723e-01,6.9136199375e-02,1.7852976242e+00,nan,2.7028262127e+02,8.6324668676e+01,2.2291538629e+03,nan,8.9207044253e+01,2.1949377903e+01,1.2127890908e+02,2.1097076492e-02,6.4937885956e+00,2.1432812953e+00,8.0683174403e-01,6.7608822350e-01,1.4311055057e-01,9.9778899554e-01,3.8961455687e-01,447024,48,48,48,-1.8038770248e-01,3.1513955291e-01,6.3541436917e-01,3.7786947713e-02,-3.2372721498e+00,-8.4859009670e-02,2.8498431830e-01,2.0012530863e-01,4.3628920994e-03,447024,48,48,48,-2.0221239700e-03,3.1513955291e-01,6.3541436917e-01,3.7786947713e-02,-3.2372721498e+00,-1.1044826421e+00,-1.2548196819e-01,-1.2299646103e+00,4.3628920994e-03,2.3802398831e-02,4.2149839812e-02,-7.6127657821e-05,1.1051444879e-06,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
8,8.0000000000e-04,1.0000000000e-04,-8.5371432926e-02,1.2615178316e-01,1.3291164336e+00,2.4724017328e-01,-2.0225780095e-01,2.0225780095e-01,1.2571134561e+00,3.2221054638e-01,1.1688636802e-01,1.1725370213e-01,1.9245000382e-01,1.2693260863e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0453500038e-05,3.0223757682e-05,3.1843301787e-04,5.9234415078e-05,2.0453500038e-05,2.4272504961e-05,1.8536876535e-03,4.8680056503e-05,7.3146125518e-04,7.3146125518e-04,2.7825656089e-01,9.0387630101e-03,-2.4589505346e-05,2.4589505346e-05,2.5926766046e-02,5.1839770882e-04,7.5605076052e-04,7.5605076052e-04,3.0418332693e-01,9.5134163043e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1881435540e-04,2.1881435540e-04,8.3239583196e-02,2.7039177914e-03,-2.1868655741e-04,2.1868655741e-04,1.1227163496e-01,2.9159657332e-03,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,2.0935454099e-01,2.0624046238e-02,1.5805836368e+00,nan,2.6140374435e+02,2.5751545129e+01,1.9735443949e+03,nan,6.0566641175e+01,9.0096410636e+00,5.9900623432e+01,2.1097076492e-02,5.8212796709e+00,1.3487769958e+00,6.6718743367e-01,5.0819108419e-01,2.8037949291e-01,9.9963386200e-01,3.4216709698e-01,447024,48,48,48,-1.1227163496e-01,1.3475185044e-01,6.3339224520e-01,4.2149839812e-02,-3.1234604727e+00,-2.5926766046e-02,3.0418332693e-01,2.7825656089e-01,4.4370864191e-03,447024,48,48,48,-1.8536876535e-03,1.3475185044e-01,6.3339224520e-01,4.2149839812e-02,-3.1234604727e+00,-1.1503966087e+00,-1.2389819030e-01,-1.2742947990e+00,4.4370864191e-03,2.4520049011e-02,4.6586926231e-02,1.0867491731e-04,1.7157226557e-09,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
9,9.0000000000e-04,1.0000000000e-04,-8.5994817261e-02,1.2679361810e-01,1.3519818873e+00,2.4970714878e-01,-2.0289991582e-01,2.0289991582e-01,1.2741608482e+00,3.2425423858e-01,1.1690509856e-01,1.1727039733e-01,1.9244998448e-01,1.2694338024e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0602852006e-05,3.0377530091e-05,3.2391118009e-04,5.9825459197e-05,2.0602852006e-05,2.4234604512e-05,1.7139702170e-03,4.7401910580e-05,8.6556652975e-05,8.6556652975e-05,7.3995937011e-02,1.4964904577e-03,-4.6485071310e-07,4.6485071310e-07,9.5712163790e-04,1.2982870920e-05,8.7021503688e-05,8.7021503688e-05,7.4953058649e-02,1.5086282776e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.5893153044e-05,2.5893153044e-05,2.2135654000e-02,4.4767045766e-04,-2.4937446115e-05,2.4937446165e-05,2.2480215478e-02,4.3821766837e-04,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,5.4731455875e-02,7.5117803161e-04,3.8946773028e-01,nan,6.8338653807e+01,9.3793403863e-01,4.8629622514e+02,nan,1.3115872875e+01,1.0290015731e+00,9.2447258561e+00,2.1097076492e-02,5.2914821172e+00,1.0155659046e+00,4.5502891661e-01,3.0587627632e-01,3.9256063923e-01,1.0000000000e+00,2.7279789397e-01,447024,48,48,48,-2.2480215478e-02,2.2480215478e-02,6.3153855754e-01,4.6586926231e-02,-3.0187283067e+00,-9.5712163790e-04,7.4953058649e-02,7.3995937011e-02,3.8960926227e-03,447024,48,48,48,-1.7139702170e-03,2.2480215478e-02,6.3153855754e-01,4.6586926231e-02,-3.0187283067e+00,-1.1899303339e+00,-1.2243483074e-01,-1.3123651646e+00,3.8960926227e-03,2.5217328483e-02,5.0483018854e-02,1.2739339657e-04,9.1139541221e-11,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
10,1.0000000000e-03,1.0000000000e-04,-8.6632568744e-02,1.2745272738e-01,1.3681424327e+00,2.5218536605e-01,-2.0355622479e-01,2.0355622479e-01,1.2854198236e+00,3.2633152783e-01,1.1692365605e-01,1.1728696593e-01,1.9245002751e-01,1.2695409905e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0755646091e-05,3.0535441130e-05,3.2778296371e-04,6.0419196650e-05,2.0755646091e-05,2.4230237613e-05,1.5972062107e-03,4.6347632943e-05,1.5000440121e-13,1.5000440121e-13,3.2549836164e-10,4.3566524719e-12,-9.4072419043e-24,9.4072419043e-24,5.2563938349e-20,3.9834254816e-22,1.5000440122e-13,1.5000440122e-13,3.2549836170e-10,4.3566524723e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.4873349237e-14,4.4873349237e-14,9.7371820696e-11,1.3032790125e-12,-4.1980322231e-14,4.2022142460e-14,9.1139541300e-11,1.2198627142e-12,1.0000000000e+00,4.1921888688e+00,2.0679115636e+00,4.1921888688e+00,1.0000000000e+00,1.9870946907e+02,6.7141521362e+01,1.9870946907e+02,2.3791262800e-10,4.0892428592e-20,1.6913396476e-09,nan,2.9706187166e-07,5.1059002108e-17,2.1118362886e-06,nan,5.7061850053e-08,1.7342851990e-09,2.6319849293e-08,2.1097076492e-02,4.8727554131e+00,9.3599504095e-01,-2.8893865005e-03,-3.4516481962e-03,9.7124444591e-03,9.9999998227e-01,-1.1076506443e-02,442416,48,0,48,-9.1139541300e-11,9.1139541300e-11,7.8318056238e-02,2.9629183279e-02,-3.4889184865e+00,-5.2563938349e-20,3.2549836170e-10,3.2549836164e-10,-6.0302776666e-05,447024,48,48,48,-1.5972062107e-03,0.0000000000e+00,6.2982458733e-01,5.0483018854e-02,-2.9343163950e+00,-1.2203186345e+00,-1.2107211304e-01,-1.3413907475e+00,2.7352314325e-03,2.5854950140e-02,5.3218250286e-02,1.3654379182e-04,5.3874573950e-15,0,0,0,2.3958248488e-04,3.1921888688e+00,3.1924284512e+00,5.3419086463e-01,1.9770946907e+02,1.9824365994e+02,2.9914688420e+03,2.3958248488e+00
