case_name,M_ratio,step,time_code,eta_max,eta_mean,eta_far_field,eta_max_minus_far,R_avg_nm,xB_min,xB_max,Y_min,Y_max,xBtot_initial,xBtot_final,xBtot_drift,xBtot_rel_drift,clipping_count_step,nan_inf_flag,eta_bulk_rhs_absmax,phi_chem_rhs_absmax,eta_bulk_rhs_absmax_over_phi_chem_rhs_absmax,eta_Ldt_bulk_absmax_over_phi_Ldt_chem_absmax
gp_eta_S218b_Mratio_1,1.0,1,0.0001,nan,nan,0.00010624753073,nan,nan,0.020890624602,0.029999996153,nan,nan,nan,nan,nan,-0.0020671250166,0,0,0.00066941731419,1.087394004,0.16154425613,201.70698582
gp_eta_S218b_Mratio_1,1.0,2,0.0002,nan,nan,9.0626689623e-05,nan,nan,0.021094445411,0.0300138757,nan,nan,nan,nan,nan,-0.0021869141323,0,0,0.0011495430272,1.0963157549,0.15786490137,197.11287907
gp_eta_S218b_Mratio_1,1.0,3,0.0003,nan,nan,6.9408372103e-05,nan,nan,0.021430769038,0.03065989798,nan,nan,nan,nan,nan,-0.0020943833375,0,0,0.0011436162531,1.1162579681,0.15167997153,189.39026741
gp_eta_S218b_Mratio_1,1.0,4,0.0004,nan,nan,4.3652607475e-05,nan,nan,0.021891526665,0.032054761283,nan,nan,nan,nan,nan,-0.0017896395131,0,0,0.00096761972043,1.1433696618,0.1420248911,177.33476498
gp_eta_S218b_Mratio_1,1.0,5,0.0005,nan,nan,2.2045745324e-05,nan,nan,0.022456760767,0.034755392081,nan,nan,nan,nan,nan,-0.0012742585242,0,0,0.00070590784798,1.1740586488,0.12760684601,159.33214151
gp_eta_S218b_Mratio_1,1.0,6,0.0006,nan,nan,7.7887331009e-06,nan,nan,0.023103175478,0.038121664369,nan,nan,nan,nan,nan,-0.00061549083342,0,0,0.00041229111957,1.2053572223,0.10553713133,131.77550947
gp_eta_S218b_Mratio_1,1.0,7,0.0007,nan,nan,1.1051444879e-06,nan,nan,0.023802398831,0.042149839812,nan,nan,nan,nan,nan,-7.6127657821e-05,0,0,0.00015787212459,1.2339174778,0.069136199375,86.324668676
gp_eta_S218b_Mratio_1,1.0,8,0.0008,nan,nan,1.7157226557e-09,nan,nan,0.024520049011,0.046586926231,nan,nan,nan,nan,nan,0.00010867491731,0,0,2.4589505346e-05,1.2571134561,0.020624046238,25.751545129
gp_eta_S218b_Mratio_1,1.0,9,0.0009,nan,nan,9.1139541221e-11,nan,nan,0.025217328483,0.050483018854,nan,nan,nan,nan,nan,0.00012739339657,0,0,4.648507131e-07,1.2741608482,0.00075117803161,0.93793403863
gp_eta_S218b_Mratio_1,1.0,10,0.001,nan,nan,5.387457395e-15,nan,nan,0.02585495014,0.053218250286,nan,nan,nan,nan,nan,0.00013654379182,0,0,9.4072419043e-24,1.2854198236,4.0892428592e-20,5.1059002108e-17
gp_eta_S218b_Mratio_1,1.0,11,0.0011,nan,nan,3.1936219285e-18,nan,nan,0.026402219113,0.054338989576,nan,nan,nan,nan,nan,0.00014822440262,0,0,2.2532357948e-31,1.2910362167,4.663058918e-28,5.8223769856e-25
gp_eta_S218b_Mratio_1,1.0,12,0.0012,nan,nan,3.016015548e-22,nan,nan,0.026846861384,0.053758198469,nan,nan,nan,nan,nan,0.00016204353841,0,0,1.7491512657e-38,1.2913631131,4.9884927621e-35,6.2287193796e-32
gp_eta_S218b_Mratio_1,1.0,13,0.0013,nan,nan,1.8315074175e-25,nan,nan,0.027196192835,0.051777413732,nan,nan,nan,nan,nan,0.00017742922641,0,0,6.712408637e-46,1.2871330933,1.8730729202e-42,2.3387516338e-39
gp_eta_S218b_Mratio_1,1.0,14,0.0014,nan,nan,1.6064069223e-29,nan,nan,0.027468420586,0.048921550598,nan,nan,nan,nan,nan,0.0001937032483,0,0,6.8292708655e-53,1.280076823,1.6514383648e-49,2.0620148485e-46
gp_eta_S218b_Mratio_1,1.0,15,0.0015,nan,nan,1.2675126977e-32,nan,nan,0.027682363589,0.045724487837,nan,nan,nan,nan,nan,0.00021016192522,0,0,3.156111008e-60,1.2735332926,1.0040476111e-56,1.2536714218e-53
gp_eta_S218b_Mratio_1,1.0,16,0.0016,nan,nan,4.3060161297e-37,nan,nan,0.027853527295,0.042593486899,nan,nan,nan,nan,nan,0.00022616904129,0,0,3.5997258959e-67,1.2703573218,7.9497819271e-64,9.9262368645e-61
gp_eta_S218b_Mratio_1,1.0,17,0.0017,nan,nan,9.9060700741e-40,nan,nan,0.027989950852,0.03977687691,nan,nan,nan,nan,nan,0.00024122428827,0,0,1.8223211443e-74,1.269789175,6.9971205529e-71,8.7367271976e-68
gp_eta_S218b_Mratio_1,1.0,18,0.0018,nan,nan,3.0096658328e-47,nan,nan,0.0281022275,0.037392785632,nan,nan,nan,nan,nan,0.00025499078107,0,0,2.2968452982e-81,1.2701582065,4.8299155908e-78,6.0307171479e-75
gp_eta_S218b_Mratio_1,1.0,19,0.0019,nan,nan,8.2754369487e-47,nan,nan,0.028186115813,0.036583553725,nan,nan,nan,nan,nan,0.00026728618768,0,0,1.2232871481e-88,1.2704930276,5.1534400419e-85,6.4346754404e-82
gp_eta_S218b_Mratio_1,1.0,20,0.002,nan,nan,0.0,nan,nan,0.028253057234,0.03643042649,nan,nan,nan,nan,nan,0.00027805150617,0,0,1.6070044728e-95,1.2703458548,3.3485526906e-92,4.1810615015e-89
gp_eta_S218b_Mratio_1,1.0,21,0.0021,nan,nan,7.2486654072e-54,nan,nan,0.028300454189,0.036293986383,nan,nan,nan,nan,nan,0.0002873115174,0,0,8.7969121421e-103,1.2695209334,4.2555558225e-99,5.3135614878e-96
gp_eta_S218b_Mratio_1,1.0,22,0.0022,nan,nan,3.9028179423e-61,nan,nan,0.028330194821,0.036131809833,nan,nan,nan,nan,nan,0.00029513705176,0,0,1.2108592426e-109,1.2679677395,2.5640465829e-106,3.2015134436e-103
gp_eta_S218b_Mratio_1,1.0,23,0.0023,nan,nan,6.4156637456e-61,nan,nan,0.028338502407,0.035933518734,nan,nan,nan,nan,nan,0.00030161479009,0,0,6.7656135591e-117,1.2657369087,3.5787683361e-113,4.468512786e-110
gp_eta_S218b_Mratio_1,1.0,24,0.0024,nan,nan,0.0,nan,nan,0.028323382004,0.035700175081,nan,nan,nan,nan,nan,0.00030682680715,0,0,9.5595427963e-124,1.2629264857,2.0074873642e-120,2.5065838613e-117
gp_eta_S218b_Mratio_1,1.0,25,0.0025,nan,nan,5.6779973072e-68,nan,nan,0.02827777356,0.035437271848,nan,nan,nan,nan,nan,0.00031083962625,0,0,5.371780991e-131,1.2596552952,2.9978069137e-127,3.7431141851e-124
gp_eta_S218b_Mratio_1,1.0,26,0.0026,nan,nan,0.0,nan,nan,0.028211306235,0.035152334272,nan,nan,nan,nan,nan,0.00031370115687,0,0,7.7031677273e-138,1.2560598432,1.5743675823e-134,1.9657829205e-131
gp_eta_S218b_Mratio_1,1.0,27,0.0027,nan,nan,5.1538703875e-75,nan,nan,0.028154646224,0.034853421642,nan,nan,nan,nan,nan,0.00031544332352,0,0,4.3328539711e-145,1.2522742888,2.6898147958e-141,3.3585498357e-138
gp_eta_S218b_Mratio_1,1.0,28,0.0028,nan,nan,0.0,nan,nan,0.028109616798,0.034548693343,nan,nan,nan,nan,nan,0.00031608815582,0,0,6.3875156846e-152,1.2484145352,1.3053014797e-148,1.6298222751e-145
gp_eta_S218b_Mratio_1,1.0,29,0.0029,nan,nan,4.7637850594e-82,nan,nan,0.028077713993,0.03425055852,nan,nan,nan,nan,nan,0.00031565541467,0,0,3.5821342518e-159,1.2445852318,2.478604347e-155,3.0948287723e-152
gp_eta_S218b_Mratio_1,1.0,30,0.003,nan,nan,1.374310108e-90,nan,nan,0.028060407945,0.034099696233,nan,nan,nan,nan,nan,0.00031417021749,0,0,5.424826589e-166,1.2408715468,1.1239078952e-162,1.4033310705e-159
gp_eta_S218b_Mratio_1,1.0,31,0.0031,nan,nan,4.4296019623e-89,nan,nan,0.028059124145,0.034449357773,nan,nan,nan,nan,nan,0.00031166956346,0,0,3.0243521903e-173,1.2373262056,2.2742619978e-169,2.8396833383e-166
gp_eta_S218b_Mratio_1,1.0,32,0.0032,nan,nan,0.0,nan,nan,0.028075216887,0.034804614242,nan,nan,nan,nan,nan,0.0003082070259,0,0,4.6647216672e-180,1.2339801436,9.7979850688e-177,1.2233935658e-173
