workflow_name,base_case_tag,T_C,T_K,xB,strain,n_points,rc_schur_nm,excess_peak_radius_nm,excess_peak_kBT,excess_peak_J,excess_refsub_peak_radius_nm,excess_refsub_peak_kBT,excess_refsub_peak_J,cnt_absolute_peak_radius_nm,cnt_absolute_peak_kBT,cnt_absolute_peak_J,cnt_refsub_peak_radius_nm,cnt_refsub_peak_kBT,cnt_refsub_peak_J,J_per_hat,w_phys_J_m3,V_box_m3,reference_source
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,350.0,623.15,0.03,0.0,11,1.6280547801363252,2.128055,1224.3061142348895,1.053333509222401e-17,2.128055,1217.7650585394547,1.047705902638081e-17,1.528055,191.26742913046724,1.6455720508416017e-18,1.528055,184.72637343503243,1.5892959849984016e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T350C_xB0p035_400cube_dx0p1,cntcon_T350_xB0p035_strictref_exx_s000,350.0,623.15,0.035,0.0,11,1.5357367772513788,2.035737,1112.6076871668993,9.57233608396801e-18,2.035737,1103.702879012873,9.49572344017921e-18,1.435737,173.9353805420827,1.4964555239424013e-18,1.435737,165.03057238805644,1.4198428801536013e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p035_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.035/cntcon_T350_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T350C_xB0p040_400cube_dx0p1,cntcon_T350_xB0p040_strictref_exx_s000,350.0,623.15,0.04,0.0,11,1.4696544024128575,1.969654,1036.133151196312,8.914386324480008e-18,1.969654,1024.5042059105192,8.814336528076808e-18,1.369654,163.1393528945927,1.4035717463040013e-18,1.369654,151.51040760879994,1.3035219499008012e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p040_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.040/cntcon_T350_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T350C_xB0p045_400cube_dx0p1,cntcon_T350_xB0p045_strictref_exx_s000,350.0,623.15,0.045,0.0,11,1.4206604281479036,1.92066,981.3757446860682,8.443280197632008e-18,1.92066,966.6555535167445,8.316634823239688e-18,1.32066,156.52008273040076,1.3466227611648012e-18,1.32066,141.79989156107695,1.2199773867724811e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p045_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.045/cntcon_T350_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T350C_xB0p050_400cube_dx0p1,cntcon_T350_xB0p050_strictref_exx_s000,350.0,623.15,0.05,0.0,11,1.3835056686874436,1.883506,941.0566799943261,8.096394550272007e-18,1.883506,922.8836042473727,7.940042234234888e-18,1.283506,152.7927959696184,1.3145549964288012e-18,1.283506,134.6197202226647,1.158202680391681e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p050_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.050/cntcon_T350_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T360C_xB0p030_400cube_dx0p1,cntcon_T360_xB0p030_strictref_exx_s000,360.0,633.15,0.03,0.0,11,1.721924859429073,2.221925,1210.0998732003313,1.057818381312001e-17,2.221925,1203.6619695532029,1.052190636887041e-17,1.621925,208.8827708019025,1.8259652726784015e-18,1.621925,202.44486715477413,1.7696878284288017e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p030_400cube_dx0p1/raw/chel_T360_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.030/cntcon_T360_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T360C_xB0p035_400cube_dx0p1,cntcon_T360_xB0p035_strictref_exx_s000,360.0,633.15,0.035,0.0,11,1.616225224467164,2.116225,1093.2108380827142,9.55638906163201e-18,2.116225,1084.4466728751308,9.47977641784321e-18,1.516225,188.04180494695555,1.6437823202304017e-18,1.516225,179.2776397393721,1.5671696764416017e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p035_400cube_dx0p1/raw/chel_T360_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.035/cntcon_T360_xB0p035_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T360C_xB0p040_400cube_dx0p1,cntcon_T360_xB0p040_strictref_exx_s000,360.0,633.15,0.04,0.0,11,1.540983287436932,2.040983,1013.6010719221612,8.860473990144008e-18,2.040983,1002.1555890265365,8.760422395576329e-18,1.440983,174.95265943709882,1.5293625188352015e-18,1.440983,163.50717654147397,1.4293109242675213e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p040_400cube_dx0p1/raw/chel_T360_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.040/cntcon_T360_xB0p040_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T360C_xB0p045_400cube_dx0p1,cntcon_T360_xB0p045_strictref_exx_s000,360.0,633.15,0.045,0.0,11,1.4853580443755652,1.985358,956.6849874783163,8.362937533440008e-18,1.985358,942.1972876802209,8.236292159047688e-18,1.385358,166.72690299648278,1.4574564178944013e-18,1.385358,152.23920319838734,1.3308110435020812e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p045_400cube_dx0p1/raw/chel_T360_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.045/cntcon_T360_xB0p045_strictref_exx_s000_ref_matrix_only/reference_energy.csv
cnt_no_strain_T360C_xB0p050_400cube_dx0p1,cntcon_T360_xB0p050_strictref_exx_s000,360.0,633.15,0.05,0.0,11,1.4432046391493132,1.943205,914.6463506508674,7.995453462528009e-18,1.943205,896.7603012917673,7.839101146490889e-18,1.343205,161.81429317687918,1.4145124503552013e-18,1.343205,143.9282438177792,1.2581601343180812e-18,2.150400000000002e-13,3360000000.0,6.400000000000007e-23,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p050_400cube_dx0p1/raw/chel_T360_cuda_400x400x400_dt0.01_steps1_r0.000nm_xB0.050/cntcon_T360_xB0p050_strictref_exx_s000_ref_matrix_only/reference_energy.csv
