workflow_name,base_case_tag,case_tag,T_C,T_K,xB,strain,radius_nm,rc_schur_nm,Nx,Ny,Nz,dx_nm,gamma_J_m2,lambda_sm_m,w_phys_J_m3,V_box_m3,J_per_hat,F_total_excess_hat,DeltaG_excess_J,DeltaG_excess_eV,DeltaG_excess_kBT,DeltaF_excess_refsub_hat,DeltaG_excess_refsub_J,DeltaG_excess_refsub_eV,DeltaG_excess_refsub_kBT,F_total_CNT_hat,DeltaG_CNT_absolute_J,DeltaG_CNT_absolute_eV,DeltaG_CNT_absolute_kBT,F_total_ref_hat,DeltaF_CNT_refsub_hat,DeltaG_CNT_refsub_J,DeltaG_CNT_refsub_eV,DeltaG_CNT_refsub_kBT,reference_source,energy_csv,scale_source,volume_source,definition_note
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r1p128055,350.0,623.15,0.03,0.0,1.128055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,1.33314529e-05,2.866795631616003e-18,17.893130949355758,333.2121677815414,1.3069752445e-05,2.810519565772803e-18,17.541883373720474,326.6711120861066,6.39442853e-06,1.3750579110912013e-18,8.582436429984794,159.8251449551635,2.61700455e-07,6.132728075e-06,1.3187818452480012e-18,8.23118885434951,153.2840892597287,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r1.128nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r1p128055/energy_minimize_T350_r11.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r1p128055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r1p228055,350.0,623.15,0.03,0.0,1.228055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,1.58276413e-05,3.4035759851520037e-18,21.24345039694296,395.602993012236,1.5565940845000003e-05,3.3472999193088038e-18,20.892202821307677,389.0619373168012,6.91208794e-06,1.4863753906176016e-18,9.277225488594922,172.7637507824859,2.61700455e-07,6.650387485e-06,1.4300993247744015e-18,8.925977912959636,166.22269508705108,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r1.228nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r1p228055/energy_minimize_T350_r12.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r1p228055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r1p328055,350.0,623.15,0.03,0.0,1.328055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,1.85531222e-05,3.989663397888004e-18,24.901520301961938,463.72485532899714,1.8291421745000002e-05,3.933387332044804e-18,24.550272726326657,457.1837996335624,7.31126651e-06,1.5722147503104015e-18,9.812992631063434,182.74099464625377,2.61700455e-07,7.049566055e-06,1.5159386844672014e-18,9.461745055428148,176.19993895081896,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r1.328nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r1p328055/energy_minimize_T350_r13.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r1p328055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r1p428055,350.0,623.15,0.03,0.0,1.428055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,2.1511583e-05,4.6258508083200044e-18,28.872289797230962,537.669919221074,2.1249882545e-05,4.569574742476805e-18,28.521042221595682,531.1288635256392,7.56651682e-06,1.6271037769728017e-18,10.155582989065124,189.12083259490004,2.61700455e-07,7.304816365e-06,1.5708277111296016e-18,9.804335413429838,182.57977689946526,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r1.428nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r1p428055/energy_minimize_T350_r14.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r1p428055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r1p528055,350.0,623.15,0.03,0.0,1.528055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,2.47053881e-05,5.312646657024005e-18,33.15893231921896,617.4972815367554,2.4443687645000003e-05,5.256370591180806e-18,32.807684743583685,610.9562258413207,7.65239979e-06,1.6455720508416017e-18,10.270852888006864,191.26742913046724,2.61700455e-07,7.390699335e-06,1.5892959849984016e-18,9.91960531237158,184.72637343503243,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r1.528nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r1p528055/energy_minimize_T350_r15.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r1p528055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r1p628055,350.0,623.15,0.03,0.0,1.628055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,2.81377289e-05,6.050737222656006e-18,37.76573128238498,703.2867095242353,2.7876028445000003e-05,5.9944611568128065e-18,37.41448370674969,696.7456538288006,7.54348186e-06,1.6221503391744015e-18,10.124666062096631,188.54508672429344,2.61700455e-07,7.281781405e-06,1.5658742733312014e-18,9.773418486461347,182.00403102885866,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r1.628nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r1p628055/energy_minimize_T350_r16.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r1p628055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r1p728055,350.0,623.15,0.03,0.0,1.728055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,3.18117652e-05,6.840801988608007e-18,42.696927688486106,795.1171806074789,3.1550064745e-05,6.784525922764807e-18,42.34568011285082,788.5761249120441,7.2143306e-06,1.5513696522240015e-18,9.682887762199144,180.3181360914314,2.61700455e-07,6.952630145e-06,1.4950935863808014e-18,9.331640186563858,173.7770803959966,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r1.728nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r1p728055/energy_minimize_T350_r17.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r1p728055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r1p828055,350.0,623.15,0.03,0.0,1.828055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,3.5730172e-05,7.683416186880008e-18,47.956111853270286,893.0555549070973,3.5468471545e-05,7.627140121036807e-18,47.604864277634995,886.5144992116624,6.63952663e-06,1.4277638065152015e-18,8.911400754551272,165.95123412434452,2.61700455e-07,6.377826175e-06,1.3714877406720014e-18,8.560153178915986,159.41017842890972,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r1.828nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r1p828055/energy_minimize_T350_r18.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r1p828055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r1p928055,350.0,623.15,0.03,0.0,1.928055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,3.98962124e-05,8.579281514496009e-18,53.547663425080316,997.1833917724609,3.9634511945e-05,8.523005448652808e-18,53.196415849445025,990.642336077026,5.79365728e-06,1.2458680614912013e-18,7.7760968113781725,144.8092054281727,2.61700455e-07,5.531956825e-06,1.1895919956480012e-18,7.424849235742888,138.2681497327379,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r1.928nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r1p928055/energy_minimize_T350_r19.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r1p928055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r2p028055,350.0,623.15,0.03,0.0,2.028055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,4.43127536e-05,9.52901453414401e-18,59.47543068552834,1107.57235525509,4.4051053145e-05,9.472738468300809e-18,59.124183109893046,1101.031299559655,4.65131779e-06,1.000219377561601e-18,6.242878321502229,116.25707231405725,2.61700455e-07,4.389617335e-06,9.43943311718401e-19,5.891630745866944,109.71601661862245,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r2.028nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r2p028055/energy_minimize_T350_r20.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r2p028055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
cnt_no_strain_T350C_xB0p030_400cube_dx0p1,cntcon_T350_xB0p030_strictref_exx_s000,cntcon_T350_xB0p030_strictref_exx_s000_r2p128055,350.0,623.15,0.03,0.0,2.128055,1.6280547801363252,400,400,400,0.10000000000000002,0.168,6e-10,3360000000.0,6.400000000000007e-23,2.150400000000002e-13,4.89831431e-05,1.053333509222401e-17,65.74390656245215,1224.3061142348895,4.8721442644999996e-05,1.047705902638081e-17,65.39265898681687,1217.7650585394547,3.18712256e-06,6.853588353024007e-19,4.277673389801794,79.66033598656419,2.61700455e-07,2.925422105e-06,6.290827694592006e-19,3.926425814166509,73.1192802911294,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps1_r0.000nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_ref_matrix_only/reference_energy.csv,/data/home/luozhiheng/CUDA_STO_PF/Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/raw/chel_T350_cuda_400x400x400_dt0.03_steps30000_r2.128nm_xB0.030/cntcon_T350_xB0p030_strictref_exx_s000_r2p128055/energy_minimize_T350_r21.28_xB0.030_cntcon_T350_xB0p030_strictref_exx_s000_r2p128055.csv,physical_inputs.json,guide_cnt_scan.csv,excess=PF full-model excess baseline; excess_refsub=excess minus matrix-only reference; CNT_absolute=far-field chemical-potential CNT diagnostic; CNT_refsub=CNT_absolute minus matrix-only reference
