T_C,xB,curve_figure,r_fit_nm,DeltaG_fit_kBT,n_scan_points,fit_window_points
350,0.030,T350C_energy_curves_with_critical_radius.png,1.5243093885956347,184.7297777661947,11,5
350,0.035,T350C_energy_curves_with_critical_radius.png,1.442118787940986,165.04040981239945,11,5
350,0.040,T350C_energy_curves_with_critical_radius.png,1.3829904671517772,151.55321830604535,11,5
350,0.045,T350C_energy_curves_with_critical_radius.png,1.338991030083077,141.8805522590481,11,5
350,0.050,T350C_energy_curves_with_critical_radius.png,1.3055325312632797,134.7359295102184,11,5
360,0.030,T360C_energy_curves_with_critical_radius.png,1.6074110959374683,202.49539596832562,11,5
360,0.035,T360C_energy_curves_with_critical_radius.png,1.513825302842733,179.27901420689844,11,5
360,0.040,T360C_energy_curves_with_critical_radius.png,1.4468241265025024,163.51528967882368,11,5
360,0.045,T360C_energy_curves_with_critical_radius.png,1.397086404368615,152.2718167114054,11,5
360,0.050,T360C_energy_curves_with_critical_radius.png,1.35927683546755,143.98934517400937,11,5
370,0.030,T370C_energy_curves_with_critical_radius.png,1.700099406664401,223.3324462919135,11,5
370,0.035,T370C_energy_curves_with_critical_radius.png,1.593036234686998,195.746626667335,11,5
370,0.040,T370C_energy_curves_with_critical_radius.png,1.5168374698922287,177.20741956235918,11,5
370,0.045,T370C_energy_curves_with_critical_radius.png,1.4604512622214325,164.07137018516494,11,5
370,0.050,T370C_energy_curves_with_critical_radius.png,1.4176360210533567,154.43022254415902,11,5
380,0.030,T380C_energy_curves_with_critical_radius.png,1.8041405357509452,247.9994942507156,11,5
380,0.035,T380C_energy_curves_with_critical_radius.png,1.6809972393469197,214.9373060170031,11,5
380,0.040,T380C_energy_curves_with_critical_radius.png,1.5939715010607873,192.98136917711804,11,5
380,0.045,T380C_energy_curves_with_critical_radius.png,1.5298383916409395,177.54561711856013,11,5
380,0.050,T380C_energy_curves_with_critical_radius.png,1.4812323188998908,166.2700736338555,11,5
390,0.030,T390C_energy_curves_with_critical_radius.png,1.9217588567356818,277.50576544386246,11,5
390,0.035,T390C_energy_curves_with_critical_radius.png,1.7792448371366523,237.4902087359412,11,5
390,0.040,T390C_energy_curves_with_critical_radius.png,1.6793715359379686,211.28225808782852,11,5
390,0.045,T390C_energy_curves_with_critical_radius.png,1.606145786665752,193.0261232348158,11,5
390,0.050,T390C_energy_curves_with_critical_radius.png,1.5507987496231503,179.767929760808,11,5
400,0.030,T400C_energy_curves_with_critical_radius.png,2.05581238030185,313.22584129063233,11,5
400,0.035,T400C_energy_curves_with_critical_radius.png,1.8897023169983012,264.2516851599475,11,5
400,0.040,T400C_energy_curves_with_critical_radius.png,1.774447669789677,232.68881599266672,11,5
400,0.045,T400C_energy_curves_with_critical_radius.png,1.6904681844526943,210.9382715654386,11,5
400,0.050,T400C_energy_curves_with_critical_radius.png,1.6272253276446536,195.25393512259816,11,5
410,0.030,T410C_energy_curves_with_critical_radius.png,2.210026225567085,357.06104167167274,11,5
410,0.035,T410C_energy_curves_with_critical_radius.png,2.014804611396465,296.350945441711,11,5
410,0.040,T410C_energy_curves_with_critical_radius.png,1.8809451462914317,257.9526399829463,11,5
410,0.045,T410C_energy_curves_with_critical_radius.png,1.7841418660306934,231.82320614239154,11,5
410,0.050,T410C_energy_curves_with_critical_radius.png,1.7115768144477435,213.14027699406256,11,5
420,0.030,T420C_energy_curves_with_critical_radius.png,2.389357888352289,411.71043265834163,11,5
420,0.035,T420C_energy_curves_with_critical_radius.png,2.1576877149050744,335.32905790813857,11,5
420,0.040,T420C_energy_curves_with_critical_radius.png,2.0010624376727013,288.0715527617022,11,5
420,0.045,T420C_energy_curves_with_critical_radius.png,1.8888164829666874,256.38467294904126,11,5
420,0.050,T420C_energy_curves_with_critical_radius.png,1.8051584998582084,233.95484582215954,11,5
430,0.030,T430C_energy_curves_with_critical_radius.png,2.6005628596413892,481.1118681001001,11,5
430,0.035,T430C_energy_curves_with_critical_radius.png,2.322463905960162,383.3331890649861,11,5
430,0.040,T430C_energy_curves_with_critical_radius.png,2.137605968725003,324.3921888477823,11,5
430,0.045,T430C_energy_curves_with_critical_radius.png,2.006558681807633,285.5503127396255,11,5
430,0.050,T430C_energy_curves_with_critical_radius.png,1.9095780159058342,258.38095230268505,11,5
440,0.030,T440C_energy_curves_with_critical_radius.png,2.853122660273303,571.2022697472717,11,5
440,0.035,T440C_energy_curves_with_critical_radius.png,2.514636999933351,443.42975938885354,11,5
440,0.040,T440C_energy_curves_with_critical_radius.png,2.2942172244763794,368.76847381449767,11,5
440,0.045,T440C_energy_curves_with_critical_radius.png,2.139992873003767,320.56356312617527,11,5
440,0.050,T440C_energy_curves_with_critical_radius.png,2.0268397887369227,287.3159297814736,11,5
450,0.030,T450C_energy_curves_with_critical_radius.png,3.160818417309519,691.2942193353944,11,4
450,0.035,T450C_energy_curves_with_critical_radius.png,2.7417631051252758,520.1274501705127,11,5
450,0.040,T450C_energy_curves_with_critical_radius.png,2.4757161795137255,423.8118264424627,11,5
450,0.045,T450C_energy_curves_with_critical_radius.png,2.2925032761318587,363.1230697602831,11,5
450,0.050,T450C_energy_curves_with_critical_radius.png,2.1594834373590994,321.95765809221865,11,5
