T_C,xB,rc_schur_nm,rc_fit_nm,delta_fit_minus_schur_nm,F_CNT_fit_hat_excess,DeltaG_CNT_refsub_kBT,DeltaG_CNT_refsub_J,peak_radius_physical_nm,fit_method,status,fitted_table
350.0,0.03,1.6280547801363252,1.5243093885956347,-0.10374539154069051,7.390835538551173e-06,184.72637343503243,1.5892959849984016e-18,1.528055,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
350.0,0.035,1.5357367772513788,1.442118787940986,-0.09361798931039278,6.603085549544524e-06,165.03057238805644,1.4198428801536013e-18,1.435737,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
350.0,0.04,1.4696544024128575,1.3829904671517772,-0.0866639352610803,6.063477828982168e-06,151.51040760879994,1.3035219499008012e-18,1.369654,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
350.0,0.045,1.4206604281479036,1.338991030083077,-0.08166939806482665,5.676485082944411e-06,141.79989156107695,1.2199773867724811e-18,1.32066,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
350.0,0.05,1.3835056686874436,1.3055325312632797,-0.0779731374241639,5.390636572974219e-06,134.6197202226647,1.158202680391681e-18,1.283506,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T350C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
360.0,0.03,1.721924859429073,1.6074110959374683,-0.11451376349160469,8.231629139004309e-06,202.44486715477413,1.7696878284288017e-18,1.621925,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
360.0,0.035,1.616225224467164,1.513825302842733,-0.1023999216244309,7.2878612884033735e-06,179.2776397393721,1.5671696764416017e-18,1.516225,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
360.0,0.04,1.540983287436932,1.4468241265025024,-0.09415916093442966,6.647050994697566e-06,163.50717654147397,1.4293109242675213e-18,1.440983,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
360.0,0.045,1.4853580443755652,1.397086404368615,-0.08827164000695009,6.1899931971134455e-06,152.23920319838734,1.3308110435020812e-18,1.385358,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p045_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
360.0,0.05,1.4432046391493132,1.35927683546755,-0.08392780368176322,5.853302904851848e-06,143.9282438177792,1.2581601343180812e-18,1.343205,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T360C_xB0p050_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
370.0,0.03,1.8272819412731849,1.700099406664401,-0.12718253460878381,9.222063925019867e-06,223.15717396485095,1.981556270561282e-18,1.727282,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T370C_xB0p030_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
370.0,0.035,1.7056171557158761,1.593036234686998,-0.11258092102887818,8.08296301860964e-06,195.70928004503872,1.7378287428096017e-18,1.605617,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T370C_xB0p035_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
370.0,0.04,1.61958917595627,1.5168374698922287,-0.10275170606404127,7.317423770372518e-06,177.20564034082855,1.5735230087270417e-18,1.519589,poly4,complete_peak_found,Results/workflows/no_strain_400cube_dx0p1_cnt_sweep/cnt_no_strain_T370C_xB0p040_400cube_dx0p1/cnt_scan/current_results_master_table_fitted.csv
