case,time_h,particle_count,mean_R_nm,matrix_xAg,mass_drift,status
V2-A_tanh_elastic_off,0,96,~9.6,0.00620072,reported_pass,FROZEN_EXISTING_V2
V2-A_tanh_elastic_off,1,96,NOT_REEXTRACTED,NOT_REEXTRACTED,NOT_REEXTRACTED,FROZEN_REPORT_ONLY
V2-A_tanh_elastic_off,6,96,NOT_REEXTRACTED,NOT_REEXTRACTED,reported_pass,FROZEN_EXISTING_V2
V2-B_local_elastic_off,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,BLOCKED_PROFILE_EQUILIBRATION_METHOD
V2-B_local_elastic_off,1,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,BLOCKED_PROFILE_EQUILIBRATION_METHOD
V2-B_local_elastic_off,6,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,BLOCKED_PROFILE_EQUILIBRATION_METHOD
V2-C_local_elastic_on,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,BLOCKED_PROFILE_EQUILIBRATION_METHOD
V2-C_local_elastic_on,1,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,BLOCKED_PROFILE_EQUILIBRATION_METHOD
V2-C_local_elastic_on,6,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,BLOCKED_PROFILE_EQUILIBRATION_METHOD
V2-B_local_elastic_off,0.0001761648,3,9.6479276,0.004721308,3.2566542e-15,ISOLATED_EXTENSION_128_STEP
V2-C_local_elastic_on,0.0001761648,3,9.6318099,0.004787128,6.0651073e-15,ISOLATED_EXTENSION_128_STEP
