R_nm,xAg_far,xB_far,post_relax_window_s,dvf_dt_per_s,sign,status
6,0.0058,0.005816868886,1.902578,1.495e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
6,0.0066,0.006621852109,1.902578,4.071e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
8,0.0058,0.005816868886,2.536771,-4.330e-07,negative,BRANCH_PASS_SHORT_BRACKET_ENDPOINT
8,0.0066,0.006621852109,2.536771,1.431e-07,positive,BRANCH_PASS_SHORT_BRACKET_ENDPOINT
10,0.0058,0.005816868886,1.902578,3.711e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
10,0.0066,0.006621852109,1.902578,6.055e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
12,0.0058,0.005816868886,0.634193,1.057e-05,positive,BRANCH_PASS_SHORT_NOT_ROOT
12,0.0066,0.006621852109,0.634193,8.532e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
14,0.0058,0.005816868886,0.634193,7.543e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
14,0.0066,0.006621852109,0.634193,5.529e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
16,0.0058,0.005816868886,0.634193,5.367e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
16,0.0066,0.006621852109,0.634193,3.390e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
20,0.0058,0.005816868886,0.634193,2.829e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
20,0.0066,0.006621852109,0.634193,1.021e-06,positive,BRANCH_PASS_SHORT_NOT_ROOT
8,0.0058,0.005816868886,20.294162,-3.544e-07,negative,BRANCH_PASS_LONG_DYNAMIC_40S_NOT_ROOT
