age_h,hard_gate_1e_minus_6,reconstructed_elastic_energy,relative_energy_error,replicate,runtime_diagnostic_final_step,runtime_diagnostic_path,runtime_diagnostic_sha256,runtime_max_elastic_energy,runtime_mean_elastic_energy,status,step
6.0,,NOT_COMPUTABLE,NOT_COMPUTABLE,A,,,,,NOT_RECORDED,NOT_RECOVERABLE,0
12.0,NOT_EVALUABLE,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,A,21798,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/segments/step_21798/dynamics_mass_diagnostics.csv,9766f191495e2ca52bfd76a9299560ece4a759afbc69960e367a612617ae546a,3.5818138738e-02,1.0696018252e-03,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,21798
18.0,NOT_EVALUABLE,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,A,43596,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/segments/step_43596/dynamics_mass_diagnostics.csv,d79e155f3683cc0aafc2b6d80e5bba1c55f7e7b02dcd2f0b02c48b6cb4c85ac0,3.3896449361e-02,1.0688886054e-03,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,43596
24.0,NOT_EVALUABLE,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,A,65393,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/segments/step_65393/dynamics_mass_diagnostics.csv,8a25fd5626e695cd1f508b163a778a552a5cfb4302062c37d2b83c63e2039bab,3.3822207180e-02,1.0700689486e-03,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,65393
36.0,NOT_EVALUABLE,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,A,108989,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/segments/step_108989/dynamics_mass_diagnostics.csv,db8010f49b7954cdb8a9e2a5c04457a9bc6e6ad0a47fad6e2b7f563dccc82a98,3.2158274855e-02,1.0715294759e-03,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,108989
48.0,NOT_EVALUABLE,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,A,152585,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/segments/step_152585/dynamics_mass_diagnostics.csv,96ed8954c6d840ca16e3ac7e729b004eeb019e4fc3928dd8b12bce6df6ad47d2,3.1896659312e-02,1.0755838382e-03,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,152585
6.0,,NOT_COMPUTABLE,NOT_COMPUTABLE,B,,,,,NOT_RECORDED,NOT_RECOVERABLE,0
12.0,NOT_EVALUABLE,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,B,21798,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/segments/step_21798/dynamics_mass_diagnostics.csv,6d899ca517f6b388194aec54dbd86a52bdc3091b0e1de5d3ca05427c898e7759,3.6035918921e-02,1.0808032120e-03,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,21798
18.0,NOT_EVALUABLE,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,B,43596,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/segments/step_43596/dynamics_mass_diagnostics.csv,c9d868eaa9f6eb5c5688ae2169d85b9445b58455ce3534e69e7840c8686a36d2,3.3704581946e-02,1.0794552744e-03,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,43596
24.0,NOT_EVALUABLE,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,NOT_COMPUTABLE_WITH_EXACT_TIME_LEVEL,B,65393,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/segments/step_65393/dynamics_mass_diagnostics.csv,c4e997d386997e39a6e806a5bf908fddd0b10a571af03a5598415e9df7332a8f,3.3732715092e-02,1.0826353135e-03,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,65393
