CV_requested,minimum_R_nm,minimum_class,minimum_equivalent_N,minimum_kappa_W_mK,range
0.0,20.5,RESOLVED_CONTINUUM_TRANSPORT_DIAGNOSTIC_NOT_CURRENTLY_PROFILE_LIBRARY_QUALIFIED,9.871646071306786,1.2960071108433275,global
0.0,20.5,RESOLVED_CONTINUUM_TRANSPORT_DIAGNOSTIC_NOT_CURRENTLY_PROFILE_LIBRARY_QUALIFIED,9.871646071306786,1.2960071108433275,resolved
0.0,11.5,CURRENT_PROFILE_LIBRARY_REALIZABLE,55.91877364021822,1.2972533768225594,library
0.15,19.5,RESOLVED_CONTINUUM_TRANSPORT_DIAGNOSTIC_NOT_CURRENTLY_PROFILE_LIBRARY_QUALIFIED,10.728953801167679,1.2960263140042347,global
0.15,19.5,RESOLVED_CONTINUUM_TRANSPORT_DIAGNOSTIC_NOT_CURRENTLY_PROFILE_LIBRARY_QUALIFIED,10.728953801167679,1.2960263140042347,resolved
0.15,11.5,CURRENT_PROFILE_LIBRARY_REALIZABLE,52.307948593035704,1.2970654980842518,library
0.3,16.8,RESOLVED_CONTINUUM_TRANSPORT_DIAGNOSTIC_NOT_CURRENTLY_PROFILE_LIBRARY_QUALIFIED,13.849810153773515,1.2961101953354495,global
0.3,16.8,RESOLVED_CONTINUUM_TRANSPORT_DIAGNOSTIC_NOT_CURRENTLY_PROFILE_LIBRARY_QUALIFIED,13.849810153773515,1.2961101953354495,resolved
0.3,11.5,CURRENT_PROFILE_LIBRARY_REALIZABLE,43.17955323025064,1.296649917113291,library
0.5,12.1,RESOLVED_CONTINUUM_TRANSPORT_DIAGNOSTIC_NOT_CURRENTLY_PROFILE_LIBRARY_QUALIFIED,24.579045264799944,1.2963811865278982,global
0.5,12.1,RESOLVED_CONTINUUM_TRANSPORT_DIAGNOSTIC_NOT_CURRENTLY_PROFILE_LIBRARY_QUALIFIED,24.579045264799944,1.2963811865278982,resolved
0.5,11.5,CURRENT_PROFILE_LIBRARY_REALIZABLE,28.630412103791745,1.2963912408642373,library
