age_h,checkpoint_hash_verified,checkpoint_path,checkpoint_schema,checkpoint_sha256,elastic_last_iterations,elastic_last_relative_residual,elastic_warm_state_present,exact_source_field_checkpoint_available,grid,header_bytes,reason,reconstruction_status,replicate,source_checkpoint_path,source_field_step,source_field_step_contract,step
6.0,not_applicable,,INITIAL_FIXTURE_RAW_FIELDS,,,,,False,,,6 h fixture has phi/Y/xB/dY_dt_prev but no converged assembled-cell displacement/eigenstrain/stress/energy field.,NOT_RECOVERABLE_INITIAL_FIXTURE_HAS_NO_ASSEMBLED_CELL_ELASTIC_STATE,A,,,,0
12.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_21798.chk,PFZMCHK4,e37a24a29d040aff3b43528744a2d41b6d9c959141df954700ada23bfca248e7,4,5.121543603171465e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,A,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_21797.chk,21797,accepted_step_minus_one,21798
18.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_43596.chk,PFZMCHK4,b5bb6847d1e687ad8d29d8ad1f810babe4bcad7b4d9e4e9faeaf0c65f0eb320f,3,8.110427386087809e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,A,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_43595.chk,43595,accepted_step_minus_one,43596
24.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_65393.chk,PFZMCHK4,eb01f76ff004b14cdd12f8fe15eb348ff72309a01d0c98a0cb32143e253a3db2,3,9.086192762421938e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,A,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_65392.chk,65392,accepted_step_minus_one,65393
36.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_108989.chk,PFZMCHK4,72966d6ccdc040524a00b69aa58b601189e2e06e7d48a22ae4c39be252c4b59a,3,2.634208518725041e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,A,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_108988.chk,108988,accepted_step_minus_one,108989
48.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_152585.chk,PFZMCHK4,1ef8a1bb8745e9a4efc000faa29975a71df875ab3b6fc4b141dee29dfcba54ea,2,8.665509852639105e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,A,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_A_v1_20260801/checkpoints/step_152584.chk,152584,accepted_step_minus_one,152585
6.0,not_applicable,,INITIAL_FIXTURE_RAW_FIELDS,,,,,False,,,6 h fixture has phi/Y/xB/dY_dt_prev but no converged assembled-cell displacement/eigenstrain/stress/energy field.,NOT_RECOVERABLE_INITIAL_FIXTURE_HAS_NO_ASSEMBLED_CELL_ELASTIC_STATE,B,,,,0
12.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_21798.chk,PFZMCHK4,64dd92d51af0515aaa7a028d198a17474aa68c2e72d3ed71438d6bd1a15391a9,3,8.325737218219365e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,B,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_21797.chk,21797,accepted_step_minus_one,21798
18.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_43596.chk,PFZMCHK4,5f0707b4e91c8307b259922184ca4be38e8a7f42d8395315cd55881ef8c5c6cb,3,5.190430709695794e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,B,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_43595.chk,43595,accepted_step_minus_one,43596
24.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_65393.chk,PFZMCHK4,55e19bd069bff4a8917409422b01b497751ed93da3517bdb8621654ba0469589,3,5.9982793043911e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,B,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_65392.chk,65392,accepted_step_minus_one,65393
36.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_108989.chk,PFZMCHK4,f79844ab4aca4c7eba9001bb1b2a319be09fe2925612b7febd0110e8cf5b75c4,3,2.709488433254222e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,B,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_108988.chk,108988,accepted_step_minus_one,108989
48.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_152585.chk,PFZMCHK4,1f9a1352db6b56528e08af1bc6dc3d119a8cdad81a44e0e2b74ea1bcbc32c133,3,6.150886491572412e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,B,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_B_v1_20260801/checkpoints/step_152584.chk,152584,accepted_step_minus_one,152585
6.0,not_applicable,,INITIAL_FIXTURE_RAW_FIELDS,,,,,False,,,6 h fixture has phi/Y/xB/dY_dt_prev but no converged assembled-cell displacement/eigenstrain/stress/energy field.,NOT_RECOVERABLE_INITIAL_FIXTURE_HAS_NO_ASSEMBLED_CELL_ELASTIC_STATE,C,,,,0
12.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_C_v1_20260801/checkpoints/step_21798.chk,PFZMCHK4,0e3e881d6e1c9834b8df216cfb570bb569dd6720a1d97e7fecb6988a490306dc,4,3.492475710178636e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,C,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_C_v1_20260801/checkpoints/step_21797.chk,21797,accepted_step_minus_one,21798
18.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_C_v1_20260801/checkpoints/step_43596.chk,PFZMCHK4,042daefae7b3405385531a4f1485bedd81e42c9070cde59ce329b091fd5c2a1d,4,3.0018284178172413e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,C,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_C_v1_20260801/checkpoints/step_43595.chk,43595,accepted_step_minus_one,43596
24.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_C_v1_20260801/checkpoints/step_65393.chk,PFZMCHK4,3b69327dd4ffc28119f0d2e09a6e9e9a665bed8f6e31f225d543b405bda29738,3,5.276954805411119e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,C,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_C_v1_20260801/checkpoints/step_65392.chk,65392,accepted_step_minus_one,65393
36.0,,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_C_v1_20260801/checkpoints/step_108989.chk,PFZMCHK4,a156fc045602428cea4c34ef0c13deff4576d7caa3c5acefa3addda303f24391,3,3.32755405061652e-07,True,False,246x246x246,904,V4 holds displacement_k for source n-1 but not the matching phi/xB/eigenstrain fields.,NOT_RECOVERABLE_SOURCE_FIELD_STEP_NOT_SAVED,C,/data/home/luozhiheng/tmp/pf_246cube_6h48h_quarter_nm_method1_C_v1_20260801/checkpoints/step_108988.chk,108988,accepted_step_minus_one,108989
