age_h,max_elastic_energy,mean_elastic_energy,replicate,status,step,stress_hydro_max,stress_hydro_min
12.0,3.5818138738e-02,1.0696018252e-03,A,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,21798,3.5484215021e+00,-3.4363213181e+00
18.0,3.3896449361e-02,1.0688886054e-03,A,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,43596,3.9352255464e+00,-3.5863197446e+00
24.0,3.3822207180e-02,1.0700689486e-03,A,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,65393,4.0458785892e+00,-3.7061823606e+00
36.0,3.2158274855e-02,1.0715294759e-03,A,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,108989,4.1895524859e+00,-3.7829266191e+00
48.0,3.1896659312e-02,1.0755838382e-03,A,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,152585,4.2589364052e+00,-3.8841402531e+00
12.0,3.6035918921e-02,1.0808032120e-03,B,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,21798,3.4715995789e+00,-3.3978301287e+00
18.0,3.3704581946e-02,1.0794552744e-03,B,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,43596,3.6192901731e+00,-3.4892948866e+00
24.0,3.3732715092e-02,1.0826353135e-03,B,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,65393,3.8407750130e+00,-3.5784521103e+00
36.0,3.2727084889e-02,1.0794961910e-03,B,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,108989,3.9884846210e+00,-3.7347703576e+00
48.0,3.3992300686e-02,1.0689129492e-03,B,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,152585,4.1778181791e+00,-3.8182033300e+00
12.0,3.5111328475e-02,1.0770618043e-03,C,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,21798,3.5924648046e+00,-3.4246421456e+00
18.0,3.5512310729e-02,1.0640783071e-03,C,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,43596,3.9017077088e+00,-3.6170037985e+00
24.0,3.2276438140e-02,1.0654247435e-03,C,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,65393,4.0580936074e+00,-3.7376100421e+00
36.0,3.2086678028e-02,1.0599888609e-03,C,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,108989,4.3036412597e+00,-3.8175695539e+00
48.0,3.2084597953e-02,1.0685974006e-03,C,RUNTIME_SCALAR_ONLY_NOT_RECONSTRUCTED_FIELD,152585,4.4240067601e+00,-3.9176250696e+00
