metric,ratio_48h_over_6h,replicate,status
hydrostatic_strain_variance,NOT_COMPUTABLE,A,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
deviatoric_strain_variance,NOT_COMPUTABLE,A,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
hydrostatic_stress_variance,NOT_COMPUTABLE,A,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
elastic_energy,NOT_COMPUTABLE,A,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
low_q_power,NOT_COMPUTABLE,A,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
mid_q_power,NOT_COMPUTABLE,A,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
high_q_power,NOT_COMPUTABLE,A,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
hydrostatic_strain_variance,NOT_COMPUTABLE,B,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
deviatoric_strain_variance,NOT_COMPUTABLE,B,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
hydrostatic_stress_variance,NOT_COMPUTABLE,B,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
elastic_energy,NOT_COMPUTABLE,B,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
low_q_power,NOT_COMPUTABLE,B,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
mid_q_power,NOT_COMPUTABLE,B,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
high_q_power,NOT_COMPUTABLE,B,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
hydrostatic_strain_variance,NOT_COMPUTABLE,C,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
deviatoric_strain_variance,NOT_COMPUTABLE,C,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
hydrostatic_stress_variance,NOT_COMPUTABLE,C,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
elastic_energy,NOT_COMPUTABLE,C,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
low_q_power,NOT_COMPUTABLE,C,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
mid_q_power,NOT_COMPUTABLE,C,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
high_q_power,NOT_COMPUTABLE,C,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
hydrostatic_strain_variance,NOT_COMPUTABLE,ensemble,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
deviatoric_strain_variance,NOT_COMPUTABLE,ensemble,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
hydrostatic_stress_variance,NOT_COMPUTABLE,ensemble,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
elastic_energy,NOT_COMPUTABLE,ensemble,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
low_q_power,NOT_COMPUTABLE,ensemble,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
mid_q_power,NOT_COMPUTABLE,ensemble,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
high_q_power,NOT_COMPUTABLE,ensemble,INCONCLUSIVE_STRAIN_FIELDS_NOT_RECOVERABLE
