case_id,version,feature_mask,dt_id,requested_steps,completed_steps,returncode,status,wall_seconds,macro_hard_rejects,internal_trial_rejects,fallback_macros,homotopy_triggers,homotopy_level_failures,plateau_triggers,fraction_to_boundary_calls,nonlinear_p50,nonlinear_p95,nonlinear_p99,nonlinear_max,line_search_p99,min_lambda,max_accepted_residual,max_abs_mass_error,first_reject_step,first_failure,first_failure_residual,rollback_bitwise_pass,teardown_or_runtime_signal,production_gate_qualified
V0_dt16_20steps,V0,0,dt16,20,20,0,COMPLETE,5.48754692077636719e-01,0,0,0,0,0,0,0,6.00000000000000000e+00,7.00000000000000000e+00,7.00000000000000000e+00,7,NA,0.00000000000000000e+00,8.74670141647600619e-11,2.13162820728030056e-14,NA,NA,NA,True,none,False
V0_dt16_8000steps,V0,0,dt16,8000,8000,0,COMPLETE,1.51566303014755249e+02,0,0,0,0,0,0,0,3.00000000000000000e+00,4.00000000000000000e+00,3.70000000000000000e+01,55,NA,0.00000000000000000e+00,9.99804920382472416e-11,9.94759830064140260e-13,NA,NA,NA,True,none,False
V0_dt2_1000steps,V0,0,dt2,1000,1000,0,COMPLETE,7.46486160755157471e+01,0,3,3,0,0,0,0,1.00000000000000000e+01,1.55000000000000000e+02,1.81000000000000000e+02,245,NA,0.00000000000000000e+00,1.00002821070499799e-10,9.80548975348938257e-13,690,transport_line_search_stagnation,5.97399764885119023e-08,True,none,False
V0_dt4_2000steps,V0,0,dt4,2000,2000,0,COMPLETE,7.08483245372772217e+01,0,0,0,0,0,0,0,1.50000000000000000e+01,2.80000000000000000e+01,9.50000000000000000e+01,124,NA,0.00000000000000000e+00,9.99937745452305975e-11,8.95283847057726234e-13,NA,NA,NA,True,none,False
V0_dt8_4000steps,V0,0,dt8,4000,1005,139,FAILED,1.49417490959167480e+01,0,0,0,0,0,0,0,5.00000000000000000e+00,7.00000000000000000e+00,8.00000000000000000e+00,12,NA,0.00000000000000000e+00,9.98226564781803740e-11,2.13162820728030056e-14,NA,NA,NA,True,SIGSEGV_RC139,False
V1_dt16_20steps,V1,1,dt16,20,20,0,COMPLETE,5.54664373397827148e-01,0,0,0,0,0,0,0,6.00000000000000000e+00,7.00000000000000000e+00,7.00000000000000000e+00,7,7.00000000000000000e+00,0.00000000000000000e+00,8.74670141647600619e-11,2.13162820728030056e-14,NA,NA,NA,True,none,False
V1_dt4_2000steps,V1,1,dt4,2000,1324,2,FAILED,2.71535279750823975e+01,0,0,0,0,0,4,0,1.50000000000000000e+01,2.80000000000000000e+01,2.80000000000000000e+01,47,2.80000000000000000e+01,0.00000000000000000e+00,9.99937745452305975e-11,2.13162820728030056e-14,1325,transport_line_search_stagnation,6.36801564500386729e-06,True,none,False
V2_dt16_20steps,V2,3,dt16,20,20,0,COMPLETE,5.30225753784179688e-01,0,0,0,0,0,0,0,6.00000000000000000e+00,7.00000000000000000e+00,7.00000000000000000e+00,7,7.00000000000000000e+00,0.00000000000000000e+00,8.74670141647600619e-11,2.13162820728030056e-14,NA,NA,NA,True,none,False
V2_dt4_2000steps,V2,3,dt4,2000,1324,2,FAILED,2.73135254383087158e+01,0,0,0,0,0,4,128,1.50000000000000000e+01,2.80000000000000000e+01,2.80000000000000000e+01,47,2.80000000000000000e+01,0.00000000000000000e+00,9.99937745452305975e-11,2.13162820728030056e-14,1325,transport_line_search_stagnation,1.30639410255987128e-10,True,none,False
V3_dt16_20steps,V3,7,dt16,20,20,0,COMPLETE,5.45091867446899414e-01,0,0,0,0,0,0,0,6.00000000000000000e+00,7.00000000000000000e+00,7.00000000000000000e+00,7,7.00000000000000000e+00,0.00000000000000000e+00,8.74670141647600619e-11,2.13162820728030056e-14,NA,NA,NA,True,none,False
