allocation_call_id,call_kind,source_file,source_line,source_expression,active_path_classification
SRC0001,DEVICE_ALLOC,main_cuda.cu,11720,"CUDA_CHECK(cudaMalloc((void **)&d_local_indices, (size_t)n_local * sizeof(int)));         CUDA_CHECK(cudaMalloc((void **)&d_phi_local, (size_t)n_local * sizeof(double)));         CUDA_CHECK(cudaMalloc((void **)&d_xB_local, (size_t)n_local * sizeof(double)));",CONDITIONAL_OR_NON_PF_PATH
SRC0002,DEVICE_ALLOC,main_cuda.cu,11721,"CUDA_CHECK(cudaMalloc((void **)&d_phi_local, (size_t)n_local * sizeof(double)));         CUDA_CHECK(cudaMalloc((void **)&d_xB_local, (size_t)n_local * sizeof(double)));         CUDA_CHECK(cudaMalloc((void **)&d_Y_local, (size_t)n_local * sizeof(double)));",CONDITIONAL_OR_NON_PF_PATH
SRC0003,DEVICE_ALLOC,main_cuda.cu,11722,"CUDA_CHECK(cudaMalloc((void **)&d_xB_local, (size_t)n_local * sizeof(double)));         CUDA_CHECK(cudaMalloc((void **)&d_Y_local, (size_t)n_local * sizeof(double)));         CUDA_CHECK(cudaMemcpy(d_local_indices, local_indices.data(),",CONDITIONAL_OR_NON_PF_PATH
SRC0004,DEVICE_ALLOC,main_cuda.cu,11723,"CUDA_CHECK(cudaMalloc((void **)&d_Y_local, (size_t)n_local * sizeof(double)));         CUDA_CHECK(cudaMemcpy(d_local_indices, local_indices.data(),                               (size_t)n_local * sizeof(int), cudaMemcpyHostToDevice));",CONDITIONAL_OR_NON_PF_PATH
SRC0005,DEVICE_FREE,main_cuda.cu,11823,cudaFree(d_local_indices);         cudaFree(d_phi_local);         cudaFree(d_xB_local);,CONDITIONAL_OR_NON_PF_PATH
SRC0006,DEVICE_FREE,main_cuda.cu,11824,cudaFree(d_phi_local);         cudaFree(d_xB_local);         cudaFree(d_Y_local);,CONDITIONAL_OR_NON_PF_PATH
SRC0007,DEVICE_FREE,main_cuda.cu,11825,cudaFree(d_xB_local);         cudaFree(d_Y_local);         if (dense_due) {,CONDITIONAL_OR_NON_PF_PATH
SRC0008,DEVICE_FREE,main_cuda.cu,11826,cudaFree(d_Y_local);         if (dense_due) {             diagnostic_rsmd_write_state_summary_device(,CONDITIONAL_OR_NON_PF_PATH
SRC0009,DEVICE_ALLOC,main_cuda.cu,17685,"CUDA_CHECK(cudaMalloc(&d_centers, centers_bytes));     CUDA_CHECK(cudaMemcpy(d_centers, centers, centers_bytes, cudaMemcpyHostToDevice));",CONDITIONAL_OR_NON_PF_PATH
SRC0010,DEVICE_ALLOC,main_cuda.cu,17690,"CUDA_CHECK(cudaMalloc(&d_rot_mats, rot_bytes));         CUDA_CHECK(cudaMemcpy(d_rot_mats, rot_mats, rot_bytes, cudaMemcpyHostToDevice));     }",CONDITIONAL_OR_NON_PF_PATH
SRC0011,DEVICE_ALLOC,main_cuda.cu,17694,"CUDA_CHECK(cudaMalloc(&d_phi_tmp, size_r));     CUDA_CHECK(cudaMalloc(&d_xB_tmp,  size_r));     if (Y_r) {",CONDITIONAL_OR_NON_PF_PATH
SRC0012,DEVICE_ALLOC,main_cuda.cu,17695,"CUDA_CHECK(cudaMalloc(&d_xB_tmp,  size_r));     if (Y_r) {         CUDA_CHECK(cudaMalloc(&d_Y_tmp, size_r));",CONDITIONAL_OR_NON_PF_PATH
SRC0013,DEVICE_ALLOC,main_cuda.cu,17697,"CUDA_CHECK(cudaMalloc(&d_Y_tmp, size_r));     }",CONDITIONAL_OR_NON_PF_PATH
SRC0014,DEVICE_FREE,main_cuda.cu,17812,if (d_Y_tmp) CUDA_CHECK(cudaFree(d_Y_tmp));     CUDA_CHECK(cudaFree(d_xB_tmp));     CUDA_CHECK(cudaFree(d_phi_tmp));,CONDITIONAL_OR_NON_PF_PATH
SRC0015,DEVICE_FREE,main_cuda.cu,17813,CUDA_CHECK(cudaFree(d_xB_tmp));     CUDA_CHECK(cudaFree(d_phi_tmp));     if (d_rot_mats) CUDA_CHECK(cudaFree(d_rot_mats));,CONDITIONAL_OR_NON_PF_PATH
SRC0016,DEVICE_FREE,main_cuda.cu,17814,CUDA_CHECK(cudaFree(d_phi_tmp));     if (d_rot_mats) CUDA_CHECK(cudaFree(d_rot_mats));     CUDA_CHECK(cudaFree(d_centers));,CONDITIONAL_OR_NON_PF_PATH
SRC0017,DEVICE_FREE,main_cuda.cu,17815,if (d_rot_mats) CUDA_CHECK(cudaFree(d_rot_mats));     CUDA_CHECK(cudaFree(d_centers));,CONDITIONAL_OR_NON_PF_PATH
