name,dtype,bytes_per_element,count,allocation,first_use,last_use,lifetime,aliasable,rollback,checkpoint,fft,mechanics,gp,condition,bytes_at_400cube,optimized_lifetime,optimization
d_bbox_mins,int32,4,3,main_cuda.cu:30131,initial diagnostics,shutdown,persistent diagnostic packet,no,no,no,no,no,no,always,12,persistent diagnostic packet,retained
d_bbox_maxs,int32,4,3,main_cuda.cu:30132,initial diagnostics,shutdown,persistent diagnostic packet,no,no,no,no,no,no,always,12,persistent diagnostic packet,retained
d_boundary_sum,float64,8,1,main_cuda.cu:30133,initial diagnostics,shutdown,persistent diagnostic packet,no,no,no,no,no,no,always,8,persistent diagnostic packet,retained
d_boundary_count,uint64,8,1,main_cuda.cu:30134,initial diagnostics,shutdown,persistent diagnostic packet,no,no,no,no,no,no,always,8,persistent diagnostic packet,retained
d_phi_r,float64,8,N,main_cuda.cu:30365,initialization,shutdown,persistent authoritative,no,yes,yes,yes,yes,no,always,512000000,persistent authoritative,retained
d_Y_r,float64,8,N,main_cuda.cu:30366,context initialization,shutdown,persistent derived context,no,yes,yes,yes,no,no,always,512000000,persistent derived context,retained
d_xB_r,float64,8,N,main_cuda.cu:30367,context initialization,shutdown,persistent derived context,no,reconstructed,yes,no,yes,no,always,512000000,persistent derived context,retained
d_phi_rhs_r,float64,8,N,main_cuda.cu:30368,phase solve,shutdown,persistent shared scratch,d_lapY_r,no,no,yes,yes,no,always,512000000,persistent shared scratch,retained
d_phi_n_saved,float64,8,N,main_cuda.cu:30369,attempt/history save,shutdown,persistent accepted history,no,yes,yes,yes,yes,no,always,512000000,persistent accepted history,retained
d_Y_n_saved,float64,8,N,main_cuda.cu:30370,attempt save,shutdown,persistent rollback context,no,yes,yes,no,no,no,always,512000000,not allocated on selected path,M5_DERIVED_Y_RECONSTRUCTION
d_ctot_accepted_r,float64,8,N,main_cuda.cu:30377,Ctot initialization,shutdown,persistent authoritative,pointer-rotation candidate,yes,yes,no,yes,no,always,512000000,persistent authoritative,retained
d_ctot_work_r,float64,8,N,main_cuda.cu:30378,attempt start,attempt commit/reject,attempt trial,pointer-rotation candidate,yes,no,no,yes,no,always,512000000,attempt trial,retained
d_ctot_saved_r,float64,8,N,main_cuda.cu:30379,attempt save,attempt commit/reject,attempt rollback anchor,pointer-rotation candidate,yes,no,no,yes,no,always,512000000,attempt rollback anchor,retained
d_ctot_trial_r,float64,8,N,main_cuda.cu:30380,transport/phase trial,attempt end,attempt scratch,conditional scratch reuse,no,no,no,yes,no,always,512000000,attempt scratch,retained
