configuration,rank,kernel,instances,total_time_ms,avg_time_us,time_fraction,source
B0,1,"compute_mu_x_from_xB_candidate_kernel(const double *, const double *, double *, double, double, double, double, double, double, double, double, const float *, const float *, const float *, double, int, int, double *)",50,481.130464,9622.6093,0.233,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,2,"ctot_fv_positive_face_flux_kernel(const double *, const double *, const double *, double *, int, int, int, int, double, double, double, double, double, double, double, double, double, double *, int)",150,440.964585,2939.7639,0.214,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,3,"compute_phi_rhs_kernel(const double *, const double *, const double *, double *, int, int, int, double, double, double, double, double, double, double, double, double, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, double, int, int, int, double, double, double, int, int, int, double *)",15,146.282771,9752.1847,0.071,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,4,"ctot_candidate_bulk_dw_energy_kernel(const double *, const double *, double *, double, double, double, double, double, double, double, int)",14,133.390666,9527.9047,0.065,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,5,"ctot_phase_final_residual_kernel(const double *, const double *, const double *, const double *, const double *, const double *, double, int, double, double, double, double, double, double, int, double *, double *, int)",15,121.201158,8080.077200000001,0.059000000000000004,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,6,"ctot_phase_reconstruct_x_fixed_C_kernel(const double *, const double *, double *, double, double, double, double, double, double, int)",15,120.829091,8055.2727,0.059000000000000004,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,7,"ctot_candidate_state_from_Y_kernel(const double *, const double *, const double *, double *, double *, double *, double *, double, double, double, double, double, double *, int)",431,112.549308,261.1353,0.055,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,8,"ctot_active_capacity_kernel(const double *, const double *, const double *, double *, int)",341,78.904527,231.3916,0.038,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,9,"ctot_phase_restore_continuous_context_kernel(double *, const double *, const double *, double *, double *, double *, double *, double, double, double, double, double, double, double, double *, int)",8,69.318173,8664.7716,0.034,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,10,"ctot_phase_exact_nonelastic_local_jacobian_kernel(const double *, const double *, const double *, double *, double, double, double, double, double, double, double, double, double, double, double, int, int)",6,61.548538,10258.089699999999,0.03,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,11,"reduce_sum_kernel(const double *, double *, int)",3095,47.770978,15.434899999999999,0.023,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,12,"ctot_phase_pdas_classify_kernel(const double *, const double *, const double *, const double *, double *, double *, double *, double, double, double, double, double, int, double *, int)",6,46.416414,7736.069,0.023,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,13,"ctot_phase_projected_line_trial_kernel(const double *, const double *, const double *, const double *, double *, double, double, double, double, double, int, int)",4,31.613093,7903.2733,0.015,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
B0,14,"ctot_phase_pdas_compare_trial_active_kernel(const double *, const double *, const double *, const double *, double *, double, double, double, double, double, PhasePdasTrialBlockSummary *, int)",4,31.306115,7826.5288,0.015,"Nsight Systems 2025.1.3, N128_B0_nsys, full 2-step trace"
