stage,feature_mask,features,grid,steps,accepted,hard_rejects,fallback_macros,endpoint_bitwise_vs_B0,rollback_bitwise,restart_bitwise,source_GiB_400,wall_s_per_step,decision,evidence
B0,0,none,512x1x1,100,100,0,0,True,True,COVERED_BY_SELECTED,19.579537615180016,0.013277,RETAINED_CONTROL,B0_postedit_100
B1,1,M1,512x1x1,100,100,0,0,True,COVERED_BY_SELECTED,COVERED_BY_SELECTED,18.14902614057064,0.013245,RETAINED,B1_M1_only_100
B2,3,M1+M2,512x1x1,100,100,0,0,True,COVERED_BY_SELECTED,COVERED_BY_SELECTED,14.811166033148766,0.013215,RETAINED,B3_M1_M2_100
B3,3,M1+M2; M3 not retained,512x1x1,100,100,0,0,True,COVERED_BY_SELECTED,COVERED_BY_SELECTED,14.811166033148766,0.013215,NOT_RETAINED_M3,B3 shares B2 result
B4,11,M1+M2+M4,512x1x1,100,100,0,0,True,COVERED_BY_SELECTED,COVERED_BY_SELECTED,14.331944689154625,0.01321,RETAINED,B11_plus_M4_100
B5,27,M1+M2+M4+M5,512x1x1,100,100,0,0,True,COVERED_BY_SELECTED,COVERED_BY_SELECTED,13.136275514960289,0.013308,RETAINED,B27_plus_M4_latest
B6,59,M1+M2+M4+M5+M6,512x1x1,100,100,0,0,True,True,COVERED_BY_SELECTED,12.182601198554039,0.013346,RETAINED,B59_plus_M6_latest
B7,123,B6+M7,512x1x1,100,100,0,0,True,True,COVERED_BY_SELECTED,12.182601198554039,0.013265,NOT_RETAINED_ZERO_WORKSPACE,B123_plus_M7_preM8_100
B8,187,B6+M8,512x1x1,100,100,0,0,True,True,True,12.182601198554039,0.013215,SELECTED,B187_plus_M8_latest
B9,187,B8; M9 not implemented,512x1x1,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_APPLICABLE,COVERED_BY_SELECTED,COVERED_BY_SELECTED,12.182601198554039,NOT_MEASURED,NOT_RETAINED_M9,profile evidence did not justify fusion
B10,187,B8; M10 not implemented,512x1x1,0,NOT_RUN,NOT_RUN,NOT_RUN,NOT_APPLICABLE,COVERED_BY_SELECTED,COVERED_BY_SELECTED,12.182601198554039,NOT_MEASURED,NOT_RETAINED_M10,dynamic nonlinear/retry graph not captured
3D_N32,187,selected,32^3,5,5,0,0,True,NOT_TRIGGERED,SEPARATE_CONTROL,12.182601198554039,0.054054639488458636,PASS,fresh workstation curved state
3D_N64,187,selected,64^3,5,5,0,0,True,NOT_TRIGGERED,SEPARATE_CONTROL,12.182601198554039,0.22690922860056162,PASS,fresh workstation curved state
