collapse_pass_R2_ge_0p9,matrix_mode,model,n,quadratic_log_state_R2,residual_RMSE_W_mK,state_variable,temperature_K
True,fixed_6h_matrix,E_direct_discrete_PSD,28,0.9724220237998397,0.00015404745976618634,Sv_sph_m-1,303.15
True,fixed_6h_matrix,E_direct_discrete_PSD,28,0.9729651464464901,0.00014491585226438633,Sv_sph_m-1,323.15
True,fixed_6h_matrix,E_direct_discrete_PSD,28,0.9742261377979475,0.0001253191026420226,Sv_sph_m-1,373.15
True,fixed_6h_matrix,E_direct_discrete_PSD,28,0.9753427480354071,0.00010941674475859596,Sv_sph_m-1,423.15
True,fixed_6h_matrix,E_direct_discrete_PSD,28,0.9763246987074891,9.634076055605755e-05,Sv_sph_m-1,473.15
True,fixed_6h_matrix,E_direct_discrete_PSD,28,0.9771882752510487,8.546248069324916e-05,Sv_sph_m-1,523.15
True,fixed_6h_matrix,E_direct_discrete_PSD,28,0.9779500884914601,7.631797572339934e-05,Sv_sph_m-1,573.15
False,pf_time_varying_matrix,E_direct_discrete_PSD,28,0.8977552459293285,0.0011762370532694406,Sv_sph_m-1,303.15
False,pf_time_varying_matrix,E_direct_discrete_PSD,28,0.897284490896119,0.0011123118826903186,Sv_sph_m-1,323.15
False,pf_time_varying_matrix,E_direct_discrete_PSD,28,0.8962576100832922,0.0009731437809651528,Sv_sph_m-1,373.15
False,pf_time_varying_matrix,E_direct_discrete_PSD,28,0.8953940607724601,0.0008582445622233429,Sv_sph_m-1,423.15
False,pf_time_varying_matrix,E_direct_discrete_PSD,28,0.8946520461895123,0.0007624166794349914,Sv_sph_m-1,473.15
False,pf_time_varying_matrix,E_direct_discrete_PSD,28,0.8940044666665923,0.0006817210397822953,Sv_sph_m-1,523.15
False,pf_time_varying_matrix,E_direct_discrete_PSD,28,0.893432558140099,0.0006131595293873964,Sv_sph_m-1,573.15
True,fixed_6h_matrix,G_direct_PSD_plus_true_MI,28,0.9999313678110487,0.0002019568783580693,Sv_true_phi50_m-1,303.15
True,fixed_6h_matrix,G_direct_PSD_plus_true_MI,28,0.9999303901691167,0.00019283648513587106,Sv_true_phi50_m-1,323.15
True,fixed_6h_matrix,G_direct_PSD_plus_true_MI,28,0.9999281189111439,0.00017260365261032528,Sv_true_phi50_m-1,373.15
True,fixed_6h_matrix,G_direct_PSD_plus_true_MI,28,0.9999260662484576,0.00015545128736969965,Sv_true_phi50_m-1,423.15
True,fixed_6h_matrix,G_direct_PSD_plus_true_MI,28,0.999924201212892,0.00014078735335688102,Sv_true_phi50_m-1,473.15
True,fixed_6h_matrix,G_direct_PSD_plus_true_MI,28,0.99992249779862,0.00012815255885404055,Sv_true_phi50_m-1,523.15
True,fixed_6h_matrix,G_direct_PSD_plus_true_MI,28,0.9999209342917487,0.00011718768297414415,Sv_true_phi50_m-1,573.15
True,pf_time_varying_matrix,G_direct_PSD_plus_true_MI,28,0.9980006377542959,0.0010681737463508686,Sv_true_phi50_m-1,303.15
True,pf_time_varying_matrix,G_direct_PSD_plus_true_MI,28,0.9980086490416077,0.0010106551173974748,Sv_true_phi50_m-1,323.15
True,pf_time_varying_matrix,G_direct_PSD_plus_true_MI,28,0.9980306045830807,0.0008851739315462804,Sv_true_phi50_m-1,373.15
True,pf_time_varying_matrix,G_direct_PSD_plus_true_MI,28,0.9980539390073837,0.0007813154008254465,Sv_true_phi50_m-1,423.15
True,pf_time_varying_matrix,G_direct_PSD_plus_true_MI,28,0.99807766367482,0.0006945234521574338,Sv_true_phi50_m-1,473.15
True,pf_time_varying_matrix,G_direct_PSD_plus_true_MI,28,0.998101249983055,0.0006213200292887402,Sv_true_phi50_m-1,523.15
True,pf_time_varying_matrix,G_direct_PSD_plus_true_MI,28,0.9981244071422513,0.0005590433717575248,Sv_true_phi50_m-1,573.15
