case,step,nominal_age_h,actual_age_h,particle_count,number_density_m3,beta_volume_fraction,mean_radius_nm,Sv_nm_inv,M6_nm3,far_field_matrix_xAg,mass_relative_error
A,0,6,6,96.0,6.448607020276032e+21,0.02392960975909118,9.541609463914384,0.007426169031481664,5.357826016570334,0.006203008315588036,1.0361453923136947e-13
B,0,6,6,96.0,6.448607020276032e+21,0.023929618199627172,9.541610377537319,0.007426170620976416,5.357830574247023,0.0062032544917148096,1.8246585525021037e-14
C,0,6,6,96.0,6.448607020276032e+21,0.02392960632032822,9.541608987237025,0.007426168302579498,5.3578245501188855,0.006202917319236994,9.90528928501142e-14
A,21798,12,12.00005750730298,31.0,2.0823626836308022e+21,0.023155118796488197,13.027173999960983,0.004756563473701731,20.50380474142818,0.006985509502374326,2.664001486653073e-13
B,21798,12,12.00005750730298,26.0,1.7464977346580922e+21,0.023261207225661194,14.400873830734051,0.004653133544132633,20.36025429369112,0.006877363584316807,1.0426620300012023e-14
C,21798,12,12.00005750730298,26.0,1.7464977346580922e+21,0.02325497034576635,14.19240189115728,0.0045979364559959315,21.6513520519595,0.006883481433063882,9.983488937261504e-14
A,43596,18,18.00011501460596,15.0,1.0075948469181301e+21,0.023468810628888327,16.638848694222116,0.0037562358139695334,44.08821298185542,0.006667503948157043,2.710921278003127e-14
B,43596,18,18.00011501460596,16.0,1.0747678367126722e+21,0.02345796456185307,16.98230429217645,0.003980398882048383,33.65392780798587,0.00667776504527507,8.693194675135025e-14
C,43596,18,18.00011501460596,17.0,1.1419408265072142e+21,0.023393972480637175,15.743068578142307,0.0038635467660335875,41.61705931005349,0.006746322726485103,1.4923100304392197e-13
A,65393,24,23.999897264660234,10.0,6.717298979454201e+20,0.02359280073378868,18.723579109887247,0.0032619137427315177,66.09747258558703,0.006541991190685975,2.0683808020148858e-13
B,65393,24,23.999897264660234,13.0,8.732488673290461e+20,0.023532755387263796,17.921446966173246,0.0036761200961275826,43.395881692890214,0.006602755876704542,9.957422386511482e-14
C,65393,24,23.999897264660234,10.0,6.717298979454201e+20,0.023645560376428353,19.194503715544034,0.0033103240519220694,66.4081299857159,0.006488566582568312,3.1149528146285894e-14
A,108989,36,36.000012279266194,6.0,4.03037938767252e+20,0.023799474825655496,23.406473483058875,0.0028730488502025264,95.32215508057773,0.006331949085975584,8.119730558634366e-14
B,108989,36,36.000012279266194,9.0,6.045569081508781e+20,0.023665039522111804,20.698668111447912,0.0033142431953391365,60.200735237460016,0.006468631313237943,2.0279776483523384e-13
C,108989,36,36.000012279266194,5.0,3.358649489727101e+20,0.02380184519688273,23.921490143685286,0.0026042301292034716,147.27534071743497,0.006330617123670411,2.093144025227412e-13
A,152585,48,48.000127293872154,5.0,3.358649489727101e+20,0.02383033838935726,24.859869085436504,0.0027022440128109566,116.53186425143566,0.006300821530907528,1.6708659030769273e-13
B,152585,48,48.000127293872154,8.0,5.373839183563361e+20,0.023661711537232476,20.10153948446456,0.003018791134043532,87.06737420255713,0.006474212975184828,2.244330019577588e-13
C,152585,48,48.000127293872154,3.0,2.01518969383626e+20,0.023915760044518092,29.810073433230375,0.0023016737371837417,194.63757967917365,0.00621465105518336,1.6447993523268955e-13
